ticker,종목,corp_code,rcept_no,report_nm,rcept_dt,report_status,document_status,sector_proxy,export_mentions,fx_asset_mentions,fx_liab_mentions,hedge_mentions,import_mentions,order_mentions,sensitivity_mentions,overseas_revenue_pct,hedge_pct_proxy,text_length,공시신뢰도,confidence_reason,dollar_sales_score,won_cost_score,hedge_score,foreign_debt_score,import_cost_score,earnings_score,technical_score,risk_score,backlog_bonus,sensitivity_bonus,fx_net_benefit_score
095570,AJ네트웍스,00365387,20260318001186,사업보고서 (2025.12),20260318,OK,OK,기타,51,98,0,374,1908,1,51,100.0,,641662,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,8.0,3.0,8.0,10.0,5.0,0.4,5.0,78.4
006840,AK홀딩스,00125080,20260323001489,사업보고서 (2025.12),20260323,OK,OK,기타,103,135,1,556,2108,11,104,68.0,,593738,B,주석 수치 일부와 환율노출 키워드 확인,17.0,6.0,8.0,7.0,3.0,8.0,8.0,2.0,4.4,5.0,68.4
027410,BGF,00219097,20260318000777,사업보고서 (2025.12),20260318,OK,OK,기타,72,97,0,147,1903,6,127,90.0,,506152,B,주석 수치 일부와 환율노출 키워드 확인,22.5,6.0,8.0,8.0,3.0,8.0,8.0,5.0,2.4,5.0,75.9
282330,BGF리테일,01263022,20260318000829,사업보고서 (2025.12),20260318,OK,OK,기타,30,79,0,70,1949,2,47,10.0,,483932,B,주석 수치 일부와 환율노출 키워드 확인,2.5,6.0,8.0,8.0,3.0,8.0,7.0,5.0,0.8,5.0,53.3
138930,BNK금융지주,00858364,20260318001147,사업보고서 (2025.12),20260318,OK,OK,기타,198,226,48,731,2763,19,47,,100.0,937546,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,0.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,55.25
001460,BYC,00122579,20260319001175,사업보고서 (2025.12),20260319,OK,OK,기타,6,138,22,5,1015,0,52,,,315471,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,8.0,5.0,0.0,5.0,56.25
001465,BYC우,,,,,NO_CORP_CODE,OK,기타,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,6.25,6.0,11.0,8.0,5.5,8.0,10.0,5.0,0.0,0.0,59.75
001040,CJ,00148540,20260318001509,사업보고서 (2025.12),20260318,OK,OK,기타,615,101,12,497,2691,11,176,100.0,1.0,1072995,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,14.85,7.0,3.0,8.0,8.0,2.0,4.4,5.0,83.25
079160,CJ CGV,00303873,20260318001114,사업보고서 (2025.12),20260318,OK,OK,기타,313,64,12,519,1559,2,133,51.0,10.0,584936,A,주석에서 환율노출 관련 수치 다수 확인,12.75,6.0,13.5,7.0,3.0,8.0,10.0,2.0,0.8,5.0,68.05
000120,CJ대한통운,00113410,20260316001417,사업보고서 (2025.12),20260316,OK,OK,기타,96,53,8,528,2024,28,79,100.0,4.1,724843,A,주석에서 환율노출 관련 수치 다수 확인,25.0,6.0,14.38,7.0,3.0,8.0,8.0,5.0,5.0,5.0,86.38
