ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
000640,동아쏘시오홀딩스,KOSPI,,13.04,19.76,-11.77,7.61,8.18,82.93,6.18,0.51,흑자지속,18.88,38.35,-24.01,227391724773.0,-6.4948,10.0728,66.6667,3.4297,1301872218.0,0.4789,1.5156,경계,TOP_DECLINE
000650,천일고속,KOSPI,,6.09,23.1,-183.17,-11.34,-96.37,707.28,,31.83,적자지속,8.57,23.3,-225.4,312011629.0,-10.213,-26.7757,19.7266,5.1875,222055005.0,0.5154,1.1801,없음,SIDEWAYS_OR_UNCONFIRMED
000810,삼성화재,KOSPI,보험업 / 손해보험의 원수·재보험·운용자산의 투자활동,7.73,8.89,10.14,138.61,7.59,219.01,10.17,0.77,흑자지속,,9.1,15.72,3413166155628.0,7.0203,3.4691,69.2771,4.9338,76384550062.0,1.1778,2.7289,주의,UPTREND
001020,페이퍼코리아,KOSPI,,11.14,447.76,134.29,4.53,1.47,77.57,20.47,0.3,흑자전환,20.91,329.72,168.68,20313174483.0,14.4025,-1.1038,49.4949,,67382667.0,0.2122,4.0185,없음,TOP_DECLINE
001045,CJ우,KOSPI,,,,,,,,,,,,,,4987380240000.0,-7.9946,-6.9863,33.3333,2.9432,288789865.0,0.5062,0.9238,없음,NEW_LOW
001060,JW중외제약,KOSPI,,12.11,42.45,254.85,15.86,27.02,60.97,5.59,1.51,흑자지속,16.18,33.52,1595.22,96396462541.0,1.3333,0.3774,50.0,4.3161,2155549681.0,0.2544,2.172,주의,TOP_DECLINE
001420,태원물산,KOSPI,,35.56,-90.04,-217.14,-9.92,-1.8,11.12,,0.55,적자지속,33.69,-2.19,48.56,-4937792702.0,3.2258,26.8722,,,172727801.0,0.195,4.8166,없음,BOTTOM_REBOUND
001440,대한전선,KOSPI,절연선 및 케이블 제조업 / 전력선·통신케이블·적산계기,28.8,117.82,-1598.37,5.31,-9.93,109.58,,2.94,흑자지속,30.81,113.01,-282.77,-171279828165.0,4.2403,-20.1624,37.9237,6.1668,42915919084.0,0.8189,2.7802,없음,BOTTOM_REBOUND
001527,동양2우B,KOSPI,,,,,,,,,,,,,,-15414980493.0,-13.142,-19.0141,,,3412987.0,0.1961,1.5361,없음,NEW_LOW
001530,DI동일,KOSPI,,,,,,,,,,,,,,,6.4386,17.8174,67.1875,5.7036,1313006414.0,0.3975,2.8265,주의,UPTREND_PULLBACK
001560,제일연마,KOSPI,,7.5,104.23,-62.44,8.77,7.64,10.67,8.23,0.63,흑자지속,12.16,146.19,-77.59,8084915043.0,1.1249,-8.2653,42.1053,2.6822,46545399.0,0.4703,0.7661,주의,SIDEWAYS_OR_UNCONFIRMED
001770,SHD,KOSPI,,0.66,-152.83,-169.83,-1.31,-1.95,59.08,,0.21,적자전환,6.83,-188.8,-564.14,-5808087508.0,29.1899,-30.3988,,,1511035760.0,0.5843,12.7473,위험,NEW_LOW
002210,동성제약,KOSPI,,-11.01,48.83,70.74,-4.24,-13.44,82.61,,1.56,적자지속,10.64,51.02,68.63,-12860397698.0,-13.7699,44.8099,,,273612596.0,0.3673,2.1589,없음,NEW_LOW
002380,KCC,KOSPI,,,,,,,,,,,,,,,7.8889,-1.0194,61.2705,4.4817,12705703847.0,1.0205,2.3851,위험,BOTTOM_REBOUND
002420,우양피앤엘,KOSPI,,14.91,99.16,73.48,-0.04,-2.4,103.84,,7.05,적자지속,25.76,-102.09,-37.68,-860029289.0,-8.6522,-1.0811,40.413,5.3828,69203460.0,2.7631,1.6686,위험,NEW_LOW
002450,삼익악기,KOSPI,,0.39,203.97,118.71,9.37,26.51,96.89,1.17,0.31,흑자지속,11.13,222.45,104.55,28047301855.0,-2.0779,-9.7366,29.7578,2.2934,158865865.0,0.6147,0.811,경계,SIDEWAYS_OR_UNCONFIRMED
