ticker,name,market,current_single_blocker,v891_provenance_class,v891_recovery_lane,v897_historic_target,v898_full_account_partial_target,v8103_fresh_full_account_target,v8103_fresh_exact_classification,current_recoverability_classification,current_recovery_lane
001560,제일연마,KOSPI,TRUE,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,TRUE,FALSE,FALSE,,HISTORIC_REFRESH_ZIP_OK_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
011200,HMM,KOSPI,TRUE,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,FALSE,TRUE,NO_APPROVED_EXACT,NEW_SINGLE_FULL_ACCOUNT_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
012450,한화에어로스페이스,KOSPI,TRUE,XBRL_DOWNLOAD_OR_PARSE_FAILURE,RETRY_OFFICIAL_XBRL,TRUE,TRUE,FALSE,,HISTORIC_PARTIAL_XBRL_AND_FULL_ACCOUNT_NO_MISSING_EXACT_RECOVERY,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
012690,모나리자,KOSPI,TRUE,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,FALSE,FALSE,TRUE,NO_APPROVED_EXACT,NEW_SINGLE_FULL_ACCOUNT_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
017670,SK텔레콤,KOSPI,TRUE,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,TRUE,TRUE,FALSE,,HISTORIC_PARTIAL_XBRL_AND_FULL_ACCOUNT_NO_MISSING_EXACT_RECOVERY,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
020560,아시아나항공,KOSPI,TRUE,XBRL_DA_FACTS_BUT_NO_APPROVED_EXACT,ALTERNATE_OFFICIAL_DA_SOURCE,TRUE,FALSE,FALSE,,HISTORIC_REFRESH_ZIP_OK_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
022100,포스코DX,KOSPI,TRUE,V887_PARTIAL_ONE_FACT,ALTERNATE_OFFICIAL_SOURCE_FOR_MISSING_FACT,TRUE,TRUE,FALSE,,HISTORIC_PARTIAL_XBRL_AND_FULL_ACCOUNT_NO_MISSING_EXACT_RECOVERY,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
023960,에쓰씨엔지니어링,KOSPI,TRUE,XBRL_DOWNLOAD_OR_PARSE_FAILURE,RETRY_OFFICIAL_XBRL,TRUE,FALSE,FALSE,,HISTORIC_REFRESH_ZIP_OK_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
078520,에이블씨엔씨,KOSPI,TRUE,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,TRUE,FALSE,FALSE,,HISTORIC_REFRESH_ZIP_OK_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
483650,달바글로벌,KOSPI,TRUE,XBRL_NO_DA_FACT,ALTERNATE_OFFICIAL_DA_SOURCE,TRUE,FALSE,FALSE,,HISTORIC_REFRESH_ZIP_OK_NO_APPROVED_EXACT,DEFER_CURRENT_APPROVED_EXACT_SOURCE_PATH_EXHAUSTED
