ticker,name,market,single_blocker_ticker,prior_recovery_lane,prior_v885_report_status,prior_v885_rcept_no,prior_v885_report_nm,prior_v885_xbrl_status,corp_code,corp_code_source,corp_code_resolution_note,report_list_status,report_candidate_count,selected_rcept_no,selected_rcept_dt,selected_report_nm,used_prior_rcept_no,xbrl_status,xbrl_member_count,da_fact_count,approved_exact_fact_count,approved_exact_local_names,both_approved_exact_local_names_present,tried_receipts_json,audit_result
001527,동양2우B,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,,UNRESOLVED_EXACT_STOCK_CODE,DART corpCode.xml exact stock_code 매칭 실패; issuer/preferred mapping 별도 감사 필요,,0,,,,FALSE,,0,0,0,,FALSE,[],CORP_CODE_UNRESOLVED
001530,DI동일,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,00118345,DART_CORPCODE_EXACT_STOCK,,OK,2,20260318001468,20260318,사업보고서 (2025.12),FALSE,OK,6,138,8,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense,TRUE,"[{""rcept_no"":""20260323001456"",""rcept_dt"":""20260323"",""report_nm"":""[첨부정정]사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""NOT_ZIP"",""response_head"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>""},{""rcept_no"":""20260318001468"",""rcept_dt"":""20260318"",""report_nm"":""사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""OK"",""response_head"":""""}]",RETRY_APPROVED_EXACT_FACT_FOUND
002380,KCC,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,00105271,DART_CORPCODE_EXACT_STOCK,,OK,1,20260309001896,20260309,사업보고서 (2025.12),FALSE,OK,6,232,6,AdjustmentsForAmortisationExpense,FALSE,"[{""rcept_no"":""20260309001896"",""rcept_dt"":""20260309"",""report_nm"":""사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""OK"",""response_head"":""""}]",RETRY_APPROVED_EXACT_FACT_FOUND
002450,삼익악기,KOSPI,TRUE,RETRY_OFFICIAL_XBRL,OK,20260814002982,[첨부정정]사업보고서 (2025.12),NOT_ZIP,00127857,V885_EXISTING,,OK,3,20260814002549,20260814,[기재정정]사업보고서 (2025.12),FALSE,OK,6,179,8,AdjustmentsForAmortisationExpense|AdjustmentsForDepreciationExpense,TRUE,"[{""rcept_no"":""20260814002982"",""rcept_dt"":""20260814"",""report_nm"":""[첨부정정]사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""NOT_ZIP"",""response_head"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>""},{""rcept_no"":""20260814002549"",""rcept_dt"":""20260814"",""report_nm"":""[기재정정]사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""OK"",""response_head"":""""}]",RETRY_APPROVED_EXACT_FACT_FOUND
004545,깨끗한나라우,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,,UNRESOLVED_EXACT_STOCK_CODE,DART corpCode.xml exact stock_code 매칭 실패; issuer/preferred mapping 별도 감사 필요,,0,,,,FALSE,,0,0,0,,FALSE,[],CORP_CODE_UNRESOLVED
005385,현대차우,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,,UNRESOLVED_EXACT_STOCK_CODE,DART corpCode.xml exact stock_code 매칭 실패; issuer/preferred mapping 별도 감사 필요,,0,,,,FALSE,,0,0,0,,FALSE,[],CORP_CODE_UNRESOLVED
005387,현대차2우B,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,,UNRESOLVED_EXACT_STOCK_CODE,DART corpCode.xml exact stock_code 매칭 실패; issuer/preferred mapping 별도 감사 필요,,0,,,,FALSE,,0,0,0,,FALSE,[],CORP_CODE_UNRESOLVED
005389,현대차3우B,KOSPI,FALSE,RETRY_OFFICIAL_DART_REPORT_LOOKUP,NO_CORP_CODE,,,,,UNRESOLVED_EXACT_STOCK_CODE,DART corpCode.xml exact stock_code 매칭 실패; issuer/preferred mapping 별도 감사 필요,,0,,,,FALSE,,0,0,0,,FALSE,[],CORP_CODE_UNRESOLVED
012450,한화에어로스페이스,KOSPI,TRUE,RETRY_OFFICIAL_XBRL,OK,20260319000633,[첨부정정]사업보고서 (2025.12),NOT_ZIP,00126566,V885_EXISTING,,OK,2,20260316001112,20260316,사업보고서 (2025.12),FALSE,OK,6,170,4,AdjustmentsForAmortisationExpense,FALSE,"[{""rcept_no"":""20260319000633"",""rcept_dt"":""20260319"",""report_nm"":""[첨부정정]사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""NOT_ZIP"",""response_head"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>""},{""rcept_no"":""20260316001112"",""rcept_dt"":""20260316"",""report_nm"":""사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""OK"",""response_head"":""""}]",RETRY_APPROVED_EXACT_FACT_FOUND
023960,에쓰씨엔지니어링,KOSPI,TRUE,RETRY_OFFICIAL_XBRL,OK,20260319000744,[첨부정정]사업보고서 (2025.12),NOT_ZIP,00121969,V885_EXISTING,,OK,2,20260318000864,20260318,사업보고서 (2025.12),FALSE,OK,6,0,0,,FALSE,"[{""rcept_no"":""20260319000744"",""rcept_dt"":""20260319"",""report_nm"":""[첨부정정]사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""NOT_ZIP"",""response_head"":""<?xml version=\""1.0\"" encoding=\""UTF-8\"" standalone=\""yes\""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>""},{""rcept_no"":""20260318000864"",""rcept_dt"":""20260318"",""report_nm"":""사업보고서 (2025.12)"",""transport_status"":""OK"",""parse_status"":""OK"",""response_head"":""""}]",RETRY_XBRL_NO_DA_FACT
