ticker,name,corp_code,preferred_fs_div,dominant_financial_period,annual_source_year,fresh_deep_status,fresh_deep_fs_div,fresh_deep_message,fresh_exact_classification,recovery_lane,approved_depreciation_occurrences,approved_depreciation_values_json,approved_amortisation_occurrences,approved_amortisation_values_json,fresh_exact_stats_json,fresh_da_candidates_json
002450,삼익악기,00127857,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
003230,삼양식품,00126955,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
004170,신세계,00136378,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
004910,조광페인트,00148920,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
005930,삼성전자,00126380,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
009420,한올바이오파마,00162586,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
010130,고려아연,00102858,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
018260,삼성에스디에스,00126186,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
028050,삼성E&A,00126308,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
034020,두산에너빌리티,00159616,CFS,2026_11012,2025,OK,CFS,,NO_APPROVED_EXACT,NO_APPROVED_EXACT_CURRENT_OFFICIAL_PATH,0,[],0,[],"{""ifrs-full_AdjustmentsForAmortisationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]},""ifrs-full_AdjustmentsForDepreciationExpense"":{""occurrence_count"":0,""unique_numeric_values"":[],""account_names"":[]}}",[]
