ticker,baseline_score_status,candidate_score_status,baseline_missing_component_count,candidate_missing_component_count,baseline_financial_blockers,candidate_financial_blockers,score_row_changed,financial_resolution
000040,LIMITED,LIMITED,19,11,8,0,true,FULL
000100,LIMITED,LIMITED,17,9,8,0,true,FULL
000220,LIMITED,LIMITED,17,9,8,0,true,FULL
000225,LIMITED,LIMITED,18,18,8,8,false,PARTIAL
000545,LIMITED,LIMITED,13,13,7,7,false,PARTIAL
000680,LIMITED,LIMITED,18,10,8,0,true,FULL
000850,LIMITED,LIMITED,18,10,8,0,true,FULL
001060,LIMITED,LIMITED,17,9,8,0,true,FULL
001390,LIMITED,LIMITED,17,9,8,0,true,FULL
002070,LIMITED,LIMITED,19,11,8,0,true,FULL
002100,LIMITED,LIMITED,18,10,8,0,true,FULL
002140,LIMITED,LIMITED,18,10,8,0,true,FULL
002780,LIMITED,LIMITED,19,11,8,0,true,FULL
002787,LIMITED,LIMITED,20,20,8,8,false,PARTIAL
003780,LIMITED,LIMITED,17,9,8,0,true,FULL
003830,LIMITED,LIMITED,18,10,8,0,true,FULL
003960,LIMITED,LIMITED,17,9,8,0,true,FULL
004255,LIMITED,LIMITED,18,18,8,8,false,PARTIAL
004560,LIMITED,LIMITED,17,9,8,0,true,FULL
004720,LIMITED,LIMITED,18,10,8,0,true,FULL
005850,LIMITED,LIMITED,17,9,8,0,true,FULL
005950,LIMITED,LIMITED,17,9,8,0,true,FULL
006040,LIMITED,LIMITED,12,5,7,0,true,FULL
006110,LIMITED,LIMITED,17,9,8,0,true,FULL
006200,LIMITED,LIMITED,14,7,7,0,true,FULL
007610,LIMITED,LIMITED,19,11,8,0,true,FULL
007700,LIMITED,LIMITED,13,6,7,0,true,FULL
009835,LIMITED,LIMITED,18,18,8,8,false,PARTIAL
010640,LIMITED,LIMITED,17,9,8,0,true,FULL
011150,LIMITED,LIMITED,18,10,8,0,true,FULL
011760,LIMITED,LIMITED,18,10,8,0,true,FULL
011930,LIMITED,LIMITED,18,10,8,0,true,FULL
012320,LIMITED,LIMITED,13,6,7,0,true,FULL
012630,LIMITED,LIMITED,12,5,7,0,true,FULL
012690,LIMITED,LIMITED,18,10,8,0,true,FULL
013520,LIMITED,LIMITED,17,9,8,0,true,FULL
013580,LIMITED,LIMITED,18,10,8,0,true,FULL
013870,LIMITED,LIMITED,17,9,8,0,true,FULL
014530,LIMITED,LIMITED,17,9,8,0,true,FULL
014710,LIMITED,LIMITED,17,9,8,0,true,FULL
014820,LIMITED,LIMITED,18,10,8,0,true,FULL
015260,LIMITED,LIMITED,20,12,8,0,true,FULL
017940,LIMITED,LIMITED,17,9,8,0,true,FULL
023810,LIMITED,LIMITED,18,10,8,0,true,FULL
064960,LIMITED,LIMITED,18,10,8,0,true,FULL
067830,LIMITED,LIMITED,18,10,8,0,true,FULL
077970,LIMITED,LIMITED,17,9,8,0,true,FULL
078000,LIMITED,LIMITED,18,10,8,0,true,FULL
078930,LIMITED,LIMITED,12,5,7,0,true,FULL
078935,LIMITED,LIMITED,13,13,7,7,false,PARTIAL
088260,LIMITED,LIMITED,17,9,8,0,true,FULL
090080,LIMITED,LIMITED,17,9,8,0,true,FULL
093370,LIMITED,LIMITED,17,9,8,0,true,FULL
095720,LIMITED,LIMITED,19,11,8,0,true,FULL
097230,LIMITED,LIMITED,17,9,8,0,true,FULL
100250,LIMITED,LIMITED,18,10,8,0,true,FULL
102260,LIMITED,LIMITED,17,9,8,0,true,FULL
102460,LIMITED,LIMITED,18,10,8,0,true,FULL
210540,LIMITED,LIMITED,18,10,8,0,true,FULL
213500,LIMITED,LIMITED,17,9,8,0,true,FULL
248170,LIMITED,LIMITED,17,9,8,0,true,FULL
249420,LIMITED,LIMITED,18,10,8,0,true,FULL
271560,LIMITED,LIMITED,17,9,8,0,true,FULL
271980,LIMITED,LIMITED,18,10,8,0,true,FULL
326030,LIMITED,LIMITED,17,17,8,8,false,PARTIAL
400760,LIMITED,LIMITED,17,9,8,0,true,FULL
439260,LIMITED,LIMITED,17,9,8,0,true,FULL
448730,LIMITED,LIMITED,17,9,8,0,true,FULL
