ticker,name,market,financial_blocker_occurrences,financial_blocker_reasons,recovery_lane,recovery_note,financial_cache_row_present,source_cache_row_present,corp_code,corp_name,corp_identity_status,corp_identity_reason,financial_source_status,financial_data_status,valuation_data_status,financial_basis,net_income,per_annualized
000040,KR모터스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000100,유한양행,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000220,유유제약,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000225,유유제약1우,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000545,흥국화재우,KOSPI,7,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000680,LS네트웍스,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
000850,화천기공,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
001060,JW중외제약,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
001390,KG케미칼,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
002070,비비안,KOSPI,8,PBR:MISSING_PBR_OR_ROE;PER:MISSING_PER;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;순이익 흐름:MISSING_EARNINGS_TREND;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;영업이익률:MISSING_MARGIN;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND,CURRENT_UNIVERSE_FINANCIAL_CACHE_ROW_MISSING,Current scorer ticker is absent from the financial cache after the production universe expanded.,FALSE,FALSE,,,,,,,,,,
