ticker,name,market,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,target_period_key,fetched_at_kst
000050,경방,KOSPI,00101628,경방,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,228126258908.0,28988544599.0,18291414638.0,1273782375931.0,448381266092.0,825401109839.0,197375255543.0,16320567990.0,13340898901.0,15.58,77.62,37.11,12.71,54.32,4.43,흑자지속,219048007300.0,27415270.0,2026-09-21,1334.4,30107.35,5.99,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
001020,페이퍼코리아,KOSPI,00134723,페이퍼코리아,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,147522908716.0,6687986487.0,1947557004.0,471794626506.0,206096276813.0,265698349693.0,132732527933.0,-1923182719.0,-5678908366.0,11.14,447.76,134.29,4.53,77.57,1.47,흑자전환,71727273930.0,35596662.0,2026-09-21,109.42,7464.14,18.41,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
001460,BYC,KOSPI,00122579,BYC,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,79737234351.0,8580550468.0,7983030388.0,781884250139.0,215318553446.0,566565696693.0,74835614933.0,6982817553.0,4862320388.0,6.55,22.88,64.18,10.76,38.0,2.82,흑자지속,223612170000.0,6246150.0,2026-09-21,2556.14,90706.39,14.01,0.39,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
002450,삼익악기,KOSPI,00127857,삼익악기,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,124354795350.0,11651120963.0,43629347049.0,648153370959.0,318952475303.0,329200895656.0,123876072736.0,3833010395.0,19948703553.0,0.39,203.97,118.71,9.37,96.89,26.51,흑자지속,99584006500.0,90530915.0,2026-09-21,963.86,3636.34,1.14,0.3,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
002990,금호건설,KOSPI,00106313,금호건설,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,965054635967.0,28657965170.0,24376936549.0,1425836411586.0,1143778359528.0,282058052058.0,999239425635.0,21921145030.0,11227383987.0,-3.42,30.73,117.12,2.97,405.51,17.29,흑자지속,482889263040.0,37259974.0,2026-09-21,1308.48,7570.0,9.9,1.71,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
003060,에이프로젠바이오로직스,KOSPI,00101044,에이프로젠바이오로직스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,44698557114.0,-31074598752.0,-14238516596.0,548412752055.0,280702896063.0,267709855992.0,31744140230.0,-33689259920.0,-109943034717.0,40.81,7.76,87.05,-69.52,104.85,-10.64,적자지속,26050447206.0,16261203.0,2026-09-21,-1751.23,16463.1,,0.1,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
003480,한진중공업홀딩스,KOSPI,00163673,한진중공업홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,689759000000.0,52699000000.0,35878000000.0,1701849000000.0,1189538000000.0,512311000000.0,694448000000.0,39244000000.0,27337000000.0,-0.68,34.29,31.24,7.64,232.19,14.01,흑자지속,139085414520.0,29529812.0,2026-09-21,2429.95,17348.94,1.94,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
003850,보령,KOSPI,00123143,보령,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,534976769981.0,43950069033.0,65493367062.0,1530456233608.0,635648443706.0,894807789902.0,492068625692.0,36279611258.0,9213649303.0,8.72,21.14,610.83,8.22,71.04,14.64,흑자지속,705170841540.0,85787207.0,2026-09-21,1526.88,10430.55,5.38,0.79,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:46+09:00
004990,롯데지주,KOSPI,00120562,롯데지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,7715223712777.0,175054517946.0,78832872862.0,23652508149907.0,13758096718385.0,9894411431522.0,7628438979590.0,160153874683.0,-160406356485.0,1.14,9.3,149.15,2.27,139.05,1.59,흑자전환,2431796134400.0,99663776.0,2026-09-21,1581.98,99277.91,15.42,0.25,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:47+09:00
006060,화승인더,KOSPI,00166227,화승인더스트리,OPENDART_OFFICIAL_DOWNLOAD,MATCH_NORMALIZED,동일 종목코드 후보 중 법인표기 제거 후 회사명 일치,1,NAME_CONTAINS,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,866363977126.0,30219735404.0,8521086372.0,1675821525702.0,1120434746932.0,555386778770.0,928980933215.0,43192364348.0,-2355782881.0,-6.74,-30.03,461.71,3.49,201.74,3.07,흑자전환,123087000000.0,55320000.0,2026-09-21,308.07,10039.53,7.22,0.22,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-22T21:42:47+09:00
