ticker,name,market,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,target_period_key,fetched_at_kst
000040,KR모터스,KOSPI,00112378,KR모터스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,3,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,28903553267.0,-234349093.0,28877176875.0,169778897488.0,97245427998.0,72533469490.0,7479554346.0,-1006728671.0,-1455013709.0,286.43,76.72,2084.67,-0.81,134.07,79.62,흑자전환,19871786360.0,19675036.0,2026-09-22,2935.41,3686.57,0.34,0.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000100,유한양행,KOSPI,00145109,유한양행,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,3,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1166231575529.0,75684328844.0,91411850434.0,3330275529266.0,859282491141.0,2470993038125.0,1070551004703.0,56280687670.0,54009801542.0,8.94,34.48,69.25,6.49,34.77,7.4,흑자지속,5528545153100.0,73615781.0,2026-09-22,2483.49,33566.08,30.24,2.24,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000220,유유제약,KOSPI,00144818,유유제약,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,72238712137.0,8305369048.0,6906806406.0,207884237136.0,61703029606.0,146181207530.0,68752868207.0,6162766665.0,3593096503.0,5.07,34.77,92.22,11.5,42.21,9.45,흑자지속,58816770570.0,15747462.0,2026-09-22,877.2,9282.84,4.26,0.4,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000225,유유제약1우,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000545,흥국화재우,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000680,LS네트웍스,KOSPI,00104698,LS네트웍스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,2,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,4083941017195.0,106322312138.0,62268967669.0,15648621772542.0,14326098996647.0,1322522775895.0,993347724645.0,50943302146.0,24794462566.0,311.13,108.71,151.14,2.6,1083.24,9.42,흑자지속,230892836880.0,78803016.0,2026-09-22,1580.37,16782.64,1.85,0.17,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:42+09:00
000850,화천기공,KOSPI,00166519,화천기공,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,130077979219.0,8352380129.0,14047579879.0,450364768576.0,100994237731.0,349370530845.0,104862205046.0,2219425332.0,4952966749.0,24.05,276.33,183.62,6.42,28.91,8.04,흑자지속,83930000000.0,2200000.0,2026-09-22,12770.53,158804.79,2.99,0.24,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:43+09:00
001060,JW중외제약,KOSPI,00149947,JW중외제약,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,421904761727.0,66916424524.0,55375042222.0,659893739079.0,249958151471.0,409935587608.0,376340939209.0,46976347248.0,15605163346.0,12.11,42.45,254.85,15.86,60.97,27.02,흑자지속,619405738000.0,23285930.0,2026-09-22,4756.09,17604.43,5.59,1.51,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:43+09:00
001390,KG케미칼,KOSPI,00101220,KG케미칼,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,4974651932212.0,155504445659.0,227019285878.0,9322964734929.0,5216599194399.0,4106365540530.0,4302894178014.0,185428256852.0,131631707764.0,15.61,-16.14,72.47,3.13,127.04,11.06,흑자지속,280555362100.0,66403636.0,2026-09-22,6837.56,61839.47,0.62,0.07,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:43+09:00
002070,비비안,KOSPI,00107677,비비안,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,119440546687.0,-2186149114.0,-6900769889.0,226863880208.0,139814197693.0,87049682515.0,137657913147.0,4026601182.0,4542612955.0,-13.23,-154.29,-251.91,-1.83,160.61,-15.85,적자전환,18510939000.0,4801800.0,2026-09-22,-2874.24,18128.55,,0.21,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:43+09:00
