ticker,name,market,blocker_count,blocker_reasons,issuer_resolution,corp_code,issuer_name,issuer_stock_code,preferred_common_ticker,preferred_fs_div,classification,all_target_blockers_recoverable,recoverable_blocker_count,blocker_recoverability_json,official_values_json,official_periods_json
001045,CJ우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,001045,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
001527,동양2우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,001527,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
001530,DI동일,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,DART_CORPCODE_EXACT_STOCK,00118345,디아이동일,001530,,CFS,OFFICIAL_SOURCE_FIELDS_RECOVERABLE,TRUE,4,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":true,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":true,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":true,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":true}","{""annual_revenue_y0"":601351665454.0,""annual_revenue_y1"":651725598894.0,""annual_revenue_y2"":682872127202.0,""annual_operating_profit_y0"":-1544756113.0,""annual_operating_profit_y1"":7810548526.0,""annual_operating_profit_y2"":6304538045.0,""revenue_yoy_pct_current_half"":10.12,""q2_revenue_current"":180226705067.0,""q2_revenue_previous"":155325169552.0,""q2_revenue_yoy_pct"":16.03,""q2_operating_profit_current"":3346400675.0,""q2_operating_profit_previous"":325815956.0,""q2_operating_profit_yoy_pct"":927.08}","{""annual"":{""year"":2025,""report_code"":""11011"",""selected_fs_div"":""CFS"",""row_count"":220,""accounts"":{""revenue"":{""found"":true,""account_nm"":""매출액"",""thstrm_amount"":601351665454.0,""thstrm_add_amount"":null,""frmtrm_amount"":651725598894.0,""frmtrm_add_amount"":null,""bfefrmtrm_amount"":682872127202.0},""operating_profit"":{""found"":true,""account_nm"":""영업이익(손실)"",""thstrm_amount"":-1544756113.0,""thstrm_add_amount"":null,""frmtrm_amount"":7810548526.0,""frmtrm_add_amount"":null,""bfefrmtrm_amount"":6304538045.0},""net_income"":{""found"":true,""account_nm"":""연결당기순이익(손실)"",""thstrm_amount"":-9968597538.0,""thstrm_add_amount"":null,""frmtrm_amount"":2502884010.0,""frmtrm_add_amount"":null,""bfefrmtrm_amount"":5995805541.0}},""attempts"":[{""year"":2025,""report_code"":""11011"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":220},{""year"":2025,""report_code"":""11011"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":174}]},""h1_current"":{""year"":2026,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":204,""accounts"":{""revenue"":{""found"":true,""account_nm"":""매출액"",""thstrm_amount"":180226705067.0,""thstrm_add_amount"":350016590651.0,""frmtrm_amount"":null,""frmtrm_add_amount"":317839723988.0,""bfefrmtrm_amount"":null},""operating_profit"":{""found"":true,""account_nm"":""영업이익(손실)"",""thstrm_amount"":3346400675.0,""thstrm_add_amount"":4018589795.0,""frmtrm_amount"":null,""frmtrm_add_amount"":1884426244.0,""bfefrmtrm_amount"":null},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":204},{""year"":2026,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":152}]},""q1_current"":{""year"":2026,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":196,""accounts"":{""revenue"":{""found"":true,""account_nm"":""매출액"",""thstrm_amount"":169789885584.0,""thstrm_add_amount"":169789885584.0,""frmtrm_amount"":null,""frmtrm_add_amount"":162514554436.0,""bfefrmtrm_amount"":null},""operating_profit"":{""found"":true,""account_nm"":""영업이익(손실)"",""thstrm_amount"":672189120.0,""thstrm_add_amount"":672189120.0,""frmtrm_amount"":null,""frmtrm_add_amount"":1558610288.0,""bfefrmtrm_amount"":null},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":196},{""year"":2026,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":147}]},""h1_previous"":{""year"":2025,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":199,""accounts"":{""revenue"":{""found"":true,""account_nm"":""매출액"",""thstrm_amount"":155325169552.0,""thstrm_add_amount"":317839723988.0,""frmtrm_amount"":null,""frmtrm_add_amount"":336910405821.0,""bfefrmtrm_amount"":null},""operating_profit"":{""found"":true,""account_nm"":""영업이익"",""thstrm_amount"":325815956.0,""thstrm_add_amount"":1884426244.0,""frmtrm_amount"":null,""frmtrm_add_amount"":8159592436.0,""bfefrmtrm_amount"":null},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":199},{""year"":2025,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":150}]},""q1_previous"":{""year"":2025,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":190,""accounts"":{""revenue"":{""found"":true,""account_nm"":""매출액"",""thstrm_amount"":162514554436.0,""thstrm_add_amount"":162514554436.0,""frmtrm_amount"":null,""frmtrm_add_amount"":166194695793.0,""bfefrmtrm_amount"":null},""operating_profit"":{""found"":true,""account_nm"":""영업이익"",""thstrm_amount"":1558610288.0,""thstrm_add_amount"":1558610288.0,""frmtrm_amount"":null,""frmtrm_add_amount"":4501899376.0,""bfefrmtrm_amount"":null},""net_income"":{""found"":true,""account_nm"":""법인세비용차감전순이익"",""thstrm_amount"":2824951.0,""thstrm_add_amount"":2824951.0,""frmtrm_amount"":null,""frmtrm_add_amount"":5321724431.0,""bfefrmtrm_amount"":null}},""attempts"":[{""year"":2025,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":190},{""year"":2025,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":142}]}}"
002380,KCC,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,DART_CORPCODE_EXACT_STOCK,00105271,케이씨씨,002380,,CFS,OFFICIAL_SOURCE_FIELDS_INCOMPLETE,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}","{""annual_revenue_y0"":null,""annual_revenue_y1"":null,""annual_revenue_y2"":null,""annual_operating_profit_y0"":null,""annual_operating_profit_y1"":null,""annual_operating_profit_y2"":null,""revenue_yoy_pct_current_half"":null,""q2_revenue_current"":null,""q2_revenue_previous"":null,""q2_revenue_yoy_pct"":null,""q2_operating_profit_current"":null,""q2_operating_profit_previous"":null,""q2_operating_profit_yoy_pct"":null}","{""annual"":{""year"":2025,""report_code"":""11011"",""selected_fs_div"":""CFS"",""row_count"":276,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11011"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":276},{""year"":2025,""report_code"":""11011"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":203}]},""h1_current"":{""year"":2026,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":242,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":242},{""year"":2026,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":190}]},""q1_current"":{""year"":2026,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":231,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":231},{""year"":2026,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":179}]},""h1_previous"":{""year"":2025,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":248,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":248},{""year"":2025,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":184}]},""q1_previous"":{""year"":2025,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":240,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":240},{""year"":2025,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":176}]}}"
003495,대한항공우,KOSPI,1,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,V883_APPROVED_PREFERRED_COMMON_PLUS_DART_EXACT_COMMON,00113526,대한항공,003490,003490,CFS,OFFICIAL_SOURCE_FIELDS_INCOMPLETE,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false}","{""annual_revenue_y0"":null,""annual_revenue_y1"":null,""annual_revenue_y2"":null,""annual_operating_profit_y0"":null,""annual_operating_profit_y1"":null,""annual_operating_profit_y2"":null,""revenue_yoy_pct_current_half"":null,""q2_revenue_current"":null,""q2_revenue_previous"":null,""q2_revenue_yoy_pct"":null,""q2_operating_profit_current"":null,""q2_operating_profit_previous"":null,""q2_operating_profit_yoy_pct"":null}","{""annual"":{""year"":2025,""report_code"":""11011"",""selected_fs_div"":""CFS"",""row_count"":364,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11011"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":364},{""year"":2025,""report_code"":""11011"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":236}]},""h1_current"":{""year"":2026,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":299,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":299},{""year"":2026,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":221}]},""q1_current"":{""year"":2026,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":286,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2026,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":286},{""year"":2026,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":216}]},""h1_previous"":{""year"":2025,""report_code"":""11012"",""selected_fs_div"":""CFS"",""row_count"":281,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11012"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":281},{""year"":2025,""report_code"":""11012"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":222}]},""q1_previous"":{""year"":2025,""report_code"":""11013"",""selected_fs_div"":""CFS"",""row_count"":270,""accounts"":{""revenue"":{""found"":false},""operating_profit"":{""found"":false},""net_income"":{""found"":false}},""attempts"":[{""year"":2025,""report_code"":""11013"",""fs_div"":""CFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":270},{""year"":2025,""report_code"":""11013"",""fs_div"":""OFS"",""dart_status"":""000"",""dart_message"":""정상"",""row_count"":216}]}}"
004545,깨끗한나라우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,004545,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
005385,현대차우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,005385,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
005387,현대차2우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,005387,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
005389,현대차3우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,005389,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
051905,LG생활건강우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,UNRESOLVED,,,051905,,CFS,ISSUER_MAPPING_UNRESOLVED,FALSE,0,"{""매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT"":false,""최근 3년 매출 성장률:MISSING_3Y_REVENUE"":false,""최근 3년 영업이익 성장률:MISSING_3Y_OP"":false,""최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT"":false}",{},{}
