ticker,name,source_origin,candidate_ocf_status,baseline_status,candidate_status,baseline_missing_components,candidate_missing_components,removed_reasons,added_reasons,baseline_score_total,candidate_score_total
000080,하이트진로,V8131_FROZEN_READY,READY,LIMITED,READY,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,65.0
000150,두산,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
000490,대동,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
000660,SK하이닉스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
000720,현대건설,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
000760,이화산업,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
000860,강남제비스코,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
001630,종근당홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
001680,대상,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
002350,넥센타이어,CURRENT_FINANCIAL_CORP_IDENTITY,READY,LIMITED,LIMITED,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,영업현금흐름:MISSING_OCF_MARGIN_INPUT,,,
