ticker,name,source_mode,source_ticker,source_corp_code,source_fs_div,account_id,account_nm,operating_cash_flow_annual,source_status,inheritance_evidence,note
000020,동화약품,CURRENT_DART_STOCK_CODE_EXACT_NAME,000020,00119195,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,15698716578.0,READY,,V8.13.2 current-universe official exact OCF
000080,하이트진로,DIRECT_EXACT_IFRS_V8130,000080,00150244,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,232588233956.0,READY,,V8.13.0 audited exact annual OCF
000100,유한양행,DIRECT_EXACT_IFRS_V8190A,000100,00145109,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,106227395422.0,READY,,V8.19.0A audited exact annual OCF
000105,유한양행우,PREFERRED_INHERIT_EXACT_COMMON,000100,00145109,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,106227395422.0,READY,PREFERRED_INHERIT_DIRECT_NARROW:EXACT_COMMON_NAME,V8.13.2 current-universe official exact OCF
000150,두산,CURRENT_FINANCIAL_CORP_IDENTITY,000150,00117212,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,981908000000.0,READY,,V8.13.2 current-universe official exact OCF
000320,노루홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,000320,00113508,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,80058435615.0,READY,,V8.13.2 current-universe official exact OCF
000480,CR홀딩스,UNRESOLVED_CURRENT_IDENTITY,,,,ifrs-full_CashFlowsFromUsedInOperatingActivities,,,LIMITED,,CURRENT_CORP_IDENTITY_NOT_STRICTLY_RESOLVED
000490,대동,CURRENT_FINANCIAL_CORP_IDENTITY,000490,00109286,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-56725188304.0,READY,,V8.13.2 current-universe official exact OCF
000660,SK하이닉스,CURRENT_FINANCIAL_CORP_IDENTITY,000660,00164779,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름,53373126000000.0,READY,,V8.13.2 current-universe official exact OCF
000720,현대건설,CURRENT_FINANCIAL_CORP_IDENTITY,000720,00164478,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-748259000000.0,READY,,V8.13.2 current-universe official exact OCF
