area,item,max_points,source_ready_count,universe_count,coverage_pct,source_state,decision_kind,existing_policy_evidence,empirical_metric,empirical_count,empirical_p25,empirical_p50,empirical_p75,empirical_p90,empirical_mean,distribution_review_flag,score_threshold_defined,score_value_generated
financial,매출 성장과 안정성,5,93,112,83.04,PARTIAL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
financial,영업이익 성장과 흑자 여부,7,93,112,83.04,PARTIAL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
financial,순이익 흐름,3,93,112,83.04,PARTIAL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
financial,영업이익률,4,112,112,100.0,FULL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,operating_margin_pct,99,0.26,4.68,12.35,23.846,50.931818,HIGH_OUTLIER_SENSITIVITY,False,False
financial,ROE,4,112,112,100.0,FULL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,roe_annualized_pct,99,-2.24,5.33,12.98,27.102,-10.383737,HIGH_OUTLIER_SENSITIVITY,False,False
financial,부채비율,3,112,112,100.0,FULL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,debt_ratio_pct,99,44.77,97.5,169.89,393.654,241.181818,HIGH_OUTLIER_SENSITIVITY,False,False
financial,영업현금흐름,4,109,112,97.32,PARTIAL_SOURCE_COVERAGE,NORMALIZATION_AND_THRESHOLD_REQUIRED,,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
valuation,PER,8,112,112,100.0,FULL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,per_annualized,68,5.715,9.755,18.09,33.691,19.331029,REFERENCE_STABLE_ENOUGH_FOR_REVIEW,False,False
valuation,PBR,5,112,112,100.0,FULL_SOURCE_COVERAGE,RAW_TO_POINT_THRESHOLD_REQUIRED,,pbr,99,0.41,0.9,1.78,4.34,2.257172,HIGH_OUTLIER_SENSITIVITY,False,False
valuation,EV/EBITDA,4,0,112,0.0,NO_SOURCE_VALUE_READY,SOURCE_FORMULA_POLICY_REQUIRED,D&A 원천정책 미정; 값 생성 금지,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
valuation,PSR 또는 대체 가치지표,3,99,112,88.39,PARTIAL_SOURCE_COVERAGE,FORMULA_AND_THRESHOLD_POLICY_REQUIRED,market_cap/revenue 원천 존재하나 공식 공식계약 없음,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
growth_value,최근 3년 매출 성장률,4,93,112,83.04,PARTIAL_SOURCE_COVERAGE,GROWTH_FORMULA_AND_THRESHOLD_REQUIRED,3개년 원자료 존재; 공식 성장률 산식계약 없음,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
growth_value,최근 3년 영업이익 성장률,4,93,112,83.04,PARTIAL_SOURCE_COVERAGE,GROWTH_FORMULA_AND_THRESHOLD_REQUIRED,3개년 원자료 존재; 공식 성장률 산식계약 없음,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
growth_value,최근 분기 실적 가속·둔화,3,92,112,82.14,PARTIAL_SOURCE_COVERAGE,CLASSIFICATION_AND_THRESHOLD_REQUIRED,,q2_operating_profit_yoy_pct,98,-16.1075,37.395,115.6425,410.479,159.806735,HIGH_OUTLIER_SENSITIVITY,False,False
growth_value,흑자 지속성과 이익 안정성,2,93,112,83.04,PARTIAL_SOURCE_COVERAGE,CATEGORY_TO_POINT_MAPPING_REQUIRED,,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
growth_value,순현금·기업가치 상태,2,95,112,84.82,PARTIAL_SOURCE_COVERAGE,DEBT_SCOPE_AND_POINT_POLICY_REQUIRED,현금·부채 후보만 존재; 부채범위 미정,,,,,,,,NO_EMPIRICAL_REFERENCE,False,False
