area,item,max_points,source_ready_count,universe_count,coverage_pct,readiness_status,raw_to_point_policy_status,candidate_hit_count,special_existing_policy
financial,매출 성장과 안정성,5,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,영업이익 성장과 흑자 여부,7,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,순이익 흐름,3,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,영업이익률,4,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,ROE,4,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,부채비율,3,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
financial,영업현금흐름,4,109,112,97.32,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
valuation,PER,8,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
valuation,PBR,5,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
valuation,EV/EBITDA,4,0,112,0.0,SOURCE_NOT_READY_POLICY_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
valuation,PSR 또는 대체 가치지표,3,99,112,88.39,SOURCE_INPUT_PRESENT_POLICY_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
growth_value,최근 3년 매출 성장률,4,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
growth_value,최근 3년 영업이익 성장률,4,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
growth_value,최근 분기 실적 가속·둔화,3,92,112,82.14,SOURCE_INPUT_PRESENT_POLICY_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
growth_value,흑자 지속성과 이익 안정성,2,93,112,83.04,SOURCE_PARTIAL_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
growth_value,순현금·기업가치 상태,2,95,112,84.82,SOURCE_INPUT_PRESENT_POLICY_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
price_position,1개월 가격흐름,4,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
price_position,3개월 가격흐름,3,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
price_position,기간 저가·고가 대비 현재위치,5,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,market label thresholds exist; label-to-0..5 points not defined
price_position,과열·급락 위험,3,112,112,100.0,SOURCE_INPUT_PRESENT_POLICY_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,
liquidity_elasticity,20일 평균 거래대금과 거래량,6,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,market label thresholds exist; label-to-0..6 points not defined
liquidity_elasticity,하루평균 절대등락률,4,112,112,100.0,SOURCE_READY_THRESHOLD_UNDEFINED,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,market label thresholds exist; label-to-0..4 points not defined
supply_disclosure,수급·공시부담,10,112,112,100.0,SOURCE_PRESENT_RANGE_POLICY_ONLY,NO_EXPLICIT_RAW_TO_POINT_RULE_FOUND,0,V6 range only; exact point inside range not defined
