ticker,name,basis_date,window_start_date,window_end_date,close_observation_count,daily_return_observation_count,avg_daily_move_abs,avg_daily_move_pct,source_status
000640,동아쏘시오홀딩스,2026-09-11,2026-08-13,2026-09-11,21,20,1395.0,1.5156,READY
000650,천일고속,2026-09-11,2026-08-13,2026-09-11,21,20,1815.0,1.1801,READY
000810,삼성화재,2026-09-11,2026-08-13,2026-09-11,21,20,17850.0,2.7289,READY
001020,페이퍼코리아,2026-09-11,2026-08-13,2026-09-11,21,20,93.85,4.0185,READY
001045,CJ우,2026-09-11,2026-08-13,2026-09-11,21,20,650.0,0.9238,READY
001060,JW중외제약,2026-09-11,2026-08-13,2026-09-11,21,20,600.0,2.172,READY
001420,태원물산,2026-09-11,2026-08-13,2026-09-11,21,20,118.5,4.8166,READY
001440,대한전선,2026-09-11,2026-08-13,2026-09-11,21,20,795.0,2.7802,READY
001527,동양2우B,2026-09-11,2026-08-13,2026-09-11,21,20,98.0,1.5361,READY
001530,DI동일,2026-09-11,2026-08-13,2026-09-11,21,20,727.5,2.8265,READY
001560,제일연마,2026-09-11,2026-08-13,2026-09-11,21,20,70.0,0.7661,READY
001770,SHD,2026-09-11,2026-08-13,2026-09-11,21,20,1481.5,12.7473,READY
002210,동성제약,2026-09-11,2026-08-13,2026-09-11,21,20,32.95,2.1589,READY
002380,KCC,2026-09-11,2026-08-13,2026-09-11,21,20,11175.0,2.3851,READY
002420,우양피앤엘,2026-09-11,2026-08-13,2026-09-11,21,20,96.5,1.6686,READY
002450,삼익악기,2026-09-11,2026-08-13,2026-09-11,21,20,9.2,0.811,READY
002990,금호건설,2026-09-11,2026-08-13,2026-09-11,21,20,690.0,4.7386,READY
003230,삼양식품,2026-09-11,2026-08-13,2026-09-11,21,20,40050.0,2.9051,READY
003280,흥아해운,2026-09-11,2026-08-13,2026-09-11,21,20,42.25,2.3847,READY
003490,대한항공,2026-09-11,2026-08-13,2026-09-11,21,20,467.5,1.7019,READY
003495,대한항공우,2026-09-11,2026-08-13,2026-09-11,21,20,110.0,0.5061,READY
003550,LG,2026-09-11,2026-08-13,2026-09-11,21,20,2700.0,2.3208,READY
003580,HLB글로벌,2026-09-11,2026-08-13,2026-09-11,21,20,25.8,1.5903,READY
004170,신세계,2026-09-11,2026-08-13,2026-09-11,21,20,11625.0,2.8255,READY
004370,농심,2026-09-11,2026-08-13,2026-09-11,21,20,11500.0,2.6955,READY
004545,깨끗한나라우,2026-09-11,2026-08-13,2026-09-11,21,20,81.0,1.8364,READY
004870,티웨이홀딩스,2026-09-11,2026-08-13,2026-09-11,21,20,12.35,1.0553,READY
004910,조광페인트,2026-09-11,2026-08-13,2026-09-11,21,20,49.75,1.3795,READY
005385,현대차우,2026-09-11,2026-08-13,2026-09-11,21,20,3705.0,1.8931,READY
005387,현대차2우B,2026-09-11,2026-08-13,2026-09-11,21,20,3660.0,1.8651,READY
005389,현대차3우B,2026-09-11,2026-08-13,2026-09-11,21,20,2815.0,1.4721,READY
005490,POSCO홀딩스,2026-09-11,2026-08-13,2026-09-11,21,20,6525.0,1.9877,READY
005500,삼진제약,2026-09-11,2026-08-13,2026-09-11,21,20,203.5,1.1179,READY
005820,원림,2026-09-11,2026-08-13,2026-09-11,21,20,173.5,1.1533,READY
005830,DB손해보험,2026-09-11,2026-08-13,2026-09-11,21,20,5025.0,2.7217,READY
005930,삼성전자,2026-09-11,2026-08-13,2026-09-11,21,20,7775.0,2.9456,READY
006370,대구백화점,2026-09-11,2026-08-13,2026-09-11,21,20,194.5,4.6388,READY
006380,카프로,2026-09-11,2026-08-13,2026-09-11,21,20,177.0,6.7097,READY
006650,대한유화,2026-09-11,2026-08-13,2026-09-11,21,20,3395.0,3.666,READY
008770,호텔신라,2026-09-11,2026-08-13,2026-09-11,21,20,755.0,1.7392,READY
008930,한미사이언스,2026-09-11,2026-08-13,2026-09-11,21,20,2572.5,5.2122,READY
009200,무림페이퍼,2026-09-11,2026-08-13,2026-09-11,21,20,9.4,0.6142,READY
009420,한올바이오파마,2026-09-11,2026-08-13,2026-09-11,21,20,1875.0,3.1658,READY
009540,HD한국조선해양,2026-09-11,2026-08-13,2026-09-11,21,20,8200.0,2.3039,READY
010130,고려아연,2026-09-11,2026-08-13,2026-09-11,21,20,36000.0,2.8508,READY
011200,HMM,2026-09-11,2026-08-13,2026-09-11,21,20,465.0,2.146,READY
012160,영흥,2026-09-11,2026-08-13,2026-09-11,21,20,58.5,2.3493,READY
012280,영화금속,2026-09-11,2026-08-13,2026-09-11,21,20,188.1,21.1095,READY
012450,한화에어로스페이스,2026-09-11,2026-08-13,2026-09-11,21,20,25700.0,2.3198,READY
012690,모나리자,2026-09-11,2026-08-13,2026-09-11,21,20,19.0,1.2749,READY
013360,일성건설,2026-09-11,2026-08-13,2026-09-11,21,20,19.0,1.2533,READY
013570,디와이,2026-09-11,2026-08-13,2026-09-11,21,20,65.75,1.5164,READY
014160,대영포장,2026-09-11,2026-08-13,2026-09-11,21,20,17.4,2.3574,READY
017670,SK텔레콤,2026-09-11,2026-08-13,2026-09-11,21,20,2160.0,2.2818,READY
018260,삼성에스디에스,2026-09-11,2026-08-13,2026-09-11,21,20,6075.0,2.583,READY
020000,한섬,2026-09-11,2026-08-13,2026-09-11,21,20,196.5,1.2411,READY
020560,아시아나항공,2026-09-11,2026-08-13,2026-09-11,21,20,116.5,1.5681,READY
021240,코웨이,2026-09-11,2026-08-13,2026-09-11,21,20,1580.0,1.6154,READY
022100,포스코DX,2026-09-11,2026-08-13,2026-09-11,21,20,463.5,2.212,READY
023960,에쓰씨엔지니어링,2026-09-11,2026-08-13,2026-09-11,21,20,10.65,1.0392,READY
024720,콜마홀딩스,2026-09-11,2026-08-13,2026-09-11,21,20,196.5,1.9591,READY
028050,삼성E&A,2026-09-11,2026-08-13,2026-09-11,21,20,1365.0,2.8865,READY
029530,신도리코,2026-09-11,2026-08-13,2026-09-11,21,20,435.0,1.052,READY
029780,삼성카드,2026-09-11,2026-08-13,2026-09-11,21,20,585.0,1.2536,READY
034020,두산에너빌리티,2026-09-11,2026-08-13,2026-09-11,21,20,2795.0,3.4589,READY
035420,NAVER,2026-09-11,2026-08-13,2026-09-11,21,20,4150.0,1.9189,READY
035720,카카오,2026-09-11,2026-08-13,2026-09-11,21,20,695.0,1.8625,READY
036570,NC,2026-09-11,2026-08-13,2026-09-11,21,20,3900.0,1.7063,READY
044380,주연테크,2026-09-11,2026-08-13,2026-09-11,21,20,45.8,5.1769,READY
047050,포스코인터내셔널,2026-09-11,2026-08-13,2026-09-11,21,20,1240.0,2.3265,READY
047810,한국항공우주,2026-09-11,2026-08-13,2026-09-11,21,20,3005.0,2.2368,READY
051905,LG생활건강우,2026-09-11,2026-08-13,2026-09-11,21,20,1400.0,1.297,READY
058730,다스코,2026-09-11,2026-08-13,2026-09-11,21,20,135.5,3.8731,READY
058860,KTis,2026-09-11,2026-08-13,2026-09-11,21,20,10.75,0.4215,READY
063160,종근당바이오,2026-09-11,2026-08-13,2026-09-11,21,20,146.0,1.0526,READY
066570,LG전자,2026-09-11,2026-08-13,2026-09-11,21,20,5350.0,2.601,READY
066575,LG전자우,2026-09-11,2026-08-13,2026-09-11,21,20,1595.0,2.1859,READY
069620,대웅제약,2026-09-11,2026-08-13,2026-09-11,21,20,2620.0,2.1397,READY
071840,롯데하이마트,2026-09-11,2026-08-13,2026-09-11,21,20,54.0,0.8456,READY
072130,유엔젤,2026-09-11,2026-08-13,2026-09-11,21,20,71.0,1.438,READY
078520,에이블씨엔씨,2026-09-11,2026-08-13,2026-09-11,21,20,341.5,2.9197,READY
081000,일진다이아,2026-09-11,2026-08-13,2026-09-11,21,20,163.5,1.6867,READY
086280,현대글로비스,2026-09-11,2026-08-13,2026-09-11,21,20,4830.0,2.359,READY
088980,맥쿼리인프라,2026-09-11,2026-08-13,2026-09-11,21,20,82.0,0.841,READY
091810,트리니티항공,2026-09-11,2026-08-13,2026-09-11,21,20,134.7,19.4831,READY
097950,CJ제일제당,2026-09-11,2026-08-13,2026-09-11,21,20,2320.0,1.2558,READY
097955,CJ제일제당 우,2026-09-11,2026-08-13,2026-09-11,21,20,995.0,0.8045,READY
100250,진양홀딩스,2026-09-11,2026-08-13,2026-09-11,21,20,25.0,0.8105,READY
105560,KB금융,2026-09-11,2026-08-13,2026-09-11,21,20,2860.0,1.6865,READY
128940,한미약품,2026-09-11,2026-08-13,2026-09-11,21,20,19125.0,4.1764,READY
138930,BNK금융지주,2026-09-11,2026-08-13,2026-09-11,21,20,235.0,1.5526,READY
139480,이마트,2026-09-11,2026-08-13,2026-09-11,21,20,1110.0,1.4788,READY
214320,이노션,2026-09-11,2026-08-13,2026-09-11,21,20,118.5,0.6259,READY
234080,JW생명과학,2026-09-11,2026-08-13,2026-09-11,21,20,102.0,0.9043,READY
241590,화승엔터프라이즈,2026-09-11,2026-08-13,2026-09-11,21,20,38.0,1.2696,READY
267250,HD현대,2026-09-11,2026-08-13,2026-09-11,21,20,5275.0,2.3373,READY
267270,HD건설기계,2026-09-11,2026-08-13,2026-09-11,21,20,4460.0,3.4487,READY
271940,일진하이솔루스,2026-09-11,2026-08-13,2026-09-11,21,20,279.5,2.5222,READY
271980,제일약품,2026-09-11,2026-08-13,2026-09-11,21,20,187.5,1.7919,READY
278470,에이피알,2026-09-11,2026-08-13,2026-09-11,21,20,12025.0,2.9291,READY
286940,롯데이노베이트,2026-09-11,2026-08-13,2026-09-11,21,20,224.0,1.2138,READY
298000,효성화학,2026-09-11,2026-08-13,2026-09-11,21,20,1850.0,2.727,READY
298690,에어부산,2026-09-11,2026-08-13,2026-09-11,21,20,24.7,1.6262,READY
336260,두산퓨얼셀,2026-09-11,2026-08-13,2026-09-11,21,20,2365.0,5.5529,READY
357250,미래에셋맵스리츠,2026-09-11,2026-08-13,2026-09-11,21,20,11.6,0.6133,READY
361610,SK아이이테크놀로지,2026-09-11,2026-08-13,2026-09-11,21,20,785.5,4.8597,READY
373220,LG에너지솔루션,2026-09-11,2026-08-13,2026-09-11,21,20,10575.0,2.9502,READY
402340,SK스퀘어,2026-09-11,2026-08-13,2026-09-11,21,20,37600.0,3.5198,READY
403550,쏘카,2026-09-11,2026-08-13,2026-09-11,21,20,153.0,1.401,READY
456040,OCI,2026-09-11,2026-08-13,2026-09-11,21,20,955.0,1.1853,READY
475560,더본코리아,2026-09-11,2026-08-13,2026-09-11,21,20,738.5,4.4554,READY
483650,달바글로벌,2026-09-11,2026-08-13,2026-09-11,21,20,6430.0,3.0247,READY
