ticker,name,candidate_source_status,baseline_status,candidate_status,baseline_missing_count,candidate_missing_count,elasticity_missing_before,elasticity_missing_after,baseline_score_total,candidate_score_total,baseline_score_band,candidate_score_band
000020,동화약품,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
000080,하이트진로,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
000105,유한양행우,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
000150,두산,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
000320,노루홀딩스,READY,LIMITED,READY,1,0,TRUE,FALSE,,58.5,,대기·중립
000480,CR홀딩스,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
000490,대동,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
000660,SK하이닉스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
000720,현대건설,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
000760,이화산업,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
000810,삼성화재,READY,READY,READY,0,0,FALSE,FALSE,70.5,70.5,관찰 후보,관찰 후보
000860,강남제비스코,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
001130,대한제분,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
001270,부국증권,READY,LIMITED,LIMITED,12,11,TRUE,FALSE,,,,
001440,대한전선,READY,LIMITED,LIMITED,2,2,FALSE,FALSE,,,,
001630,종근당홀딩스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
001680,대상,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
001755,한양증권우,READY,LIMITED,LIMITED,13,12,TRUE,FALSE,,,,
001770,SHD,READY,LIMITED,LIMITED,18,18,FALSE,FALSE,,,,
001790,대한제당,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
001800,오리온홀딩스,READY,LIMITED,READY,1,0,TRUE,FALSE,,70.5,,관찰 후보
002200,한국수출포장,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
002350,넥센타이어,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
002700,신일전자,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
002710,TCC스틸,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
002995,금호건설우,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
003220,대원제약,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
003230,삼양식품,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
003470,유안타증권,READY,LIMITED,READY,1,0,TRUE,FALSE,,66.0,,관찰 후보
003490,대한항공,READY,READY,READY,0,0,FALSE,FALSE,55.5,55.5,대기·중립,대기·중립
003540,대신증권,READY,LIMITED,READY,1,0,TRUE,FALSE,,66.5,,관찰 후보
003550,LG,READY,READY,READY,0,0,FALSE,FALSE,68.5,68.5,관찰 후보,관찰 후보
003620,KG모빌리티,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
004000,롯데정밀화학,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
004090,한국석유,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
004370,농심,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
004490,세방전지,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
005300,롯데칠성,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
005440,현대지에프홀딩스,READY,LIMITED,READY,1,0,TRUE,FALSE,,68.5,,관찰 후보
005490,POSCO홀딩스,READY,READY,READY,0,0,FALSE,FALSE,59.0,59.0,대기·중립,대기·중립
005930,삼성전자,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
006125,SK디스커버리우,READY,LIMITED,LIMITED,13,12,TRUE,FALSE,,,,
006370,대구백화점,READY,LIMITED,LIMITED,6,6,FALSE,FALSE,,,,
006400,삼성SDI,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
006840,AK홀딩스,READY,LIMITED,READY,1,0,TRUE,FALSE,,52.5,,주의
006880,신송홀딩스,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
007070,GS리테일,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
007120,미래아이앤지,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
007310,오뚜기,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
007540,샘표,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
007690,국도화학,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
008930,한미사이언스,READY,LIMITED,LIMITED,11,11,FALSE,FALSE,,,,
009770,삼정펄프,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
010130,고려아연,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
010660,화천기계,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
011155,CJ씨푸드1우,READY,LIMITED,LIMITED,20,19,TRUE,FALSE,,,,
011210,현대위아,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
011280,태림포장,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
011300,우성머티리얼스,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
012330,현대모비스,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
012450,한화에어로스페이스,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
014830,유니드,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
015360,INVENI,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
016800,퍼시스,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
018260,삼성에스디에스,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
021240,코웨이,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
022100,포스코DX,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
024110,기업은행,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
026890,스틱인베스트먼트,READY,LIMITED,READY,1,0,TRUE,FALSE,,45.5,,주의
027740,마니커,READY,LIMITED,LIMITED,5,4,TRUE,FALSE,,,,
028050,삼성E&A,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
029780,삼성카드,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
030000,제일기획,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
030190,NICE평가정보,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
030210,다올투자증권,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
030720,동원수산,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
031210,서울보증보험,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
031820,아이티센씨티에스,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
034020,두산에너빌리티,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
034230,파라다이스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
034830,한국토지신탁,READY,LIMITED,READY,1,0,TRUE,FALSE,,59.0,,대기·중립
035420,NAVER,READY,LIMITED,LIMITED,16,16,FALSE,FALSE,,,,
037270,YG PLUS,READY,LIMITED,LIMITED,5,4,TRUE,FALSE,,,,
039130,하나투어,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
039490,키움증권,READY,LIMITED,READY,1,0,TRUE,FALSE,,73.0,,관찰 후보
042700,한미반도체,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
047050,포스코인터내셔널,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
047400,유니온머티리얼,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
047810,한국항공우주,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
051900,LG생활건강,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
051910,LG화학,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
053690,한미글로벌,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
055550,신한지주,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
066570,LG전자,READY,LIMITED,LIMITED,2,2,FALSE,FALSE,,,,
