ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_component_count,shadow_missing_component_count,baseline_missing_components,shadow_missing_components
000100,유한양행,1.2776,LIMITED,LIMITED,2,1,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT
000220,유유제약,1.2126,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE
000225,유유제약1우,0.8284,LIMITED,LIMITED,15,14,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:EMPTY_AS_ZERO;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;부채비율:MISSING_DEBT_RATIO;영업현금흐름:MISSING_OCF_MARGIN_INPUT;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;PSR 또는 대체 가치지표:MISSING_PSR_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;순현금·기업가치 상태:NETCASH_INPUT:EMPTY_AS_ZERO;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
000540,흥국화재,2.1843,LIMITED,LIMITED,4,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT
000545,흥국화재우,1.9213,LIMITED,LIMITED,13,12,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
000680,LS네트웍스,1.3860,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
000850,화천기공,1.4531,LIMITED,LIMITED,5,4,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
001390,KG케미칼,0.9259,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
002070,비비안,3.7639,LIMITED,LIMITED,5,4,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;기간 저가·고가 대비 현재위치:MISSING_POSITION;과열·급락 위험:MISSING_RISK_INPUT
002140,고려산업,1.2599,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
