ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_components,shadow_missing_components,baseline_score_total,shadow_score_total
000320,노루홀딩스,1.11,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,58.5
001800,오리온홀딩스,1.10,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,70.5
003470,유안타증권,1.13,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,66.0
003540,대신증권,1.01,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,66.5
005440,현대지에프홀딩스,2.07,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,68.5
006840,AK홀딩스,1.55,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,52.5
026890,스틱인베스트먼트,1.05,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,45.5
034830,한국토지신탁,1.03,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,59.0
039490,키움증권,1.05,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,73.0
107590,미원홀딩스,1.17,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,72.0
244920,에이플러스에셋,1.87,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,68.5
323410,카카오뱅크,0.78,LIMITED,READY,하루평균 절대등락률:MISSING_ELASTICITY,,,63.5
