ticker,name,basis_date,window_start_date,window_end_date,close_observation_count,daily_return_observation_count,avg_daily_move_abs,avg_daily_move_pct,source_status
000020,동화약품,2026-09-18,2026-08-21,2026-09-18,21,20,35.5,0.6888,READY
000080,하이트진로,2026-09-18,2026-08-21,2026-09-18,21,20,134.5,0.8761,READY
000100,유한양행,2026-09-23,2026-08-26,2026-09-23,21,20,,1.2776,READY
000105,유한양행우,2026-09-18,2026-08-21,2026-09-18,21,20,620.0,0.8899,READY
000150,두산,2026-09-18,2026-08-21,2026-09-18,21,20,45150.0,3.6675,READY
000220,유유제약,2026-09-23,2026-08-26,2026-09-23,21,20,,1.2126,READY
000225,유유제약1우,2026-09-23,2026-08-26,2026-09-23,21,20,,0.8284,READY
000320,노루홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,188.0,1.109,READY
000480,CR홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,27.25,0.609,READY
000490,대동,2026-09-18,2026-08-21,2026-09-18,21,20,126.5,1.5761,READY
000540,흥국화재,2026-09-23,2026-08-26,2026-09-23,21,20,,2.1843,READY
000545,흥국화재우,2026-09-23,2026-08-26,2026-09-23,21,20,,1.9213,READY
000660,SK하이닉스,2026-09-18,2026-08-21,2026-09-18,21,20,47650.0,2.7753,READY
000680,LS네트웍스,2026-09-23,2026-08-26,2026-09-23,21,20,,1.3860,READY
000720,현대건설,2026-09-18,2026-08-21,2026-09-18,21,20,4090.0,3.4024,READY
000760,이화산업,2026-09-18,2026-08-21,2026-09-18,21,20,206.5,1.4941,READY
000810,삼성화재,2026-09-18,2026-08-21,2026-09-18,21,20,16450.0,2.4728,READY
000850,화천기공,2026-09-23,2026-08-26,2026-09-23,21,20,,1.4531,READY
000860,강남제비스코,2026-09-18,2026-08-21,2026-09-18,21,20,122.0,0.9805,READY
001130,대한제분,2026-09-18,2026-08-21,2026-09-18,21,20,91.5,0.7941,READY
001270,부국증권,2026-09-18,2026-08-21,2026-09-18,21,20,595.0,1.118,READY
001390,KG케미칼,2026-09-23,2026-08-26,2026-09-23,21,20,,0.9259,READY
001440,대한전선,2026-09-18,2026-08-21,2026-09-18,21,20,845.0,2.9646,READY
001630,종근당홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,150.0,0.3859,READY
001680,대상,2026-09-18,2026-08-21,2026-09-18,21,20,297.0,1.6318,READY
001755,한양증권우,2026-09-18,2026-08-21,2026-09-18,21,20,131.5,0.672,READY
001770,SHD,2026-09-18,2026-08-21,2026-09-18,21,20,1251.5,12.0231,READY
001790,대한제당,2026-09-18,2026-08-21,2026-09-18,21,20,27.25,0.9525,READY
001800,오리온홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,280.0,1.0983,READY
002070,비비안,2026-09-23,2026-08-26,2026-09-23,21,20,,3.7639,READY
002140,고려산업,2026-09-23,2026-08-26,2026-09-23,21,20,,1.2599,READY
002200,한국수출포장,2026-09-18,2026-08-21,2026-09-18,21,20,24.0,0.8902,READY
002350,넥센타이어,2026-09-18,2026-08-21,2026-09-18,21,20,89.0,1.4616,READY
002450,삼익악기,2026-09-23,2026-08-26,2026-09-23,21,20,,0.7699,READY
002700,신일전자,2026-09-18,2026-08-21,2026-09-18,21,20,8.15,0.8245,READY
002710,TCC스틸,2026-09-18,2026-08-21,2026-09-18,21,20,373.0,3.3335,READY
002780,진흥기업,2026-09-23,2026-08-26,2026-09-23,21,20,,44.5291,READY
002787,진흥기업2우B,2026-09-23,2026-08-26,2026-09-23,21,20,,48.8760,READY
002995,금호건설우,2026-09-18,2026-08-21,2026-09-18,21,20,433.0,2.1154,READY
003220,대원제약,2026-09-18,2026-08-21,2026-09-18,21,20,58.0,0.7322,READY
003230,삼양식품,2026-09-18,2026-08-21,2026-09-18,21,20,32600.0,2.3314,READY
003470,유안타증권,2026-09-18,2026-08-21,2026-09-18,21,20,53.0,1.1308,READY
003490,대한항공,2026-09-18,2026-08-21,2026-09-18,21,20,465.0,1.6422,READY
003540,대신증권,2026-09-18,2026-08-21,2026-09-18,21,20,270.0,1.0096,READY
003550,LG,2026-09-18,2026-08-21,2026-09-18,21,20,1970.0,1.6912,READY
003570,SNT다이내믹스,2026-09-23,2026-08-26,2026-09-23,21,20,,2.0530,READY
003620,KG모빌리티,2026-09-18,2026-08-21,2026-09-18,21,20,31.5,1.1808,READY
003830,대한화섬,2026-09-23,2026-08-26,2026-09-23,21,20,,0.5585,READY
004000,롯데정밀화학,2026-09-18,2026-08-21,2026-09-18,21,20,582.5,1.2641,READY
004090,한국석유,2026-09-18,2026-08-21,2026-09-18,21,20,178.5,1.5317,READY
004310,현대약품,2026-09-23,2026-08-26,2026-09-23,21,20,,5.6938,READY
004370,농심,2026-09-18,2026-08-21,2026-09-18,21,20,8150.0,1.8783,READY
004490,세방전지,2026-09-18,2026-08-21,2026-09-18,21,20,1365.0,2.213,READY
004560,현대비앤지스틸,2026-09-23,2026-08-26,2026-09-23,21,20,,1.0207,READY
004990,롯데지주,2026-09-21,2026-08-24,2026-09-21,21,20,,1.3594,READY
005300,롯데칠성,2026-09-18,2026-08-21,2026-09-18,21,20,710.0,0.7275,READY
005440,현대지에프홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,258.0,2.0656,READY
005490,POSCO홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,5900.0,1.7915,READY
005850,에스엘,2026-09-23,2026-08-26,2026-09-23,21,20,,1.2704,READY
005930,삼성전자,2026-09-18,2026-08-21,2026-09-18,21,20,5675.0,2.1565,READY
005950,이수화학,2026-09-23,2026-08-26,2026-09-23,21,20,,2.2846,READY
006040,동원산업,2026-09-22,2026-08-25,2026-09-22,21,20,,0.9959,READY
006110,삼아알미늄,2026-09-23,2026-08-26,2026-09-23,21,20,,3.0423,READY
006125,SK디스커버리우,2026-09-18,2026-08-21,2026-09-18,21,20,287.5,0.7051,READY
006200,한국전자홀딩스,2026-09-23,2026-08-26,2026-09-23,21,20,,1.4338,READY
006220,제주은행,2026-09-23,2026-08-26,2026-09-23,21,20,,1.1486,READY
006260,LS,2026-09-21,2026-08-24,2026-09-21,21,20,,2.70,READY
006340,대원전선,2026-09-23,2026-08-26,2026-09-23,21,20,,2.4272,READY
006370,대구백화점,2026-09-18,2026-08-21,2026-09-18,21,20,154.0,4.0101,READY
006400,삼성SDI,2026-09-18,2026-08-21,2026-09-18,21,20,14150.0,2.6616,READY
006490,프리티,2026-09-23,2026-08-26,2026-09-23,21,20,,10.8010,READY
006840,AK홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,117.5,1.5535,READY
006880,신송홀딩스,2026-09-18,2026-08-21,2026-09-18,21,20,71.5,1.6089,READY
007070,GS리테일,2026-09-18,2026-08-21,2026-09-18,21,20,492.5,1.9036,READY
007120,미래아이앤지,2026-09-18,2026-08-21,2026-09-18,21,20,22.1,1.9537,READY
007310,오뚜기,2026-09-18,2026-08-21,2026-09-18,21,20,3850.0,1.1678,READY
007540,샘표,2026-09-18,2026-08-21,2026-09-18,21,20,1435.0,3.051,READY
007610,선도전기,2026-09-23,2026-08-26,2026-09-23,21,20,,3.5057,READY
007690,국도화학,2026-09-18,2026-08-21,2026-09-18,21,20,807.5,2.0945,READY
007700,F&F홀딩스,2026-09-23,2026-08-26,2026-09-23,21,20,,0.9898,READY
008250,이건산업,2026-09-23,2026-08-26,2026-09-23,21,20,,1.7010,READY
008930,한미사이언스,2026-09-18,2026-08-21,2026-09-18,21,20,2727.5,5.4868,READY
009770,삼정펄프,2026-09-18,2026-08-21,2026-09-18,21,20,265.0,0.9392,READY
