ticker,name,market,financial_sector,raw_source_mode,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,audit_note
001560,제일연마,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
002420,우양피앤엘,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
002450,삼익악기,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
003280,흥아해운,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
003490,대한항공,KOSPI,false,DIRECT,1,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,TRUE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
006650,대한유화,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
008770,호텔신라,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
009420,한올바이오파마,KOSPI,false,DIRECT,1,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,TRUE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
012450,한화에어로스페이스,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
017670,SK텔레콤,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
020560,아시아나항공,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
022100,포스코DX,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
023960,에쓰씨엔지니어링,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
036570,NC,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
058730,다스코,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
063160,종근당바이오,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
066570,LG전자,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
071840,롯데하이마트,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
078520,에이블씨엔씨,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
081000,일진다이아,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
086280,현대글로비스,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
100250,진양홀딩스,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
139480,이마트,KOSPI,false,DIRECT,1,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,TRUE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
286940,롯데이노베이트,KOSPI,false,DIRECT,1,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,TRUE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
336260,두산퓨얼셀,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
357250,미래에셋맵스리츠,KOSPI,false,UNAVAILABLE,1,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,TRUE,연간/분기 재무 raw source 보강 필요
361610,SK아이이테크놀로지,KOSPI,false,DIRECT,1,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,TRUE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
483650,달바글로벌,KOSPI,false,DIRECT,1,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,TRUE,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
000650,천일고속,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
000650,천일고속,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
001020,페이퍼코리아,KOSPI,false,DIRECT,2,과열·급락 위험:MISSING_RISK_INPUT,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
001020,페이퍼코리아,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
001440,대한전선,KOSPI,false,DIRECT,2,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
001440,대한전선,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
003580,HLB글로벌,KOSPI,false,DIRECT,2,EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,FALSE,"승인 exact D&A 원천 부족; debt_status=EMPTY_AS_ZERO, da_status=NO_EXACT_CANDIDATE"
003580,HLB글로벌,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
009200,무림페이퍼,KOSPI,false,DIRECT,2,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
009200,무림페이퍼,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
011200,HMM,KOSPI,false,DIRECT,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,FALSE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
011200,HMM,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
012280,영화금속,KOSPI,false,DIRECT,2,과열·급락 위험:MISSING_RISK_INPUT,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
012280,영화금속,KOSPI,false,DIRECT,2,기간 저가·고가 대비 현재위치:MISSING_POSITION,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
012690,모나리자,KOSPI,false,DIRECT,2,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,FALSE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
012690,모나리자,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
013360,일성건설,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
013360,일성건설,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
241590,화승엔터프라이즈,KOSPI,false,DIRECT,2,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
241590,화승엔터프라이즈,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
271940,일진하이솔루스,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
271940,일진하이솔루스,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
271980,제일약품,KOSPI,false,DIRECT,2,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,SOURCE_EVIDENCE_GAP,PRODUCTION_ANALYSIS_SUPPLY,FALSE,공시·수급 없음 판정을 확정할 만큼 source completeness가 부족함
271980,제일약품,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
403550,쏘카,KOSPI,false,DIRECT,2,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
403550,쏘카,KOSPI,false,DIRECT,2,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
000810,삼성화재,KOSPI,true,UNAVAILABLE,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
000810,삼성화재,KOSPI,true,UNAVAILABLE,3,최근 3년 매출 성장률:MISSING_3Y_REVENUE,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
000810,삼성화재,KOSPI,true,UNAVAILABLE,3,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
005830,DB손해보험,KOSPI,true,UNAVAILABLE,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
005830,DB손해보험,KOSPI,true,UNAVAILABLE,3,최근 3년 매출 성장률:MISSING_3Y_REVENUE,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
005830,DB손해보험,KOSPI,true,UNAVAILABLE,3,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
012160,영흥,KOSPI,false,DIRECT,3,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,밸류에이션 또는 관련 이익·ROE 입력 보강 필요
012160,영흥,KOSPI,false,DIRECT,3,과열·급락 위험:MISSING_RISK_INPUT,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
012160,영흥,KOSPI,false,DIRECT,3,기간 저가·고가 대비 현재위치:MISSING_POSITION,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
044380,주연테크,KOSPI,false,DIRECT,3,EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE,SOURCE_DATA_GAP,EXACT_DA_SOURCE,FALSE,"승인 exact D&A 원천 부족; debt_status=OK, da_status=NO_EXACT_CANDIDATE"
044380,주연테크,KOSPI,false,DIRECT,3,과열·급락 위험:MISSING_RISK_INPUT,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
044380,주연테크,KOSPI,false,DIRECT,3,기간 저가·고가 대비 현재위치:MISSING_POSITION,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
091810,트리니티항공,KOSPI,false,DIRECT,3,과열·급락 위험:MISSING_RISK_INPUT,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
091810,트리니티항공,KOSPI,false,DIRECT,3,기간 저가·고가 대비 현재위치:MISSING_POSITION,SOURCE_DATA_GAP,PRODUCTION_PRICE_METRICS,FALSE,가격·스윙·ATR·거래활동 metric 보강 필요
091810,트리니티항공,KOSPI,false,DIRECT,3,최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE,POLICY_SEMANTIC_BLOCKER,V880_SCORING_CONTRACT,FALSE,전년도 연간 영업이익 분모가 비양수이며 승인 계약상 turnaround 예외에도 해당하지 않음
105560,KB금융,KOSPI,true,UNAVAILABLE,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
105560,KB금융,KOSPI,true,UNAVAILABLE,3,최근 3년 매출 성장률:MISSING_3Y_REVENUE,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
105560,KB금융,KOSPI,true,UNAVAILABLE,3,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,연간/분기 재무 raw source 보강 필요
