ticker,name,market,source_cache_blocker_count,blocker_reasons,recovery_lane,recovery_note,source_cache_status,source_cache_reason,three_year_source_status,quarter_source_status,preferred_fs_div,annual_source_year,annual_revenue_3y_complete,annual_operating_profit_3y_complete,q2_revenue_complete,q2_operating_profit_complete,financial_source_status,financial_data_status,financial_fs_div,v8104_exhausted
000810,삼성화재,KOSPI,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,ANNUAL_AND_QUARTER_OFFICIAL_REAUDIT,3년 연간자료와 Q2 분기자료가 모두 blocker에 직접 연결됨,LIMITED_RAW_SOURCE,"3Y_ANNUAL_LIMITED,QUARTER_LIMITED",LIMITED,LIMITED,CFS,2025,FALSE,TRUE,FALSE,TRUE,OK,READY,CFS,FALSE
001045,CJ우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
001527,동양2우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
001530,DI동일,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
002380,KCC,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
003495,대한항공우,KOSPI,1,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
004545,깨끗한나라우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
005385,현대차우,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
005387,현대차2우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
005389,현대차3우B,KOSPI,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_CACHE_ROW_MISSING,investment_score_source_cache에 해당 ticker 행이 없음,,,,,,,FALSE,FALSE,FALSE,FALSE,NO_CORP_CODE,LIMITED,,FALSE
