ticker,lane,blocker_occurrences,blocker_reasons,current_financial_eligible,source_cache_row_present,source_cache_status,source_cache_reason,three_year_source_status,quarter_source_status,deep_source_status,fetched_at_kst
000050,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
000105,UPSTREAM_FINANCIAL_BLOCKED_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE,FALSE,,,,,,
001020,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
001460,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
002450,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
002990,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
002995,UPSTREAM_FINANCIAL_BLOCKED_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,FALSE,FALSE,,,,,,
003060,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
003480,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
003850,ELIGIBLE_SOURCE_ROW_MISSING,4,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 3년 영업이익 성장률:MISSING_3Y_OP;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,TRUE,FALSE,,,,,,
