ticker,change_type,baseline_raw_source_mode,staged_raw_source_mode,baseline_missing_component_count,staged_missing_component_count
000040,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,11,5
000100,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
000220,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
000225,PREFERRED_COMMON_INHERITANCE,UNAVAILABLE,PREFERRED_COMMON:000220,18,15
000680,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
000850,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,5
001060,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
001390,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
002070,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,11,5
002100,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,3
002140,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,3
002780,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,11,6
002787,PREFERRED_COMMON_INHERITANCE,UNAVAILABLE,PREFERRED_COMMON:002780,20,18
003780,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
003830,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
003960,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
004560,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
004720,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
005850,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
005950,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,4
006040,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,5,1
006110,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
006200,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,7,4
007610,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,11,6
007700,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,6,2
010640,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
011150,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
011760,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
011930,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
012320,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,6,2
012630,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,5,1
012690,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
013520,DIRECT_ADDED_SOURCE,UNAVAILABLE,UNAVAILABLE,9,3
013580,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,3
013870,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
014530,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
014710,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
014820,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,3
015260,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,12,7
017940,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
023810,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
064960,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
067830,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
077970,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
078000,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
078930,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,5,1
078935,PREFERRED_COMMON_INHERITANCE,UNAVAILABLE,PREFERRED_COMMON:078930,13,10
088260,DIRECT_ADDED_SOURCE,UNAVAILABLE,UNAVAILABLE,9,4
090080,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
093370,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,4
095720,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,11,5
097230,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
100250,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
102260,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
102460,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
210540,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
213500,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
248170,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,3
249420,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,4
271560,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,9,2
271980,DIRECT_ADDED_SOURCE,UNAVAILABLE,DIRECT,10,5
400760,DIRECT_ADDED_SOURCE,UNAVAILABLE,UNAVAILABLE,9,3
439260,DIRECT_ADDED_SOURCE,UNAVAILABLE,UNAVAILABLE,9,4
448730,DIRECT_ADDED_SOURCE,UNAVAILABLE,UNAVAILABLE,9,4
