ticker,name,market,production_table,single_blocker_ticker,supply_status,supply_level,supply_classification,analysis_top_level_keys_json,candidate_completeness_paths_json,analysis_flat_json
000650,천일고속,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""151900~159000"",""legacy_score_not_100_scale"":null,""operating_profit"":""-2668816942"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""133500~141900""}"
001020,페이퍼코리아,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""2410~2550"",""legacy_score_not_100_scale"":null,""operating_profit"":""6687986487"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""2045~2215""}"
001045,CJ우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""70500~72600"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""65000~67200""}"
001420,태원물산,KOSPI,decliners24,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""2965~3055"",""legacy_score_not_100_scale"":null,""operating_profit"":""-900635208"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""2620~2850""}"
001440,대한전선,KOSPI,decliners24,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":""흑자지속"",""first_sell_target_range"":""32,500원~34,950원"",""legacy_score_not_100_scale"":124.0,""operating_profit"":""1213억원"",""pbr"":2.94,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""26,100원~29,100원""}"
001527,동양2우B,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""6200~6560"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""5240~5690""}"
002210,동성제약,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""1481~1539"",""legacy_score_not_100_scale"":null,""operating_profit"":""-1745601839"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""1328~1395""}"
002990,금호건설,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""15150~17440"",""legacy_score_not_100_scale"":null,""operating_profit"":""28657965170"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""12270~14420""}"
003280,흥아해운,KOSPI,kospi,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":""흑자지속"",""first_sell_target_range"":""1,985원~2,075원"",""legacy_score_not_100_scale"":123.0,""operating_profit"":""42억원"",""pbr"":1.6,""per"":82.88,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""1,756원~1,859원""}"
003495,대한항공우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""22350~23000"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""21200~21500""}"
004545,깨끗한나라우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""4415~4830"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""3325~3835""}"
