ticker,name,market,single_blocker_ticker,baseline_blocker_reason,corp_code,corp_name_dart,corp_code_exact_stock_match_count,audit_start_date,audit_end_date,requested_lookback_days,chunk_days,chunk_count,dart_list_api_calls,dart_report_count,risk_report_count,risk_level,risk_keywords,latest_risk_report_date,latest_risk_report_name,latest_risk_rcept_no,relief_report_match_count,query_complete_180d,audit_classification,source_overlay_candidate,proposed_supply_status,proposed_supply_level,evidence_reports_json,chunk_summaries_json,api_errors_json,audit_note
000650,천일고속,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00151395,천일고속,1,2026-03-20,2026-09-15,180,90,2,2,6,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":5},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":1}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
001020,페이퍼코리아,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00134723,페이퍼코리아,1,2026-03-20,2026-09-15,180,90,2,2,23,2,위험,"신주인수권,신주인수권행사,주요주주변동",20260508,임원ㆍ주요주주특정증권등소유상황보고서,20260508000043,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,위험,"[{""rcept_dt"":""20260508"",""rcept_no"":""20260508000043"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""페이퍼코리아"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260504"",""rcept_no"":""20260504800527"",""report_nm"":""전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              "",""corp_name"":""페이퍼코리아"",""keywords"":[""신주인수권"",""신주인수권행사""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":16},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
001045,CJ우,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
001420,태원물산,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00154055,태원물산,1,2026-03-20,2026-09-15,180,90,2,2,11,0,없음,,,,,2,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":4},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
001440,대한전선,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00113207,대한전선,1,2026-03-20,2026-09-15,180,90,2,2,35,3,위험,"교환청구,대량보유,신주인수권,전환청구",20260513,주식등의대량보유상황보고서(약식),20260513000551,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,위험,"[{""rcept_dt"":""20260513"",""rcept_no"":""20260513000551"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""대한전선"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260421"",""rcept_no"":""20260421800611"",""report_nm"":""[기재정정]전환청구권ㆍ신주인수권ㆍ교환청구권행사              "",""corp_name"":""대한전선"",""keywords"":[""교환청구"",""신주인수권"",""전환청구""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260421"",""rcept_no"":""20260421800539"",""report_nm"":""전환청구권ㆍ신주인수권ㆍ교환청구권행사              "",""corp_name"":""대한전선"",""keywords"":[""교환청구"",""신주인수권"",""전환청구""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":21},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":14}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
001527,동양2우B,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
002210,동성제약,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00116268,동성제약,1,2026-03-20,2026-09-15,180,90,2,2,75,27,위험,"CB,CB발행,감자,대량보유,유상증자,주요주주변동,최대주주변경",20260514,[기재정정]주요사항보고서(감자결정),20260514001369,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,위험,"[{""rcept_dt"":""20260514"",""rcept_no"":""20260514001369"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260513"",""rcept_no"":""20260513000482"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260429"",""rcept_no"":""20260429000976"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260424"",""rcept_no"":""20260424000499"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260422"",""rcept_no"":""20260422000352"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000283"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260416"",""rcept_no"":""20260415000699"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000150"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000146"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000145"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260415"",""rcept_no"":""20260415000133"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260410"",""rcept_no"":""20260410003004"",""report_nm"":""주식등의대량보유상황보고서(약식)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409800917"",""report_nm"":""유상증자또는주식관련사채등의발행결과(자율공시)              "",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409001531"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260409"",""rcept_no"":""20260409001294"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003134"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003088"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003057"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""동성제약"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260406"",""rcept_no"":""20260406003017"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""동성제약"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260403"",""rcept_no"":""20260403003449"",""report_nm"":""[기재정정]주요사항보고서(전환사채권발행결정)"",""corp_name"":""동성제약"",""keywords"":[""CB"",""CB발행""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260402"",""rcept_no"":""20260402003144"",""report_nm"":""[기재정정]주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260401"",""rcept_no"":""20260401800868"",""report_nm"":""최대주주등소유주식변동신고서(최대주주변경시)              "",""corp_name"":""동성제약"",""keywords"":[""최대주주변경""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260401"",""rcept_no"":""20260401004789"",""report_nm"":""주요사항보고서(전환사채권발행결정)"",""corp_name"":""동성제약"",""keywords"":[""CB"",""CB발행""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260331800434"",""report_nm"":""최대주주변경              "",""corp_name"":""동성제약"",""keywords"":[""최대주주변경""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260331800372"",""report_nm"":""유상증자또는주식관련사채등의발행결과(자율공시)              "",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260331"",""rcept_no"":""20260330001841"",""report_nm"":""주요사항보고서(감자결정)"",""corp_name"":""동성제약"",""keywords"":[""감자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260327"",""rcept_no"":""20260327000731"",""report_nm"":""주요사항보고서(유상증자결정)"",""corp_name"":""동성제약"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":63},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":12}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
002990,금호건설,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00106313,금호건설,1,2026-03-20,2026-09-15,180,90,2,2,77,29,위험,"대량보유,유상증자,자사주처분,주요주주변동",20260417,[기재정정]주요사항보고서(유상증자결정),20260417000439,0,TRUE,COMPLETE_180D_POSITIVE_BURDEN,TRUE,OK,위험,"[{""rcept_dt"":""20260417"",""rcept_no"":""20260417000439"",""report_nm"":""[기재정정]주요사항보고서(유상증자결정)"",""corp_name"":""금호건설"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000408"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000404"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000397"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000392"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000386"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000383"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000379"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000376"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000369"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000362"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000351"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000346"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000340"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000333"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000327"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000318"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000311"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000306"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000303"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000296"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000289"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000286"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000281"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000268"",""report_nm"":""임원ㆍ주요주주특정증권등소유상황보고서"",""corp_name"":""금호건설"",""keywords"":[""주요주주변동""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000220"",""report_nm"":""주식등의대량보유상황보고서(일반)"",""corp_name"":""금호건설"",""keywords"":[""대량보유""],""severity"":1,""relief_flag"":false},{""rcept_dt"":""20260417"",""rcept_no"":""20260417000107"",""report_nm"":""자기주식처분결과보고서"",""corp_name"":""금호건설"",""keywords"":[""자사주처분""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260326"",""rcept_no"":""20260326001370"",""report_nm"":""주요사항보고서(자기주식처분결정)"",""corp_name"":""금호건설"",""keywords"":[""자사주처분""],""severity"":2,""relief_flag"":false},{""rcept_dt"":""20260326"",""rcept_no"":""20260326001295"",""report_nm"":""주요사항보고서(유상증자결정)"",""corp_name"":""금호건설"",""keywords"":[""유상증자""],""severity"":3,""relief_flag"":false}]","[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":53},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":24}]",[],종목별 180일 전 구간 조회 완료 + 기존 supply contract 키워드에 해당하는 양성 공시 확인
003280,흥아해운,KOSPI,TRUE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,00167208,흥아해운,1,2026-03-20,2026-09-15,180,90,2,2,14,0,없음,,,,,0,TRUE,COMPLETE_180D_NO_POSITIVE_BURDEN,TRUE,OK,없음,[],"[{""start"":""2026-03-20"",""end"":""2026-06-17"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7},{""start"":""2026-06-18"",""end"":""2026-09-15"",""complete"":true,""pages_fetched"":1,""total_page_seen"":1,""report_count"":7}]",[],종목별 180일 전 구간 조회가 모두 완료되었고 기존 supply contract 위험 키워드 공시가 발견되지 않음
003495,대한항공우,KOSPI,FALSE,수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,,,0,2026-03-20,2026-09-15,180,90,0,0,0,0,,,,,,0,FALSE,CORP_CODE_EXACT_STOCK_UNRESOLVED,FALSE,,,[],[],[],DART corpCode.xml exact stock_code match가 유일하지 않아 issuer mapping을 추정하지 않음
