date,basDt,mngInvTgt,invrCtg,scrtCmpyCnt,actCnt,actBal,_source_api,_collected_at_kst
2026-01-27,20260127,합계,기관,0,139489,12165977410859,cma,2026-06-06T08:10:19+09:00
2026-01-27,20260127,MMF형,개인,12,2639856,4092226772330,cma,2026-06-06T08:10:19+09:00
2026-01-27,20260127,MMF형,기관,12,533,83578371676,cma,2026-06-06T08:10:19+09:00
2026-01-27,20260127,RP형,개인,22,25685258,39947048010570,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,기타형,기관,14,54599,8127139855051,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,기타형,개인,14,3296816,23284738230999,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,RP형,기관,22,75280,3215444337030,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,RP형,개인,22,25698404,39971567965150,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,MMF형,기관,12,533,83849889223,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,합계,기관,0,139563,12215355272028,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,종금형,기관,1,200,9345792625,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,MMF형,개인,12,2642537,4066189878460,cma,2026-06-06T08:10:19+09:00
2026-01-28,20260128,합계,개인,0,38264162,90426740198255,cma,2026-06-09T05:19:02+09:00
2026-01-28,20260128,종금형,개인,1,43699,91623253498,cma,2026-06-09T05:19:02+09:00
2026-01-28,20260128,발행어음형,기관,5,8951,779575398099,cma,2026-06-09T05:19:02+09:00
2026-01-28,20260128,발행어음형,개인,5,6582706,23012620870148,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,MMF형,기관,12,533,85626497117,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,발행어음형,기관,5,8951,776554613990,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,종금형,개인,1,43699,90896133809,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,종금형,기관,1,200,9210527064,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,합계,개인,0,38284336,91212160718069,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,합계,기관,0,139647,12037162277345,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,MMF형,개인,12,2645014,4053742159006,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,RP형,개인,22,25711482,40061001287132,cma,2026-06-09T05:19:02+09:00
2026-01-29,20260129,발행어음형,개인,5,6586701,23097134244835,cma,2026-06-10T05:06:47+09:00
2026-01-29,20260129,RP형,기관,22,75333,3217439602471,cma,2026-06-10T05:06:47+09:00
2026-01-29,20260129,기타형,개인,14,3297440,23909386893287,cma,2026-06-10T05:06:47+09:00
2026-01-29,20260129,기타형,기관,14,54630,7948331036703,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,RP형,기관,22,75383,3125156170361,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,기타형,개인,14,3298187,24133400255035,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,기타형,기관,14,54652,7523302567627,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,합계,기관,0,139717,11508797699913,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,발행어음형,기관,5,8949,766291677041,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,종금형,개인,1,43691,91619406517,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,종금형,기관,1,200,9476281890,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,발행어음형,개인,5,6589861,23278156053717,cma,2026-06-10T05:06:47+09:00
2026-01-30,20260130,합계,개인,0,38303788,91835025302331,cma,2026-06-11T04:29:38+09:00
2026-01-30,20260130,MMF형,개인,12,2647207,4037349169996,cma,2026-06-11T04:29:38+09:00
2026-01-30,20260130,MMF형,기관,12,533,84571002994,cma,2026-06-11T04:29:38+09:00
2026-01-30,20260130,RP형,개인,22,25724842,40294500417066,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,발행어음형,기관,5,8952,756034857333,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,발행어음형,개인,5,6596782,23174446385291,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,기타형,기관,14,54685,7740190554069,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,기타형,개인,14,3298768,23853004882294,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,RP형,기관,22,75406,3215517914811,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,RP형,개인,22,25749045,39985802851822,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,합계,기관,0,139777,11804046547444,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,MMF형,개인,12,2652454,4028177833690,cma,2026-06-11T04:29:38+09:00
2026-02-02,20260202,합계,개인,0,38340726,91134106000359,cma,2026-06-12T03:30:32+09:00
2026-02-02,20260202,MMF형,기관,12,533,82824746539,cma,2026-06-12T03:30:32+09:00
2026-02-02,20260202,종금형,기관,1,201,9478474692,cma,2026-06-12T03:30:32+09:00
2026-02-02,20260202,종금형,개인,1,43677,92674047262,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,MMF형,개인,12,2654735,4064053979287,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,MMF형,기관,12,533,94442498836,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,발행어음형,개인,5,6600167,23315667133946,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,발행어음형,기관,5,8958,751292462795,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,종금형,개인,1,43656,92576363977,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,종금형,기관,1,201,9464980765,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,합계,개인,0,38363479,91746837126705,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,합계,기관,0,139843,11921173495148,cma,2026-06-12T03:30:32+09:00
2026-02-03,20260203,RP형,개인,22,25765631,40261452111340,cma,2026-06-15T00:31:30+09:00
2026-02-03,20260203,RP형,기관,22,75439,3240011957137,cma,2026-06-15T00:31:30+09:00
2026-02-03,20260203,기타형,개인,14,3299290,24013087538155,cma,2026-06-15T00:31:30+09:00
2026-02-03,20260203,기타형,기관,14,54712,7825961595615,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,기타형,개인,14,3299890,23990553383335,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,기타형,기관,14,54729,7921756071400,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,발행어음형,개인,5,6603337,23306726804190,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,종금형,개인,1,43646,92780216366,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,종금형,기관,1,201,9466465765,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,합계,개인,0,38381322,91781745087339,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,합계,기관,0,139879,12046412599218,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,MMF형,개인,12,2656759,4087568915864,cma,2026-06-15T00:31:30+09:00
2026-02-04,20260204,발행어음형,기관,5,8962,754648498428,cma,2026-06-16T05:56:45+09:00
2026-02-04,20260204,MMF형,기관,12,533,89007519911,cma,2026-06-16T05:56:45+09:00
2026-02-04,20260204,RP형,개인,22,25777690,40304115767584,cma,2026-06-16T05:56:45+09:00
2026-02-04,20260204,RP형,기관,22,75454,3271534043714,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,발행어음형,기관,5,8966,747026000445,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,MMF형,개인,12,2658617,4128257250795,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,발행어음형,개인,5,6608955,23273091047655,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,기타형,기관,14,54771,7794131668848,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,기타형,개인,14,3300502,23861910708529,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,RP형,기관,22,75487,3276123685693,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,RP형,개인,22,25788093,40347507636647,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,합계,기관,0,139958,12004633602490,cma,2026-06-16T05:56:45+09:00
2026-02-05,20260205,MMF형,기관,12,533,177986758515,cma,2026-06-17T05:31:10+09:00
2026-02-05,20260205,합계,개인,0,38399815,91703282097736,cma,2026-06-17T05:31:10+09:00
2026-02-05,20260205,종금형,기관,1,201,9365488989,cma,2026-06-17T05:31:10+09:00
2026-02-05,20260205,종금형,개인,1,43648,92515454110,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,RP형,기관,22,75520,3299251988384,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,기타형,개인,14,3301159,23797130331970,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,기타형,기관,14,54802,7959146616743,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,발행어음형,기관,5,8970,739209053152,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,종금형,개인,1,43637,92842998088,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,종금형,기관,1,201,9285946330,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,합계,개인,0,38413120,91289573389217,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,합계,기관,0,140026,12183260369865,cma,2026-06-17T05:31:10+09:00
2026-02-06,20260206,발행어음형,개인,5,6611339,23141595424845,cma,2026-06-18T03:28:50+09:00
