date,indicator_code,indicator_name,value,unit,frequency,source,source_url
2022-04-28,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22296373.320203,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-04-29,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22261672.785591,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-02,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22205398.8723,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-03,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22182399.085297,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-04,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22262455.647212,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-06,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22299126.486402,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-09,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22336605.523642,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-10,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22267353.1956,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-11,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,22028052.999017,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-12,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21824777.892695,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-13,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21841089.776659,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-16,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21678766.909141,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-17,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21490694.24584,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-18,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21516950.583636,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-19,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21553690.867989,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-20,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21625820.475918,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-23,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21645775.879006,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-24,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21587710.1905,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-25,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21665118.427486,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-05-26,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,21665154.134394,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
