api,api_label,date,basDt,mngInvTgt,invrCtg,scrtCmpyCnt,actCnt,actBal,_source_api,_collected_at_kst,crdTrFingWhl,crdTrFingScrs,crdTrFingKosdaq,crdTrLndrWhl,crdTrLndrScrs,crdTrLndrKosdaq,sbscCapLn,dpsgScrtMogFing,invrDpsgAmt,onbdDrvPrdTrRcAdvAmt,toCstRpchCndBndSlgBal,brkTrdUcolMny,brkTrdUcolMnyVsOppsTrdAmt,ucolMnyVsOppsTrdRlImpt
cma,일자별 CMA 현황,2026-07-14,20260714,합계,기관,0.0,145544.0,12577963790099.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,합계,개인,0.0,39649717.0,91488007736392.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,종금형,기관,1.0,197.0,7996466868.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,종금형,개인,1.0,42743.0,79698918286.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,발행어음형,기관,5.0,9295.0,836601454524.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,발행어음형,개인,5.0,6856242.0,22158877799684.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,기타형,기관,14.0,57265.0,8142961267132.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,기타형,개인,14.0,3049294.0,24322656751793.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,RP형,기관,23.0,78251.0,3509021333391.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,RP형,개인,23.0,26816527.0,40670651449020.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,MMF형,기관,12.0,536.0,81383268184.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
cma,일자별 CMA 현황,2026-07-14,20260714,MMF형,개인,12.0,2884911.0,4256122817609.0,cma,2026-07-16T09:07:51+09:00,,,,,,,,,,,,,,
credit,신용공여 잔고 추이,2026-07-14,20260714,,,,,,credit,2026-07-16T09:07:51+09:00,34707754614280,27452720432165,7255034182115,28580237731,25297162892,3283074839,0.0,24804274409524.0,,,,,,
market_funds,증시자금 추이,2026-07-14,20260714,,,,,,market_funds,2026-07-16T09:07:51+09:00,,,,,,,,,111282479606976.0,47499249594747,108657584423776.0,1013673392754.0,21562621703.0,1.9
