rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
1,✅,214450,파마리서치,KOSDAQ,2026-07-22,322500,"297,500원~319,500원","345,000원~363,500원","약 ±11,350원 내외 (±3.60%)",2.2,276000,378500,37.14,45.37,1개월,9.88,6.26,108367,68565533112,False,False,22,87.0,1개월 중간권 45.4%; 1개월 흐름 양호 9.9%; 거래 활발; 탄력 높음 3.60%; 1개월 변동폭 큼 37.1%; 코스닥 대형주 안정성,87.0,1개월 중간권 45.4%; 1개월 흐름 양호 9.9%; 거래 활발; 탄력 높음 3.60%; 1개월 변동폭 큼 37.1%; 코스닥 대형주 안정성,87.0,1개월 중간권 45.4%; 1개월 흐름 양호 9.9%; 거래 활발; 탄력 높음 3.60%; 1개월 변동폭 큼 37.1%; 코스닥 대형주 안정성
2,✅,086450,동국제약,KOSDAQ,2026-07-22,18200,"16,970원~18,020원","19,320원~20,200원",약 ±558원 내외 (±2.81%),2.5,16690,20850,24.93,36.3,1개월,-1.46,-27.05,219286,5799179515,False,False,22,87.0,1개월 중간권 36.3%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.81%; 1개월 변동폭 적정 24.9%,87.0,1개월 중간권 36.3%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.81%; 1개월 변동폭 적정 24.9%,87.0,1개월 중간권 36.3%; 1개월 흐름 양호 -1.5%; 거래 보통; 탄력 보통 2.81%; 1개월 변동폭 적정 24.9%
3,✅,041830,인바디,KOSDAQ,2026-07-22,49700,"45,400원~49,200원","53,600원~56,700원","약 ±1,953원 내외 (±4.37%)",1.8,43350,64200,48.1,30.46,1개월,7.23,68.47,76109,7586277368,False,False,22,85.0,1개월 반등초입 30.5%; 1개월 흐름 양호 7.2%; 거래 보통; 탄력 높음 4.37%; 1개월 변동폭 큼 48.1%,85.0,1개월 반등초입 30.5%; 1개월 흐름 양호 7.2%; 거래 보통; 탄력 높음 4.37%; 1개월 변동폭 큼 48.1%,85.0,1개월 반등초입 30.5%; 1개월 흐름 양호 7.2%; 거래 보통; 탄력 높음 4.37%; 1개월 변동폭 큼 48.1%
4,✅,096530,씨젠,KOSDAQ,2026-07-22,26900,"26,600원~26,650원","28,550원~29,900원",약 ±834원 내외 (±2.95%),1.7,26350,31450,19.35,10.78,1개월,-0.74,8.25,188314,7272913953,False,False,22,85.0,1개월 저점권 10.8%; 1개월 흐름 양호 -0.7%; 거래 보통; 탄력 보통 2.95%; 1개월 변동폭 적정 19.4%; 코스닥 대형주 안정성,85.0,1개월 저점권 10.8%; 1개월 흐름 양호 -0.7%; 거래 보통; 탄력 보통 2.95%; 1개월 변동폭 적정 19.4%; 코스닥 대형주 안정성,85.0,1개월 저점권 10.8%; 1개월 흐름 양호 -0.7%; 거래 보통; 탄력 보통 2.95%; 1개월 변동폭 적정 19.4%; 코스닥 대형주 안정성
5,✅,003380,하림지주,KOSDAQ,2026-07-22,9370,"8,970원~9,280원","9,950원~10,410원",약 ±289원 내외 (±2.61%),1.9,8880,10990,23.76,23.22,1개월,-6.3,-30.33,364688,6232666038,False,False,22,85.0,1개월 반등초입 23.2%; 1개월 조정 -6.3%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 23.8%; 코스닥 대형주 안정성,85.0,1개월 반등초입 23.2%; 1개월 조정 -6.3%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 23.8%; 코스닥 대형주 안정성,85.0,1개월 반등초입 23.2%; 1개월 조정 -6.3%; 거래 보통; 탄력 보통 2.61%; 1개월 변동폭 적정 23.8%; 코스닥 대형주 안정성
6,🟡,257720,실리콘투,KOSDAQ,2026-07-22,35000,"32,600원~34,650원","37,150원~38,900원","약 ±1,080원 내외 (±2.90%)",2.0,29850,40450,35.51,48.58,1개월,0.86,-27.98,443067,21319367393,False,False,22,84.0,1개월 중간권 48.6%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.90%; 1개월 변동폭 큼 35.5%; 코스닥 대형주 안정성,84.0,1개월 중간권 48.6%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.90%; 1개월 변동폭 큼 35.5%; 코스닥 대형주 안정성,84.0,1개월 중간권 48.6%; 1개월 흐름 양호 0.9%; 거래 보통; 탄력 보통 2.90%; 1개월 변동폭 큼 35.5%; 코스닥 대형주 안정성
7,🟡,042110,에스씨디,KOSDAQ,2026-07-22,1147,"1,074원~1,136원","1,213원~1,266원",약 ±33원 내외 (±2.55%),2.2,998,1485,48.8,30.6,1개월,-1.38,-23.48,915067,5629470097,False,False,22,84.0,1개월 반등초입 30.6%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 2.55%; 1개월 변동폭 큼 48.8%; 코스닥 초소형주 변동주의,84.0,1개월 반등초입 30.6%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 2.55%; 1개월 변동폭 큼 48.8%; 코스닥 초소형주 변동주의,84.0,1개월 반등초입 30.6%; 1개월 흐름 양호 -1.4%; 거래 보통; 탄력 보통 2.55%; 1개월 변동폭 큼 48.8%; 코스닥 초소형주 변동주의
8,🟡,006730,서부T&D,KOSDAQ,2026-07-22,9590,"8,940원~9,490원","10,400원~11,050원",약 ±405원 내외 (±3.51%),2.4,8850,11720,32.43,25.78,1개월,-4.2,-31.35,376774,5658684801,False,False,22,82.0,1개월 반등초입 25.8%; 1개월 조정 -4.2%; 거래 보통; 탄력 높음 3.51%; 1개월 변동폭 적정 32.4%,82.0,1개월 반등초입 25.8%; 1개월 조정 -4.2%; 거래 보통; 탄력 높음 3.51%; 1개월 변동폭 적정 32.4%,82.0,1개월 반등초입 25.8%; 1개월 조정 -4.2%; 거래 보통; 탄력 높음 3.51%; 1개월 변동폭 적정 32.4%
9,⚠️,067160,SOOP,KOSDAQ,2026-07-22,46450,"45,150원~46,000원","48,450원~50,000원",약 ±996원 내외 (±1.98%),1.6,44700,51500,15.21,25.74,1개월,0.22,-23.1,51635,2528719602,True,False,22,79.0,1개월 반등초입 25.7%; 1개월 흐름 양호 0.2%; 거래대금 매우부족; 탄력 보통 1.98%; 1개월 변동폭 적정 15.2%,79.0,1개월 반등초입 25.7%; 1개월 흐름 양호 0.2%; 거래대금 매우부족; 탄력 보통 1.98%; 1개월 변동폭 적정 15.2%,79.0,1개월 반등초입 25.7%; 1개월 흐름 양호 0.2%; 거래대금 매우부족; 탄력 보통 1.98%; 1개월 변동폭 적정 15.2%
10,⚠️,215200,메가스터디교육,KOSDAQ,2026-07-22,38100,"37,100원~37,700원","39,800원~41,200원",약 ±856원 내외 (±2.08%),1.7,36750,42850,16.6,22.13,1개월,-0.78,-14.29,19643,1466107682,True,False,22,79.0,1개월 반등초입 22.1%; 1개월 흐름 양호 -0.8%; 거래대금 매우부족; 탄력 보통 2.08%; 1개월 변동폭 적정 16.6%,79.0,1개월 반등초입 22.1%; 1개월 흐름 양호 -0.8%; 거래대금 매우부족; 탄력 보통 2.08%; 1개월 변동폭 적정 16.6%,79.0,1개월 반등초입 22.1%; 1개월 흐름 양호 -0.8%; 거래대금 매우부족; 탄력 보통 2.08%; 1개월 변동폭 적정 16.6%
