rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,✅,060250,NHN KCP,KOSDAQ,2026-09-02,"14,890 🟠","13,390원~14,510원","15,780원~16,700원",약 ±509원 내외 (±3.71%),1.8,13130.0,10900.0,18540.0,70.09,52.23,17.47,-15.55,259987,9318701000,False,False,123.0,1개월 추세 양호 17.5%; 매수위치 중립 49.2%; 변동성 적정 3.71%; 3개월 변동폭 유효 70.1%; 현재가 변동 큼(+1.57%),29224463702,KRW,FALSE,2026 반기보고서,OK,00357740,NHN KCP,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,728234912750.0,29163365941.0,698923125032.0,378363870528.0,320559254504.0,581732951983.0,23277508690.0,19487896060.0,25.18,25.55,49.65,4.01,118.03,18.2,흑자지속,588754557260.0,40160611.0,2026-09-02,1452.34,7981.93,10.09,1.84,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-03T10:34:58+09:00
2,✅,041510,에스엠,KOSDAQ,2026-09-02,"76,500 🟠","67,900원~73,500원","80,000원~84,600원","약 ±2,570원 내외 (±3.47%)",2.1,66600.0,63900.0,88800.0,38.97,50.60,3.77,-5.11,123272,6776927663,False,False,123.0,1개월 추세 양호 3.8%; 매수위치 중립 41.8%; 변동성 적정 3.47%; 3개월 변동폭 유효 39.0%; 현재가 변동 큼(+2.96%),91455297850,KRW,FALSE,2026 반기보고서,OK,00260930,에스엠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,628741431007.0,65871928668.0,2009115785193.0,623385573401.0,1385730211792.0,534341307919.0,80196238469.0,283600957430.0,17.67,14.04,-76.77,14.55,44.99,9.51,흑자지속,1762891130000.0,22894690.0,2026-08-26,5754.34,60526.27,13.38,1.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260819,주식등의대량보유상황보고서(약식),2,2026-09-03T10:34:58+09:00
3,✅,293490,카카오게임즈,KOSDAQ,2026-09-02,"9,050","8,300원~8,930원","9,650원~10,170원",약 ±288원 내외 (±3.42%),1.9,8160.0,6780.0,11450.0,68.88,48.61,13.17,-7.11,859212,5681640020,False,False,123.0,1개월 추세 양호 13.2%; 매수위치 중립 48.0%; 변동성 적정 3.42%; 3개월 변동폭 유효 68.9%,-48485908020,KRW,TRUE,2026 반기보고서,OK,01137383,카카오게임즈,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,157946714995.0,-96459161125.0,2756550078894.0,1474024915099.0,1282525163795.0,238662152512.0,-21055008346.0,-67014677810.0,-33.82,-130.28,-43.94,-30.7,114.93,-15.04,적자지속,962842290300.0,106745265.0,2026-09-02,-1807.28,12014.82,,0.75,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,주요주주변동,최대주주변경",20260825,주식등의대량보유상황보고서(일반),12,2026-09-03T10:34:58+09:00
4,✅,003380,하림지주,KOSDAQ,2026-09-02,"10,910 🟠","9,990원~10,590원","11,040원~11,420원",약 ±284원 내외 (±2.80%),2.0,9850.0,8500.0,11750.0,38.24,74.15,5.84,-1.83,423989,5597228608,False,False,123.0,1개월 추세 양호 5.8%; 매수위치 중립 67.7%; 변동성 적정 2.80%; 3개월 변동폭 유효 38.2%; 현재가 변동 큼(+1.96%),544186000000,KRW,FALSE,2026 반기보고서,OK,00148364,하림지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,7645465000000.0,271190000000.0,19669531000000.0,12708780000000.0,6960751000000.0,6514385000000.0,458781000000.0,370189000000.0,17.36,18.62,-26.74,7.12,182.58,7.79,흑자지속,1193979919860.0,112005621.0,2026-09-01,4842.44,62146.44,2.2,0.17,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260828,주식등의대량보유상황보고서(일반),5,2026-09-03T10:34:58+09:00
5,✅,122870,와이지엔터테인먼트,KOSDAQ,2026-09-02,"41,400 🔴","36,700원~39,600원","42,900원~45,250원","약 ±1,311원 내외 (±3.16%)",1.7,36050.0,34300.0,49950.0,45.63,45.37,3.9,-7.62,105843,5507769955,False,False,123.0,"1개월 추세 양호 3.9%; 매수위치 중립 36.4%; 변동성 적정 3.16%; 3개월 변동폭 유효 45.6%; 현재가 급변, 매수·익절 판단 재점검(+3.50%)",30386272532,KRW,FALSE,2026 반기보고서,OK,00613318,와이지엔터테인먼트,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,274878710067.0,17307323449.0,843813747740.0,180043666812.0,663770080928.0,200566757750.0,17884278020.0,21448232994.0,37.05,69.9,-19.31,11.05,27.12,5.21,흑자지속,769136666350.0,18691049.0,2026-08-31,1851.94,35512.72,22.22,1.16,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260721,주식등의대량보유상황보고서(일반),2,2026-09-03T10:34:58+09:00
6,🟡,214450,파마리서치,KOSDAQ,2026-09-02,"389,000 🟦","356,000원~388,000원","419,000원~444,500원","약 ±14,540원 내외 (±4.15%)",1.7,349000.0,255000.0,465500.0,82.55,63.66,5.51,35.11,108989,74534415437,False,False,120.0,1개월 추세 양호 5.5%; 매수위치 중립 65.3%; 거래대금 양호; 현재가 보정 적용(-0.89%),123762004754,KRW,FALSE,2026 반기보고서,OK,00970453,파마리서치,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,324805059793.0,104977191967.0,1107176182627.0,318304095279.0,788872087348.0,257517417773.0,100611274981.0,78071684000.0,26.13,23.01,34.46,38.1,40.35,26.61,흑자지속,4083131664000.0,10389648.0,2026-08-18,20208.04,75928.66,19.45,5.18,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-03T10:34:58+09:00
7,🟡,078340,컴투스,KOSDAQ,2026-09-02,"33,850 🟦","32,250원~33,700원","35,600원~36,900원",약 ±711원 내외 (±2.52%),2.3,31900.0,22450.0,41000.0,82.63,61.46,14.07,27.77,465204,5847181106,False,False,120.0,1개월 추세 양호 14.1%; 매수위치 중립 62.5%; 변동성 적정 2.52%; 현재가 보정 적용(-0.59%),12296242274,KRW,FALSE,2026 반기보고서,OK,00476498,컴투스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,301752001444.0,-11295407150.0,1534550709139.0,501867249335.0,1032683459804.0,352823891075.0,3048707898.0,4440913980.0,-14.48,303.33,-354.35,4.07,48.6,-2.19,흑자지속,417150298500.0,12091313.0,2026-09-01,-1868.35,85407.06,,0.4,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260828,주식등의대량보유상황보고서(일반),3,2026-09-03T10:34:58+09:00
8,🟡,064260,다날,KOSDAQ,2026-09-02,"4,967 🟦","4,550원~4,945원","5,390원~5,710원",약 ±179원 내외 (±3.88%),1.8,4460.0,3805.0,5920.0,55.58,54.94,9.29,-13.34,1085712,23982230798,False,False,118.0,1개월 추세 양호 9.3%; 매수위치 중립 56.5%; 3개월 변동폭 유효 55.6%; 현재가 보정 적용(-0.66%),2984200343,KRW,FALSE,2026 반기보고서,OK,00389970,다날,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,115381809097.0,-5768520222.0,719708278333.0,413232529790.0,306475748543.0,113207253192.0,3376412125.0,-20168196018.0,1.92,-11.62,71.4,2.59,134.83,-3.76,흑자지속,405459649520.0,75645457.0,2026-08-27,-152.51,4051.48,,1.32,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-03T10:34:58+09:00
9,🟡,033100,제룡전기,KOSDAQ,2026-09-02,"44,650 🟦","39,100원~43,650원","48,800원~52,500원","약 ±2,065원 내외 (±4.43%)",2.2,38050.0,34250.0,60000.0,75.18,40.39,6.5,-20.98,80220,6239599423,False,False,118.0,1개월 추세 양호 6.5%; 매수위치 중립 38.8%; 3개월 변동폭 유효 75.2%; 현재가 보정 적용(+0.90%),11122563262,KRW,FALSE,2026 반기보고서,OK,00185356,제룡전기,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,70322807356.0,26086093222.0,283416294182.0,35654371634.0,247761922548.0,110560391292.0,36475931347.0,29852271170.0,-36.39,-69.51,-12.62,15.82,14.39,21.06,흑자지속,775814354700.0,16062409.0,2026-08-28,3248.09,15424.95,14.87,3.13,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260720,주식등의대량보유상황보고서(약식),1,2026-09-03T10:34:58+09:00
10,🟡,014620,성광벤드,KOSDAQ,2026-09-02,"30,750 🔴","26,850원~29,400원","32,100원~33,600원","약 ±1,160원 내외 (±4.23%)",2.3,26250.0,22550.0,34800.0,54.32,66.94,16.21,-1.98,101856,5977138528,False,False,118.0,"1개월 추세 양호 16.2%; 매수위치 중립 58.8%; 3개월 변동폭 유효 54.3%; 현재가 급변, 매수·익절 판단 재점검(+3.36%)",16576476028,KRW,FALSE,2026 반기보고서,OK,00132318,성광벤드,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,123269809977.0,18004494758.0,600254322409.0,38219747844.0,562034574565.0,121807433239.0,21515451857.0,15637406167.0,1.2,-22.96,15.14,13.45,6.8,6.41,흑자지속,790081579000.0,26557364.0,2026-09-02,1355.89,21163.04,21.94,1.41,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260728,주식등의대량보유상황보고서(일반),13,2026-09-03T10:34:58+09:00
