rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,✅,096530,씨젠,KOSDAQ,2026-09-04,31900,"29,550원~31,600원","33,250원~34,600원",약 ±938원 내외 (±3.21%),1.5,29100.0,24450.0,35750.0,46.22,65.93,14.13,2.74,131985,13485076521,False,False,123.0,1개월 추세 양호 14.1%; 매수위치 중립 65.9%; 변동성 적정 3.21%; 3개월 변동폭 유효 46.2%,45135773445,KRW,FALSE,2026 반기보고서,OK,00788773,씨젠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,265098134652.0,60701346172.0,1266086381531.0,226658382049.0,1039427999482.0,230056748766.0,17991424007.0,17278901523.0,15.23,150.87,251.3,17.03,21.81,11.68,흑자지속,1666009208600.0,52225994.0,2026-09-04,2324.56,19902.5,13.72,1.6,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분",20260826,주식등의대량보유상황보고서(일반),3,2026-09-05T10:41:50+09:00
2,✅,041510,에스엠,KOSDAQ,2026-09-04,79000,"72,500원~78,200원","83,300원~86,300원","약 ±2,595원 내외 (±3.51%)",2.1,71200.0,63900.0,88800.0,38.97,60.64,3.0,0.38,109767,6948740815,False,False,123.0,1개월 추세 양호 3.0%; 매수위치 중립 60.6%; 변동성 적정 3.51%; 3개월 변동폭 유효 39.0%,91455297850,KRW,FALSE,2026 반기보고서,OK,00260930,에스엠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,628741431007.0,65871928668.0,2009115785193.0,623385573401.0,1385730211792.0,534341307919.0,80196238469.0,283600957430.0,17.67,14.04,-76.77,14.55,44.99,9.51,흑자지속,1762891130000.0,22894690.0,2026-08-26,5754.34,60526.27,13.38,1.27,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260819,주식등의대량보유상황보고서(약식),2,2026-09-05T10:41:50+09:00
3,✅,039200,오스코텍,KOSDAQ,2026-09-04,36600,"33,650원~36,250원","39,200원~41,300원","약 ±1,178원 내외 (±3.38%)",1.7,33050.0,27300.0,44550.0,63.19,53.91,5.78,-12.02,152390,6199959660,False,False,123.0,1개월 추세 양호 5.8%; 매수위치 중립 53.9%; 변동성 적정 3.38%; 3개월 변동폭 유효 63.2%,28682280579,KRW,FALSE,2026 반기보고서,OK,00263654,오스코텍,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,56296750372.0,35763823865.0,267180484124.0,43063474663.0,224117009461.0,11953183273.0,-8954430625.0,-10270300393.0,370.98,420.31,448.23,50.95,19.21,31.92,흑자전환,1373468518400.0,38258176.0,2026-08-26,1869.6,5858.02,19.2,6.13,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,최대주주변경",20260901,주식등의대량보유상황보고서(일반),5,2026-09-05T10:41:50+09:00
4,✅,204620,글로벌텍스프리,KOSDAQ,2026-09-04,5390,"5,000원~5,340원","5,700원~5,970원",약 ±154원 내외 (±3.15%),2.3,4925.0,3955.0,6190.0,56.51,64.21,6.31,17.43,475990,5510827803,False,False,123.0,1개월 추세 양호 6.3%; 매수위치 중립 64.2%; 변동성 적정 3.15%; 3개월 변동폭 유효 56.5%,14860711600,KRW,FALSE,2026 반기보고서,OK,01042711,글로벌텍스프리,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,82393601882.0,16932085681.0,207570164097.0,40584858679.0,166985305418.0,69304369852.0,13517443090.0,15542097669.0,18.89,9.94,8.94,18.04,24.3,20.28,흑자지속,377421482100.0,70283330.0,2026-09-03,481.82,2375.89,11.15,2.26,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260810,주식등의대량보유상황보고서(약식),7,2026-09-05T10:41:50+09:00
5,✅,293490,카카오게임즈,KOSDAQ,2026-09-04,9030,"8,310원~8,940원","9,670원~10,190원",약 ±289원 내외 (±3.43%),1.8,8160.0,6780.0,11450.0,68.88,48.18,8.27,-7.29,243246,5490466530,False,False,123.0,1개월 추세 양호 8.3%; 매수위치 중립 48.2%; 변동성 적정 3.43%; 3개월 변동폭 유효 68.9%,-48485908020,KRW,TRUE,2026 반기보고서,OK,01137383,카카오게임즈,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,157946714995.0,-96459161125.0,2756550078894.0,1474024915099.0,1282525163795.0,238662152512.0,-21055008346.0,-67014677810.0,-33.82,-130.28,-43.94,-30.7,114.93,-15.04,적자지속,962842290300.0,106745265.0,2026-09-02,-1807.28,12014.82,,0.75,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,주요주주변동,최대주주변경",20260825,주식등의대량보유상황보고서(일반),12,2026-09-05T10:41:50+09:00
6,🟡,064260,다날,KOSDAQ,2026-09-04,5200,"4,745원~5,150원","5,420원~5,670원",약 ±182원 내외 (±3.93%),1.9,4655.0,3805.0,5880.0,54.53,67.23,8.22,-8.93,3718430,23617786689,False,False,118.0,1개월 추세 양호 8.2%; 매수위치 중립 67.2%; 3개월 변동폭 유효 54.5%,2984200343,KRW,FALSE,2026 반기보고서,OK,00389970,다날,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,115381809097.0,-5768520222.0,719708278333.0,413232529790.0,306475748543.0,113207253192.0,3376412125.0,-20168196018.0,1.92,-11.62,71.4,2.59,134.83,-3.76,흑자지속,405459649520.0,75645457.0,2026-08-27,-152.51,4051.48,,1.32,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-05T10:41:50+09:00
7,🟡,140860,파크시스템스,KOSDAQ,2026-09-04,262500,"235,500원~259,500원","286,000원~305,500원","약 ±10,780원 내외 (±4.05%)",2.1,230000.0,220000.0,339500.0,54.32,35.56,4.17,-11.17,17199,7447212887,False,False,118.0,1개월 추세 양호 4.2%; 매수위치 중립 35.6%; 3개월 변동폭 유효 54.3%,6314647722,KRW,FALSE,2026 반기보고서,OK,00244747,파크시스템스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,92400012705.0,7719386267.0,473906782182.0,133601859945.0,340304922237.0,103218841724.0,25116874183.0,19002056936.0,-10.48,-74.86,-59.38,6.83,39.26,4.54,흑자지속,1838148112500.0,7002469.0,2026-09-04,2204.76,48597.85,119.06,5.4,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분",20260903,주식등의대량보유상황보고서(약식),3,2026-09-05T10:41:50+09:00
8,🟡,014620,성광벤드,KOSDAQ,2026-09-04,30850,"27,950원~30,500원","32,100원~33,600원","약 ±1,152원 내외 (±4.20%)",2.3,27400.0,22550.0,34800.0,54.32,67.76,15.98,0.16,103199,5978506241,False,False,118.0,1개월 추세 양호 16.0%; 매수위치 중립 67.8%; 3개월 변동폭 유효 54.3%,16576476028,KRW,FALSE,2026 반기보고서,OK,00132318,성광벤드,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,123269809977.0,18004494758.0,600254322409.0,38219747844.0,562034574565.0,121807433239.0,21515451857.0,15637406167.0,1.2,-22.96,15.14,13.45,6.8,6.41,흑자지속,790081579000.0,26557364.0,2026-09-02,1355.89,21163.04,21.94,1.41,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260728,주식등의대량보유상황보고서(일반),13,2026-09-05T10:41:50+09:00
9,🟡,108230,톱텍,KOSDAQ,2026-09-04,3305,"3,080원~3,270원","3,505원~3,670원",약 ±91원 내외 (±2.97%),2.0,3030.0,2550.0,3800.0,49.02,60.4,6.1,-8.7,2115931,5391174133,False,False,118.0,1개월 추세 양호 6.1%; 매수위치 중립 60.4%; 변동성 적정 2.97%; 3개월 변동폭 유효 49.0%; 소형주,-458069766,KRW,TRUE,2026 반기보고서,OK,00531917,톱텍,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,73462875178.0,8424993566.0,547586465779.0,154664032567.0,392922433212.0,71169654457.0,-6835118300.0,-15364438098.0,3.22,93.3,154.83,-0.62,39.36,4.29,적자지속,125666824725.0,38023245.0,2026-09-04,443.15,10333.74,7.46,0.32,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260615,주식등의대량보유상황보고서(일반),2,2026-09-05T10:41:50+09:00
10,🟡,058470,리노공업,KOSDAQ,2026-09-04,66600,"59,200원~65,700원","73,100원~78,400원","약 ±2,940원 내외 (±3.82%)",1.9,57800.0,54000.0,109500.0,102.78,22.7,3.42,-33.13,403403,32891198875,False,False,116.0,1개월 추세 양호 3.4%; 거래대금 양호; 대형주 안정성,120814329893,KRW,FALSE,2026 반기보고서,OK,00369657,리노공업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,242958602798.0,106318582280.0,856864674888.0,80100758256.0,776763916632.0,190932307676.0,88382117361.0,70454648204.0,27.25,36.7,50.9,49.73,10.31,27.37,흑자지속,5075709210000.0,76211850.0,2026-09-04,2790.08,10192.17,23.87,6.53,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260803,주식등의대량보유상황보고서(약식),7,2026-09-05T10:41:50+09:00
