rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst,ticker,aux_name,aux_current_price,aux_compare_to_previous_close,aux_fluctuations_ratio,aux_accumulated_trading_volume,aux_accumulated_trading_value,aux_market_status,aux_local_traded_at,aux_source,aux_fetch_status
1,✅,241710,코스메카코리아,KOSDAQ,2026-07-31,78800,"71,500원~77,900원","85,300원~90,600원","약 ±2,940원 내외 (±3.82%)",1.5,70000.0,62900.0,94900.0,50.87,49.69,14.2,-2.72,154617,8131945385,False,False,118.0,1개월 추세 양호 14.2%; 매수위치 중립 49.7%; 3개월 변동폭 유효 50.9%,21880306993,KRW,FALSE,2026 1분기보고서,OK,00763473,코스메카코리아,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,185142797724.0,19620335955.0,677149116570.0,365107134513.0,312041982057.0,118366010963.0,12290023963.0,9220403024.0,56.42,78.03,112.79,11.82,117.01,25.15,흑자지속,888576000000.0,10680000.0,2026-07-28,7348.44,29217.41,11.32,2.85,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260702,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-01T10:30:42+09:00,241710,코스메카코리아,79400,600,0.76,,,CLOSE,2026-08-03T16:10:17+09:00,NAVER,OK
2,✅,196170,알테오젠,KOSDAQ,2026-07-31,308500,"272,500원~304,000원","340,000원~366,000원","약 ±14,330원 내외 (±4.35%)",2.0,265500.0,253000.0,405000.0,60.08,36.51,-14.54,-16.28,350320,134576985037,False,False,117.0,1개월 약세 -14.5%; 매수위치 중립 36.5%; 거래대금 우수; 3개월 변동폭 유효 60.1%; 대형주 안정성,39300649498,KRW,FALSE,2026 1분기보고서,OK,00989619,알테오젠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,71598550624.0,71344275231.0,729469655232.0,216611535645.0,512858119587.0,83696077912.0,61017565621.0,83037817151.0,-14.45,-35.59,-14.08,54.89,42.24,55.64,흑자지속,16424214129500.0,53586343.0,2026-07-23,5325.56,9570.69,57.55,32.02,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00,196170,알테오젠,317500,9000,2.92,,,CLOSE,2026-08-03T16:10:15+09:00,NAVER,OK
3,✅,214450,파마리서치,KOSDAQ,2026-07-31,338500,"307,500원~335,000원","366,000원~383,000원","약 ±12,480원 내외 (±3.88%)",2.1,301000.0,255000.0,397500.0,55.88,58.6,-6.75,7.97,257179,70455930937,False,False,116.0,매수위치 중립 58.6%; 거래대금 양호; 3개월 변동폭 유효 55.9%,57292342573,KRW,FALSE,2026 1분기보고서,OK,00970453,파마리서치,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,146100260508.0,48748490607.0,1085373221652.0,352897027751.0,732476193901.0,116909970307.0,44733584603.0,36026848814.0,24.97,28.07,35.31,39.21,48.18,26.62,흑자지속,3771442224000.0,10389648.0,2026-06-30,18768.1,70500.58,19.34,5.15,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00,214450,파마리서치,372000,33500,9.9,,,CLOSE,2026-08-03T16:10:22+09:00,NAVER,OK
4,✅,096530,씨젠,KOSDAQ,2026-07-31,26900,"24,650원~26,650원","28,900원~30,500원",약 ±902원 내외 (±3.21%),1.6,24200.0,23800.0,32500.0,36.55,35.63,-9.43,9.57,276997,6691420333,False,False,116.0,매수위치 중립 35.6%; 변동성 적정 3.21%; 3개월 변동폭 유효 36.5%,23551052857,KRW,FALSE,2026 1분기보고서,OK,00788773,씨젠,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,129138693834.0,34746746139.0,1255748079813.0,232367522075.0,1023380557738.0,115996860695.0,14846635750.0,17371515994.0,11.33,58.63,100.02,18.24,22.71,13.58,흑자지속,1404879238600.0,52225994.0,2026-07-31,2661.26,19595.23,10.11,1.37,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,자사주처분,20260521,자기주식처분결과보고서,3,2026-08-01T10:30:42+09:00,096530,씨젠,26700,-200,-0.74,,,CLOSE,2026-08-03T16:10:17+09:00,NAVER,OK
5,✅,257720,실리콘투,KOSDAQ,2026-07-31,33950,"31,100원~33,600원","36,450원~38,500원","약 ±1,140원 내외 (±3.15%)",2.0,30550.0,29850.0,46800.0,56.78,24.19,7.27,-22.84,575787,21827609513,False,False,115.0,1개월 추세 양호 7.3%; 변동성 적정 3.15%; 3개월 변동폭 유효 56.8%,64540111638,KRW,FALSE,2026 1분기보고서,OK,00982023,실리콘투,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,346556192213.0,54346030385.0,840820354905.0,348868772820.0,491951582085.0,245676632694.0,47729228743.0,38785002012.0,41.06,35.22,40.12,18.62,70.92,44.19,흑자지속,2259101881400.0,65576252.0,2026-07-20,3314.98,7501.98,10.39,4.59,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,전환청구,20260511,[기재정정]전환주식의전환청구권행사              ,1,2026-08-01T10:30:42+09:00,257720,실리콘투,34500,550,1.62,,,CLOSE,2026-08-03T16:10:17+09:00,NAVER,OK
6,🟡,439090,마녀공장,KOSDAQ,2026-07-31,15530,"13,880원~15,330원","16,980원~17,880원",약 ±660원 내외 (±4.33%),2.0,13550.0,12220.0,18510.0,51.47,52.62,3.05,-2.57,289905,7845595997,False,False,113.0,1개월 추세 양호 3.0%; 매수위치 중립 52.6%; 3개월 변동폭 유효 51.5%; 소형주,6052559241,KRW,FALSE,2026 1분기보고서,OK,01136977,마녀공장,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,26914963450.0,6102818492.0,141061214972.0,11837435425.0,129223779547.0,26869441071.0,1419419348.0,2780180204.0,0.17,326.41,119.51,22.49,9.16,18.89,흑자지속,269833059600.0,16393260.0,2026-07-14,1489.1,7882.74,11.05,2.09,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00,439090,마녀공장,15770,240,1.55,,,CLOSE,2026-08-03T16:10:17+09:00,NAVER,OK
7,🟡,123330,제닉,KOSDAQ,2026-07-31,24500,"22,050원~24,200원","26,650원~28,350원",약 ±983원 내외 (±4.26%),2.3,21550.0,17390.0,29550.0,69.93,58.47,8.89,-12.97,407629,7195996816,False,False,113.0,1개월 추세 양호 8.9%; 매수위치 중립 58.5%; 3개월 변동폭 유효 69.9%; 소형주,3410999501,KRW,FALSE,2026 1분기보고서,OK,00624998,제닉,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,29356408951.0,3476045139.0,66896437604.0,22340918400.0,44555519204.0,17828052046.0,3760987890.0,3515624295.0,64.66,-9.31,-1.13,11.62,50.14,31.21,흑자지속,182482772000.0,7968680.0,2026-07-28,1744.85,5591.33,13.12,4.1,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260504,주식등의대량보유상황보고서(약식),1,2026-08-01T10:30:42+09:00,123330,제닉,22750,-1750,-7.14,,,CLOSE,2026-08-03T16:10:19+09:00,NAVER,OK
8,🟡,003380,하림지주,KOSDAQ,2026-07-31,9600,"8,830원~9,500원","10,280원~10,830원",약 ±307원 내외 (±2.89%),2.1,8680.0,8500.0,13980.0,64.47,20.07,-1.23,-26.83,616538,5684973361,False,False,108.0,변동성 적정 2.89%; 3개월 변동폭 유효 64.5%,258252000000,KRW,FALSE,2026 1분기보고서,OK,00148364,하림지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,3554066000000.0,141147000000.0,17924477000000.0,11217212000000.0,6707265000000.0,3203535000000.0,219888000000.0,108645000000.0,10.94,17.45,29.92,7.27,167.24,8.42,흑자지속,1075253961600.0,112005621.0,2026-07-31,5040.71,59883.29,1.9,0.16,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260626,주식등의대량보유상황보고서(일반),5,2026-08-01T10:30:42+09:00,003380,하림지주,10110,510,5.31,,,CLOSE,2026-08-03T16:10:18+09:00,NAVER,OK
9,🟡,024060,흥구석유,KOSDAQ,2026-07-31,11140,"9,900원~10,990원","12,230원~13,120원",약 ±496원 내외 (±4.02%),1.7,9650.0,8920.0,19300.0,116.37,21.39,17.63,-37.87,2309512,74778129869,False,False,107.0,1개월 추세 양호 17.6%; 거래대금 양호; 소형주,560989477,KRW,FALSE,2026 1분기보고서,OK,00167004,흥구석유,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,OFS,KRW,27102556729.0,419355290.0,96651257641.0,12399995047.0,84251262594.0,29997467053.0,274597455.0,169342882.0,-9.65,104.3,147.64,2.07,14.72,1.99,흑자지속,157650000000.0,15000000.0,2026-07-29,111.83,5616.75,93.98,1.87,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260519,주식등의대량보유상황보고서(약식),1,2026-08-01T10:30:42+09:00,024060,흥구석유,9900,-1240,-11.13,,,CLOSE,2026-08-03T16:10:18+09:00,NAVER,OK
10,🟡,460930,현대힘스,KOSDAQ,2026-07-31,13650,"12,190원~13,480원","14,930원~15,980원",약 ±582원 내외 (±4.19%),2.0,11900.0,10380.0,20700.0,99.42,31.69,13.0,-31.41,1162972,17863443229,False,False,107.0,1개월 추세 양호 13.0%,8529619995,KRW,FALSE,2026 1분기보고서,OK,00667373,현대힘스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,64610109226.0,6552134925.0,332269811277.0,77416745446.0,254853065831.0,58357516442.0,7239830530.0,5498261566.0,10.71,17.82,19.17,13.2,30.38,10.28,흑자지속,499990247680.0,35510671.0,2026-07-28,738.05,7176.8,19.08,1.96,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00,460930,현대힘스,13410,-240,-1.76,,,CLOSE,2026-08-03T16:10:20+09:00,NAVER,OK
