name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
3S,060310,KOSDAQ,OK,2026-07-31,987,841.0,969,1116,1221,812.0,58.0,4.38,2.3,831.0,1323.0,850,1250,59.21,31.71,23,831.0,1978.0,850,1815,138.03,13.6,-16.85,-32.12,230438,217629611,198422352,True,52369272480,53059040,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-5831286169,KRW,TRUE,2025 사업보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260630,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-01T10:30:42+09:00
APS,054620,KOSDAQ,OK,2026-07-31,4125,3765.0,4080,4445,4705,3690.0,145.0,3.09,2.5,3280.0,4720.0,3635,4390,43.9,58.68,23,3280.0,7200.0,3635,6890,119.51,21.56,-1.55,-39.6,39973,158111051,203433221,True,75876161625,18394221,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-733432978,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분,주요주주변동",20260716,주식등의대량보유상황보고서(일반),9,2026-08-01T10:30:42+09:00
APS이노베이션,079810,KOSDAQ,OK,2026-07-31,2825,2455.0,2780,3150,3420,2380.0,149.0,3.95,2.0,2270.0,3250.0,2415,3120,43.17,56.63,23,2270.0,6940.0,2415,6670,205.73,11.88,-9.16,-57.65,118850,324845363,302782486,True,60816865550,21528094,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,3002995084,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
AP시스템,265520,KOSDAQ,OK,2026-07-31,18260,15850.0,17970,20400,22100,15360.0,966.0,4.3,2.0,15600.0,23200.0,16020,22450,48.72,35.0,23,15600.0,31100.0,16020,30200,99.36,17.16,-17.0,-30.31,115578,2062156815,1384934209,True,274827991460,15050821,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,17988139161,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260716,주식등의대량보유상황보고서(일반),1,2026-08-01T10:30:42+09:00
AP위성,211270,KOSDAQ,OK,2026-07-31,6870,5780.0,6690,8160,9210,5550.0,584.0,4.94,2.0,5720.0,9530.0,6200,9180,66.61,30.18,23,5720.0,19840.0,6200,18390,246.85,8.14,-25.16,-58.64,71329,480871125,642898856,True,103615428480,15082304,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-2555002810,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"CB,CB발행",20260626,주요사항보고서(전환사채권발행결정),1,2026-08-01T10:30:42+09:00
BF랩스,139050,KOSDAQ,OK,2026-05-07,601,411.0,578,619,638,373.0,76.0,17.37,,310.0,601.0,373,601,93.87,100.0,4,310.0,601.0,373,601,93.87,100.0,,61.13,1314641,704051221,624225578,True,5195375151,8644551,4,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-503271872,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
BGF에코머티리얼즈,126600,KOSDAQ,OK,2026-07-31,2735,2500.0,2705,2945,3115,2450.0,95.0,2.93,2.4,2460.0,3180.0,2580,3060,29.27,38.19,23,2460.0,4485.0,2580,4250,82.32,13.58,-6.81,-35.04,93578,250167747,241718660,True,171667468765,62766899,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,3228419225,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
CG인바이츠,083790,KOSDAQ,OK,2026-07-31,762,718.0,752,832,889,690.0,32.0,3.28,2.2,711.0,1030.0,744,1008,44.87,15.99,23,711.0,1284.0,744,1258,80.59,8.9,-24.25,-39.43,127037,96460877,119486576,True,58593366684,76894182,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-6101710751,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260723,임원ㆍ주요주주특정증권등소유상황보고서,10,2026-08-01T10:30:42+09:00
CJ ENM,035760,KOSDAQ,OK,2026-07-31,31350,28950.0,31050,33450,35200,28500.0,958.0,2.59,2.1,28100.0,34200.0,28850,34050,21.71,53.28,23,28100.0,56000.0,28850,54200,99.29,11.65,-1.42,-42.05,51049,1582599500,2446628518,True,687478977900,21929154,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,1459647025,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
CJ 바이오사이언스,311690,KOSDAQ,OK,2026-07-31,3430,3090.0,3385,3770,4050,2970.0,155.0,3.18,2.0,3060.0,4800.0,3185,4645,56.86,21.26,23,3060.0,7920.0,3185,7840,158.82,7.61,-21.33,-55.97,9418,32165315,45414252,True,44814534660,13065462,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-5342068096,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-01T10:30:42+09:00
CJ프레시웨이,051500,KOSDAQ,OK,2026-07-31,22550,21150.0,22300,23800,24850,20850.0,570.0,2.42,2.2,21000.0,24300.0,21750,23850,15.71,46.97,23,19800.0,29200.0,20000,28800,47.47,29.26,2.97,-21.7,13067,290143800,264934713,True,267704264300,11871586,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,11033935186,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260612,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-01T10:30:42+09:00
CMG제약,058820,KOSDAQ,OK,2026-07-31,730,649.0,720,806,869,626.0,35.0,3.19,2.6,643.0,1037.0,695,986,61.28,22.08,23,643.0,1808.0,695,1774,181.18,7.47,-25.96,-58.85,1130102,810686197,538930818,True,108130195880,148123556,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-2921991098,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유",20260713,전환사채(해외전환사채포함)발행후만기전사채취득              ,3,2026-08-01T10:30:42+09:00
CNT85,056730,KOSDAQ,OK,2026-07-31,1319,1147.0,1298,1470,1594,1113.0,69.0,7.42,3.0,1131.0,1994.0,1275,1950,76.3,21.78,23,,2500.0,514,2235,,52.76,-31.19,156.61,14030,18549641,13028303,True,19550530603,14822237,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,172666804,KRW,FALSE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260508,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-01T10:30:42+09:00
CS,065770,KOSDAQ,OK,2026-07-31,1463,1166.0,1427,1724,1938,1107.0,119.0,6.68,1.8,1280.0,2430.0,1326,2090,89.84,15.91,23,,4120.0,1326,2900,,35.51,-1.28,-7.64,99204,142534646,2333618926,True,15383538632,10515064,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-369012701,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유,유상증자,주요주주변동",20260722,[기재정정]주요사항보고서(유상증자결정),17,2026-08-01T10:30:42+09:00
CSA 코스믹,083660,KOSDAQ,OK,2026-07-31,230,188.0,225,267,297,179.0,17.0,5.95,2.6,,324.0,217,275,,70.99,23,,494.0,180,435,,46.56,-2.54,-47.13,0,0,411742496,True,24526966090,106638983,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-1581576378,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,감자,유상증자",20260730,주권매매거래정지해제              (감자 주권 변경상장),15,2026-08-01T10:30:42+09:00
DB금융스팩12호,477760,KOSDAQ,OK,2026-07-31,2045,934.0,1286,2105,2170,2025.0,7.0,0.33,2.3,2035.0,2070.0,2045,2060,1.72,28.57,23,,2075.0,2030,2230,,98.55,-0.73,-8.3,4269,8721552,25295111,True,11942800000,5840000,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-14470084,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260708,주식등의대량보유상황보고서(약식),1,2026-08-01T10:30:42+09:00
DGI,099520,KOSDAQ,OK,2026-07-31,1284,1207.0,1271,1387,1477,1181.0,,0.0,,,,1284,1284,,,23,,,1284,1284,,,0.0,0.0,0,0,0,True,58141862016,45281824,62,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,-476162520,KRW,TRUE,2026 1분기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,상장폐지위험,20260529,기타시장안내              (상장폐지 관련 이의신청서 접수),2,2026-08-01T10:30:42+09:00
