rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,low_1m,high_1m,range_1m_pct,position_in_1m_range_pct,current_position_period,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,data_rows_1m,one_month_market_score,one_month_market_reason,score,reason,legacy_market_score,legacy_market_reason
1,✅,003490,대한항공,KOSPI,2026-07-23,25750,"24,950원~25,500원","27,250원~28,400원",약 ±739원 내외 (±2.80%),1.9,24700,29700,20.24,21.0,1개월,-0.58,3.83,1975004,87229546347,False,False,22,97.0,1개월 반등초입 21.0%; 1개월 흐름 양호 -0.6%; 거래 활발; 탄력 보통 2.80%; 1개월 변동폭 적정 20.2%; 대형주 안정성,97.0,1개월 반등초입 21.0%; 1개월 흐름 양호 -0.6%; 거래 활발; 탄력 보통 2.80%; 1개월 변동폭 적정 20.2%; 대형주 안정성,97.0,1개월 반등초입 21.0%; 1개월 흐름 양호 -0.6%; 거래 활발; 탄력 보통 2.80%; 1개월 변동폭 적정 20.2%; 대형주 안정성
2,✅,055550,신한지주,KOSPI,2026-07-23,103800,"99,200원~102,800원","108,000원~111,300원","약 ±2,090원 내외 (±2.09%)",1.9,89400,113300,26.73,60.25,1개월,6.24,3.9,1083249,149109767980,False,False,22,96.0,1개월 중간권 60.2%; 1개월 흐름 양호 6.2%; 거래 매우활발; 탄력 보통 2.09%; 1개월 변동폭 적정 26.7%; 대형주 안정성,96.0,1개월 중간권 60.2%; 1개월 흐름 양호 6.2%; 거래 매우활발; 탄력 보통 2.09%; 1개월 변동폭 적정 26.7%; 대형주 안정성,96.0,1개월 중간권 60.2%; 1개월 흐름 양호 6.2%; 거래 매우활발; 탄력 보통 2.09%; 1개월 변동폭 적정 26.7%; 대형주 안정성
3,✅,068270,셀트리온,KOSPI,2026-07-23,172200,"163,100원~170,500원","180,500원~185,900원","약 ±4,155원 내외 (±2.31%)",1.9,159200,188000,18.09,45.14,1개월,7.29,-16.41,400464,102292346287,False,False,22,96.0,1개월 중간권 45.1%; 1개월 흐름 양호 7.3%; 거래 매우활발; 탄력 보통 2.31%; 1개월 변동폭 적정 18.1%; 대형주 안정성,96.0,1개월 중간권 45.1%; 1개월 흐름 양호 7.3%; 거래 매우활발; 탄력 보통 2.31%; 1개월 변동폭 적정 18.1%; 대형주 안정성,96.0,1개월 중간권 45.1%; 1개월 흐름 양호 7.3%; 거래 매우활발; 탄력 보통 2.31%; 1개월 변동폭 적정 18.1%; 대형주 안정성
4,✅,278470,에이피알,KOSPI,2026-07-23,370000,"346,000원~366,500원","397,500원~419,500원","약 ±13,700원 내외 (±3.45%)",1.6,342500,433500,26.57,30.22,1개월,4.08,-15.14,228262,98783139877,False,False,22,95.0,1개월 반등초입 30.2%; 1개월 흐름 양호 4.1%; 거래 활발; 탄력 높음 3.45%; 1개월 변동폭 적정 26.6%; 대형주 안정성,95.0,1개월 반등초입 30.2%; 1개월 흐름 양호 4.1%; 거래 활발; 탄력 높음 3.45%; 1개월 변동폭 적정 26.6%; 대형주 안정성,95.0,1개월 반등초입 30.2%; 1개월 흐름 양호 4.1%; 거래 활발; 탄력 높음 3.45%; 1개월 변동폭 적정 26.6%; 대형주 안정성
5,✅,039490,키움증권,KOSPI,2026-07-23,314500,"300,000원~311,500원","346,000원~367,500원","약 ±15,630원 내외 (±4.26%)",2.1,297000,373500,25.76,22.88,1개월,-2.18,-29.56,92774,35980130362,False,False,22,95.0,1개월 반등초입 22.9%; 1개월 흐름 양호 -2.2%; 거래 활발; 탄력 높음 4.26%; 1개월 변동폭 적정 25.8%; 대형주 안정성,95.0,1개월 반등초입 22.9%; 1개월 흐름 양호 -2.2%; 거래 활발; 탄력 높음 4.26%; 1개월 변동폭 적정 25.8%; 대형주 안정성,95.0,1개월 반등초입 22.9%; 1개월 흐름 양호 -2.2%; 거래 활발; 탄력 높음 4.26%; 1개월 변동폭 적정 25.8%; 대형주 안정성
6,✅,012330,현대모비스,KOSPI,2026-07-23,524000,"471,000원~519,000원","546,000원~562,000원","약 ±24,100원 내외 (±4.31%)",2.2,452000,572000,26.55,60.0,1개월,2.75,18.42,298791,189261995962,False,False,22,94.0,1개월 중간권 60.0%; 1개월 흐름 양호 2.8%; 거래 매우활발; 탄력 높음 4.31%; 1개월 변동폭 적정 26.6%; 대형주 안정성,94.0,1개월 중간권 60.0%; 1개월 흐름 양호 2.8%; 거래 매우활발; 탄력 높음 4.31%; 1개월 변동폭 적정 26.6%; 대형주 안정성,94.0,1개월 중간권 60.0%; 1개월 흐름 양호 2.8%; 거래 매우활발; 탄력 높음 4.31%; 1개월 변동폭 적정 26.6%; 대형주 안정성
7,✅,000270,기아,KOSPI,2026-07-23,149800,"138,700원~148,300원","155,700원~160,300원","약 ±5,060원 내외 (±3.25%)",2.0,130000,162900,25.31,60.18,1개월,9.02,-5.43,555094,155320041022,False,False,22,94.0,1개월 중간권 60.2%; 1개월 흐름 양호 9.0%; 거래 매우활발; 탄력 높음 3.25%; 1개월 변동폭 적정 25.3%; 대형주 안정성,94.0,1개월 중간권 60.2%; 1개월 흐름 양호 9.0%; 거래 매우활발; 탄력 높음 3.25%; 1개월 변동폭 적정 25.3%; 대형주 안정성,94.0,1개월 중간권 60.2%; 1개월 흐름 양호 9.0%; 거래 매우활발; 탄력 높음 3.25%; 1개월 변동폭 적정 25.3%; 대형주 안정성
8,🟡,005490,POSCO홀딩스,KOSPI,2026-07-23,323500,"297,500원~320,500원","339,000원~349,000원","약 ±11,830원 내외 (±3.04%)",2.1,292000,352000,20.55,52.5,1개월,0.47,-21.19,326824,105011561825,False,False,22,94.0,1개월 중간권 52.5%; 1개월 흐름 양호 0.5%; 거래 매우활발; 탄력 높음 3.04%; 1개월 변동폭 적정 20.6%; 대형주 안정성,94.0,1개월 중간권 52.5%; 1개월 흐름 양호 0.5%; 거래 매우활발; 탄력 높음 3.04%; 1개월 변동폭 적정 20.6%; 대형주 안정성,94.0,1개월 중간권 52.5%; 1개월 흐름 양호 0.5%; 거래 매우활발; 탄력 높음 3.04%; 1개월 변동폭 적정 20.6%; 대형주 안정성
9,🟡,207940,삼성바이오로직스,KOSPI,2026-07-23,1379000,"1,316,000원~1,365,000원","1,420,000원~1,463,000원","약 ±28,850원 내외 (±2.10%)",2.0,1258000,1460000,16.06,59.9,1개월,8.33,-8.92,42385,71883587552,False,False,22,93.0,1개월 중간권 59.9%; 1개월 흐름 양호 8.3%; 거래 활발; 탄력 보통 2.10%; 1개월 변동폭 적정 16.1%; 대형주 안정성,93.0,1개월 중간권 59.9%; 1개월 흐름 양호 8.3%; 거래 활발; 탄력 보통 2.10%; 1개월 변동폭 적정 16.1%; 대형주 안정성,93.0,1개월 중간권 59.9%; 1개월 흐름 양호 8.3%; 거래 활발; 탄력 보통 2.10%; 1개월 변동폭 적정 16.1%; 대형주 안정성
10,🟡,015760,한국전력,KOSPI,2026-07-23,35600,"33,450원~35,250원","37,550원~38,900원",약 ±970원 내외 (±2.52%),2.0,32000,39500,23.44,48.0,1개월,-1.79,-22.94,1644126,68413699907,False,False,22,93.0,1개월 중간권 48.0%; 1개월 흐름 양호 -1.8%; 거래 활발; 탄력 보통 2.52%; 1개월 변동폭 적정 23.4%; 대형주 안정성,93.0,1개월 중간권 48.0%; 1개월 흐름 양호 -1.8%; 거래 활발; 탄력 보통 2.52%; 1개월 변동폭 적정 23.4%; 대형주 안정성,93.0,1개월 중간권 48.0%; 1개월 흐름 양호 -1.8%; 거래 활발; 탄력 보통 2.52%; 1개월 변동폭 적정 23.4%; 대형주 안정성
