rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst,ticker,aux_name,aux_current_price,aux_compare_to_previous_close,aux_fluctuations_ratio,aux_accumulated_trading_volume,aux_accumulated_trading_value,aux_market_status,aux_local_traded_at,aux_source,aux_fetch_status
1,✅,012450,한화에어로스페이스,KOSPI,2026-09-01,1058000,"960,000원~1,046,000원","1,144,000원~1,215,000원","약 ±39,200원 내외 (±3.80%)",2.0,940000,783000.0,1264000.0,61.43,57.17,15.13,-7.03,113852,214828302814,False,False,137.0,1개월 추세 양호 15.1%; 매수위치 중립 57.2%; 거래대금 우수; 변동성 적정 3.80%; 3개월 변동폭 유효 61.4%,2004376374000,KRW,FALSE,2026 반기보고서,OK,00126566,한화에어로스페이스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,15043887093000.0,1606805408000.0,58742027729000.0,38504888649000.0,20237139080000.0,11795179682000.0,1391374458000.0,469075875000.0,27.54,44.06,242.55,13.32,190.27,15.88,흑자지속,59091657546000.0,51563401.0,2026-08-18,62323.48,392470.99,18.39,2.92,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260828,임원ㆍ주요주주특정증권등소유상황보고서,5,2026-09-02T10:26:58+09:00,012450,한화에어로스페이스,1036000,-22000,-2.08,,,OPEN,2026-09-02T10:42:12+09:00,NAVER,OK
2,✅,373220,LG에너지솔루션,KOSPI,2026-09-01,367000,"335,500원~363,000원","394,500원~417,500원","약 ±12,570원 내외 (±3.51%)",1.7,329500,290500.0,497500.0,71.26,36.96,16.14,-19.34,330966,104777849625,False,False,137.0,1개월 추세 양호 16.1%; 매수위치 중립 37.0%; 거래대금 우수; 변동성 적정 3.51%; 3개월 변동폭 유효 71.3%,-94453000000,KRW,TRUE,2026 반기보고서,OK,01515323,LG에너지솔루션,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,14115216000000.0,-1272678000000.0,77877681000000.0,47591037000000.0,30286644000000.0,12778880000000.0,866832000000.0,317178000000.0,10.46,-110.9,-501.25,-0.67,157.14,-8.4,적자전환,82134000000000.0,234000000.0,2026-08-18,-10877.59,129430.1,,2.71,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260728,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-09-02T10:26:58+09:00,373220,LG에너지솔루션,353500,-13500,-3.68,,,OPEN,2026-09-02T10:42:18+09:00,NAVER,OK
3,✅,068270,셀트리온,KOSPI,2026-09-01,188000,"178,500원~186,100원","196,400원~203,000원","약 ±3,810원 내외 (±2.13%)",2.0,176600,158500.0,212000.0,33.75,55.14,3.18,-1.93,268440,102349531925,False,False,137.0,1개월 추세 양호 3.2%; 매수위치 중립 55.1%; 거래대금 우수; 변동성 적정 2.13%; 3개월 변동폭 유효 33.8%,773661225753,KRW,FALSE,2026 반기보고서,OK,00413046,셀트리온,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,2538678712902.0,721161387676.0,23703154446039.0,5654994804976.0,18048159641063.0,1803369024709.0,391887649948.0,171633060805.0,40.77,97.42,320.18,30.47,31.33,7.99,흑자지속,45476657908000.0,232617176.0,2026-08-18,6200.41,77587.39,31.53,2.52,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260828,주식등의대량보유상황보고서(일반),70,2026-09-02T10:26:58+09:00,068270,셀트리온,187600,-400,-0.21,,,OPEN,2026-09-02T10:42:19+09:00,NAVER,OK
4,✅,005490,POSCO홀딩스,KOSPI,2026-09-01,341000,"318,500원~337,500원","360,500원~376,500원","약 ±8,920원 내외 (±2.69%)",1.9,314000,275000.0,426000.0,54.91,43.71,12.36,-17.43,303526,86533836525,False,False,132.0,1개월 추세 양호 12.4%; 매수위치 중립 43.7%; 거래대금 양호; 변동성 적정 2.69%; 3개월 변동폭 유효 54.9%,1525845449199,KRW,FALSE,2026 반기보고서,OK,00155319,POSCO홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,37134790631212.0,1304703999027.0,109712644176209.0,45549499921180.0,64163144255029.0,34992363367898.0,1175613151730.0,428080637168.0,6.12,29.79,204.78,4.11,70.99,4.07,흑자지속,25713875511500.0,79241527.0,2026-08-18,32929.8,809716.15,9.85,0.4,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,신주인수권,신주인수권행사,주요주주변동",20260807,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,4,2026-09-02T10:26:58+09:00,005490,POSCO홀딩스,332000,-9000,-2.64,,,OPEN,2026-09-02T10:42:00+09:00,NAVER,OK
5,✅,003490,대한항공,KOSPI,2026-09-01,28750,"27,100원~28,450원","29,600원~30,500원",약 ±660원 내외 (±2.48%),1.9,26750,23650.0,31200.0,31.92,67.55,9.73,11.43,2274669,68679002467,False,False,132.0,1개월 추세 양호 9.7%; 매수위치 중립 67.5%; 거래대금 양호; 변동성 적정 2.48%; 3개월 변동폭 유효 31.9%,310273431929,KRW,FALSE,2026 반기보고서,OK,00113526,대한항공,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,13888117795942.0,-566416729479.0,52824385892098.0,42059096599499.0,10765289292599.0,12702567826636.0,801130020209.0,907135482401.0,9.33,-61.27,-162.44,2.23,390.69,-10.52,흑자지속,9684203384300.0,368220661.0,2026-08-25,-3076.51,29235.97,,0.9,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260701,주식등의대량보유상황보고서(약식),3,2026-09-02T10:26:58+09:00,003490,대한항공,28800,50,0.17,,,OPEN,2026-09-02T10:42:01+09:00,NAVER,OK
6,✅,000810,삼성화재,KOSPI,2026-09-01,677000,"627,000원~670,000원","716,000원~738,000원","약 ±20,050원 내외 (±3.10%)",1.9,617000,570000.0,757000.0,32.81,57.22,9.9,12.09,68112,66467590433,False,False,132.0,1개월 추세 양호 9.9%; 매수위치 중립 57.2%; 거래대금 양호; 변동성 적정 3.10%; 3개월 변동폭 유효 32.8%,1746459385358,KRW,FALSE,2026 반기보고서,OK,00139214,삼성화재해상보험,OPENDART_OFFICIAL_DOWNLOAD,MATCH_NORMALIZED,동일 종목코드 후보 중 법인표기 제거 후 회사명 일치,1,NAME_CONTAINS,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1259938054526.0,1373953295615.0,115515640725192.0,79304501127337.0,36211139597855.0,1169557495441.0,1603821318674.0,1247409503392.0,7.73,8.89,10.14,138.61,219.01,7.59,흑자지속,27949318098000.0,44647473.0,2026-08-18,61546.74,811045.67,10.17,0.77,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260819,주식등의대량보유상황보고서(약식),1,2026-09-02T10:26:58+09:00,000810,삼성화재,659000,-18000,-2.66,,,OPEN,2026-09-02T10:41:18+09:00,NAVER,OK
7,✅,047050,포스코인터내셔널,KOSPI,2026-09-01,55300,"51,200원~54,700원","58,900원~61,800원","약 ±1,622원 내외 (±3.03%)",2.1,50400,44850.0,66500.0,48.27,48.27,7.8,-10.23,1055754,43110308043,False,False,132.0,1개월 추세 양호 7.8%; 매수위치 중립 48.3%; 거래대금 양호; 변동성 적정 3.03%; 3개월 변동폭 유효 48.3%,786517761000,KRW,FALSE,2026 반기보고서,OK,00124504,포스코인터내셔널,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,18033586074000.0,524599372000.0,20479950641000.0,12472327328000.0,8007623313000.0,16266230600000.0,613399224000.0,294276259000.0,10.87,28.22,78.27,4.36,155.76,13.1,흑자지속,9271130927600.0,175922788.0,2026-08-28,5963.97,45517.83,8.84,1.16,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260814,주식등의대량보유상황보고서(일반),1,2026-09-02T10:26:58+09:00,047050,포스코인터내셔널,53300,-2000,-3.62,,,OPEN,2026-09-02T10:41:20+09:00,NAVER,OK
8,🟡,051910,LG화학,KOSPI,2026-09-01,282000,"259,000원~279,000원","302,500원~319,000원","약 ±9,260원 내외 (±3.24%)",1.9,254000,224000.0,381000.0,70.09,36.94,14.17,-22.42,224021,42972476238,False,False,132.0,1개월 추세 양호 14.2%; 매수위치 중립 36.9%; 거래대금 양호; 변동성 적정 3.24%; 3개월 변동폭 유효 70.1%,549897000000,KRW,FALSE,2026 반기보고서,OK,00356361,LG화학,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,26422690000000.0,-715104000000.0,112209782000000.0,63338859000000.0,48870923000000.0,24487340000000.0,914450000000.0,148485000000.0,7.9,-39.87,-581.6,2.08,129.6,-2.93,흑자지속,19095228781500.0,70592343.0,2026-08-18,-20260.1,692297.79,,0.39,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260807,주식등의대량보유상황보고서(일반),5,2026-09-02T10:26:58+09:00,051910,LG화학,274000,-8000,-2.84,,,OPEN,2026-09-02T10:42:22+09:00,NAVER,OK
9,🟡,086280,현대글로비스,KOSPI,2026-09-01,209500,"195,800원~207,500원","221,500원~231,500원","약 ±5,470원 내외 (±2.72%)",2.0,193100,172500.0,247000.0,43.19,49.66,4.8,-9.89,233220,30742511530,False,False,132.0,1개월 추세 양호 4.8%; 매수위치 중립 49.7%; 거래대금 양호; 변동성 적정 2.72%; 3개월 변동폭 유효 43.2%,1016518362058,KRW,FALSE,2026 반기보고서,OK,00360595,현대글로비스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,16518096336966.0,710201629501.0,20803724753332.0,9873023342320.0,10930701411012.0,14739357297427.0,1040762525425.0,901621061459.0,12.07,-2.33,-21.23,6.15,90.32,12.99,흑자지속,15487500000000.0,75000000.0,2026-08-18,18938.71,145742.69,10.9,1.42,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-02T10:26:58+09:00,086280,현대글로비스,199100,-10400,-4.96,,,OPEN,2026-09-02T10:41:59+09:00,NAVER,OK
10,🟡,105560,KB금융,KOSPI,2026-09-01,171200,"161,900원~169,500원","179,400원~186,100원","약 ±3,715원 내외 (±2.24%)",2.1,160100,145000.0,194500.0,34.14,52.93,1.0,12.56,1949667,175524672820,False,False,130.0,매수위치 중립 52.9%; 거래대금 우수; 변동성 적정 2.24%; 3개월 변동폭 유효 34.1%; 대형주 안정성,5440114000000,KRW,FALSE,2026 반기보고서,OK,00688996,KB금융,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,14511829000000.0,3926977000000.0,866889205000000.0,804187383000000.0,62701822000000.0,14739574000000.0,4425999000000.0,3446702000000.0,-1.55,22.91,13.93,37.49,1282.56,12.53,흑자지속,59764883179000.0,354687734.0,2026-08-18,22143.29,176780.35,7.61,0.95,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260626,유상증자결정(자회사의 주요경영사항)              ,5,2026-09-02T10:26:58+09:00,105560,KB금융,173300,2100,1.23,,,OPEN,2026-09-02T10:42:20+09:00,NAVER,OK
