rank,recommendation,name,code,market,current_price,current_price_source,streak_days,streak_change_pct,avg_direction_run_days,value_buy_range,first_sell_target_range,low_3m,high_3m,return_1m_pct,trading_activity,price_elasticity,position_in_3m_range_pct,current_position,ma5_trend,ma20_trend,ma60_trend,ma120_trend,trend_text,avg_daily_move_pct,avg_daily_move_abs,avg_daily_move_text,supply_risk_note,corporate_value_note,technical_score,sector,theme,sector_theme,asof_date
1,🟡,코아스,071950,KOSPI,1727,NAVER_STOCK_MOBILE,7,-17.76,2.4,"1,406원~1,691원","2,015원~2,250원",1317.0,2760,-22.07,매우부족,탄력 불안정,28.4,중하단,↘,↘,↗,↘,5↘ 20↘ 60↗ 120↘,6.61,130,6.61% / ±130원,"수급부담 위험: BW,CB,CB발행,대량보유,신주인수권,유상증자",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,74,가구 제조업,사무용가구·금속가구 도매·제조,가구 제조업 / 사무용가구·금속가구 도매·제조,2026-08-14
2,🟢,포스코인터내셔널,047050,KOSPI,53300,NAVER_STOCK_MOBILE,5,-8.1,2.2,"49,950원~53,800원","58,100원~61,300원",44850.0,76700,7.31,보통,탄력 높음,26.5,중하단,↗,↗,↘,↘,5↗ 20↗ 60↘ 120↘,3.09,1738,"3.09% / ±1,738원",수급부담 주의: 대량보유,공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,94,상품 중개업,영업활동의 주요 품목으로 에너지 사업내 천연가스 발전·태양력·풍력,상품 중개업 / 영업활동의 주요 품목으로 에너지 사업내 천연가스 발전·태양력·풍력,2026-08-14
3,🟢,롯데케미칼,011170,KOSPI,57200,NAVER_STOCK_MOBILE,5,-6.23,1.9,"53,000원~56,800원","61,900원~65,500원",52500.0,93100,-5.28,보통,탄력 보통,11.6,바닥권,↘,↘,↘,↘,5↘ 20↘ 60↘ 120↘,2.89,2025,"2.89% / ±2,025원",현재 참조자료상 특별한 수급부담 신호는 확인되지 않음. 외국인·기관 당일 순매수는 별도 확인 필요,공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,87,기초 화학물질 제조업,폴리프로필렌·고밀도폴리에틸렌·에틸렌글리콜,기초 화학물질 제조업 / 폴리프로필렌·고밀도폴리에틸렌·에틸렌글리콜,2026-08-14
4,🟢,코오롱인더,120110,KOSPI,55300,NAVER_STOCK_MOBILE,4,-5.63,2.2,"49,950원~55,000원","60,800원~64,900원",43750.0,89800,4.31,보통,탄력 높음,25.1,중하단,↗,↗,↘,↘,5↗ 20↗ 60↘ 120↘,3.68,2295,"3.68% / ±2,295원","수급부담 경계: 대량보유,주요주주변동",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,89,화학섬유 제조업,산업자재·화학·필름,화학섬유 제조업 / 산업자재·화학·필름,2026-08-14
5,🟡,삼일제약,000520,KOSPI,6760,NAVER_STOCK_MOBILE,4,-7.02,2.2,"6,210원~6,720원","7,300원~7,720원",5500.0,8950,12.79,매우부족,탄력 높음,36.5,중간,↗,↗,↘,↘,5↗ 20↗ 60↘ 120↘,3.43,233,3.43% / ±233원,"수급부담 위험: CB,CB발행,대량보유,유상증자,주요주주변동",최근 공개 실적자료에서 영업적자 경고가 있어 낙폭만 보고 매수하기보다 실적 회복 확인이 필요,79,의약품 제조업,양약(부루펜·액티피드·포리부틴) 제조,의약품 제조업 / 양약(부루펜·액티피드·포리부틴) 제조,2026-08-14
6,🟡,진도,088790,KOSPI,2235,NAVER_STOCK_MOBILE,4,-6.09,1.7,"2,105원~2,240원","2,405원~2,525원",2065.0,3050,-8.48,매우부족,탄력 보통,17.3,중하단,→,↘,↘,→,5→ 20↘ 60↘ 120→,2.6,65,2.60% / ±65원,특별한 공개 수급부담 신호는 없지만 거래유동성 낮음에 주의,공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,79,기타 전문 도매업,모피제품 제조·가공,기타 전문 도매업 / 모피제품 제조·가공,2026-08-14
7,🟡,동원수산,030720,KOSPI,6020,NAVER_STOCK_MOBILE,4,-5.35,1.9,"5,700원~6,040원","6,450원~6,740원",5110.0,7980,4.81,매우부족,탄력 보통,31.7,중하단,↗,↘,→,→,5↗ 20↘ 60→ 120→,2.68,160,2.68% / ±160원,"수급부담 경계: 대량보유,주요주주변동",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,79,어로 어업,원양어업·수산물 제조·가공,어로 어업 / 원양어업·수산물 제조·가공,2026-08-14
8,🟡,이화산업,000760,KOSPI,12480,NAVER_STOCK_MOBILE,4,-5.17,2.6,"11,750원~12,440원","13,290원~13,880원",10380.0,15950,-1.49,매우부족,탄력 보통,37.7,중간,↘,→,↘,↘,5↘ 20→ 60↘ 120↘,2.61,327,2.61% / ±327원,"수급부담 위험: 대량보유,주요주주변동,최대주주변경",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,79,기타 전문 도매업,염료(반응성염료·분산염료·범용염료,기타 전문 도매업 / 염료(반응성염료·분산염료·범용염료,2026-08-14
9,🟡,영풍,000670,KOSPI,38100,NAVER_STOCK_MOBILE,4,-5.11,2.1,"35,750원~38,400원","41,500원~43,700원",31000.0,65900,8.99,부족,탄력 보통,20.3,중하단,↗,↗,↘,↘,5↗ 20↗ 60↘ 120↘,2.82,1227,"2.82% / ±1,227원","수급부담 경계: 대량보유,주요주주변동",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,79,1차 비철금속 제조업,제1차 금속산업(아연괴·황산·카드뮴괴),1차 비철금속 제조업 / 제1차 금속산업(아연괴·황산·카드뮴괴),2026-08-14
10,🟡,솔루엠,248070,KOSPI,14770,NAVER_STOCK_MOBILE,4,-4.83,2.4,"14,100원~15,040원","16,150원~16,940원",11520.0,22250,3.26,부족,탄력 보통,30.3,중하단,↗,↗,↘,↘,5↗ 20↗ 60↘ 120↘,2.62,438,2.62% / ±438원,"수급부담 위험: 대량보유,유상증자,자사주처분,주요주주변동",공개 참조자료상 영업적자 경고는 없음. PER·PBR·매출·영업이익 성장성은 종목별 추가 확인 필요,79,전자부품 제조업,POWER·3in1 Board·ESL 등,전자부품 제조업 / POWER·3in1 Board·ESL 등,2026-08-14
