stock_code,stock_name,current_price,base_score,corp_code,corp_name,report_nm,rcept_no,rcept_dt,status,document_status,confidence,export_hits,fx_hits,hedge_hits,foreign_debt_hits,import_cost_hits,fx_exposure_score,negative_score,final_score,evidence_snippet,reason,추천표시
000760,이화산업,11890.0,0.0,00145686,이화산업,분기보고서 (2026.03),20260515000709,20260515,OK,OK_ZIP,A,42,43,9,0,0,80,0,150.0,"9 9,474 아시아 665 848 아메리카 220 228 중동 129 1,000 합 계 11,053 11,550 (*) 국내매출은 Local L/C조건에 의한 수출액을 포함한 금액입니다. 다. 판매경로 및 판매 방법 등 (지배회사 : 이화산업(주))1) 판매조직 부서명 영업부 대구지사 계 국내영업 해외영업 영업관리 인원 3",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 85건 / 환헤지/파생상품 단서 9건 / 공시신뢰도 A,✅
000890,보해양조,1778.0,0.0,00123541,보해양조,분기보고서 (2026.03),20260515002112,20260515,OK,OK_ZIP,A,53,21,25,0,0,80,0,150.0,"길 수 있으며, 한국의 토속적인 '기원' 문화를 상징하는 라벨 디자인과 브랜드 스토리로 주목받는 K문화를 보여주는 브랜드로 리뉴얼 되었습니다. 리뉴얼 이후 바로 수출문의가 있을 만큼 많은 관심을 받고 있습니다. 【식음료 부문】 식음료 부문에서는 매실 원액을 활용한 건강음료와 가정용 제품을 중심으로 수요 확대를 모색하고 있으며",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 74건 / 환헤지/파생상품 단서 25건 / 공시신뢰도 A,✅
003000,부광약품,4160.0,0.0,00123718,부광약품,분기보고서 (2026.03),20260514001216,20260514,OK,OK_ZIP,A,112,38,9,0,0,80,0,150.0,"의 소분 및 가공업(5)화장품, 화장용품, 방향제, 방취제 제조업 및 판매업(6)의료용구, 위생용품, 의료용품, 의료용기기, 세정제 제조업 및 판매업(7)국내외 수출입업(8)부동산 임대업(9)벤처관련사업(10)생명공학관련사업(11) 소프트웨어 개발 및 판매업(12) 소프트웨어 및 하드웨어 유지보수 관련사업 - (2) 연결대상",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 150건 / 환헤지/파생상품 단서 9건 / 공시신뢰도 A,✅
003540,대신증권,29300.0,0.0,00110893,대신증권,분기보고서 (2026.03),20260514001304,20260514,OK,OK_ZIP,A,277,22,396,0,0,80,0,150.0,"단위 : 백만원) 상품종류 보장매도자 보장매수자 취득일 만기일 액면금액 기초자산 (준거자산) CDS 대신증권 DBS 20160526 20260622 45,402 수출입은행 CDS 교보증권 대신증권 20160526 20260622 45,402 수출입은행 TRS 스카이오션제삼차(주) 대신증권 20220428 20311210 20",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 299건 / 환헤지/파생상품 단서 396건 / 공시신뢰도 A,✅
004560,현대비앤지스틸,11550.0,0.0,00125743,현대비앤지스틸,분기보고서 (2026.03),20260515002652,20260515,OK,OK_ZIP,A,54,23,27,0,0,80,0,150.0,"유통점을 경유하여 실수요자에 공급하는 간접 경로로 대별됩니다. 다. 판매방법 및 조건 일정량 이상의 주문에 의한 생산 판매 - 내수 : 현금 및 어음 거래 - 수출(로칼 포함) : L/C, T/T, 팩토링 등 라. 판매전략 1) 고객만족 향상을 위한 노력 수요처별로 용도, 품질수준, 불만 관련 자료 등 고객정보 Databa",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 77건 / 환헤지/파생상품 단서 27건 / 공시신뢰도 A,✅
005880,대한해운,1859.0,0.0,00113535,대한해운,분기보고서 (2026.03),20260515002368,20260515,OK,OK_ZIP,A,113,20,35,0,0,80,0,150.0,",732,410 21% 탱커선 해상화물운송 원유, 석유제품 등 발전 및 연료 14,307,211 5% 52,965,238 4% 127,770,856 7% 무역업 수출입 철강 등 - 1,660,803 1% 11,932,652 1% 105,275,389 6% 광산업 생산판매 철광석 - 7,231,792 3% 34,731,139",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 133건 / 환헤지/파생상품 단서 35건 / 공시신뢰도 A,✅
005930,삼성전자,309500.0,0.0,00126380,삼성전자,분기보고서 (2026.03),20260515002181,20260515,OK,OK_ZIP,A,379,67,63,0,0,80,0,150.0,"구성되어 있습니다. (3) 주요 지역별 매출 현황 (단위 : 억원) 구 분 제58기 1분기 제57기 제56기 내수 국내 73,066 216,560 202,978 수출 미주 354,772 678,942 613,533 유럽 102,979 312,307 290,967 아시아ㆍ아프리카 177,978 456,870 333,769 중국",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 446건 / 환헤지/파생상품 단서 63건 / 공시신뢰도 A,✅
005940,NH투자증권,31400.0,0.0,00120182,NH투자증권,분기보고서 (2026.03),20260514000887,20260514,OK,OK_ZIP,A,249,45,442,0,0,80,0,150.0,"매매, 인수도, 선물거래 등을 사업 목적으로 하고 있습니다. (2) 시장여건 1) 2026년 1분기 Review - 경제성장률: 2026년 1분기 국내 경제는 수출 중심으로 완만한 회복 흐름을 보였으나, 내수 부진이 지속되며 전반적인 성장세는 제한적인 수준에 머물렀습니다. 반도체 업황 개선에 따른 수출 증가가 경기 하방을",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 294건 / 환헤지/파생상품 단서 442건 / 공시신뢰도 A,✅
009240,한샘,33750.0,0.0,00161693,한샘,분기보고서 (2026.03),20260514001380,20260514,OK,OK_ZIP,A,31,40,22,0,0,80,0,150.0,"장회사 표준정관 상 개정 내용 반영 나. 사업목적 현황 구 분 사업목적 사업영위 여부 1 실용가구 설계 및 제조 판매업 영위 2 건축자재 제조, 판매업 영위 3 수출입업 영위 4 부동산임대업 영위 5 실내건축업 영위 6 창호공사업 영위 7 부동산 매매업 영위 8 주택 신축 판매업 영위 9 주택 임대업 영위 10 미술관 및 박",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 71건 / 환헤지/파생상품 단서 22건 / 공시신뢰도 A,✅
009450,경동나비엔,63200.0,0.0,00101488,경동나비엔,[기재정정]분기보고서 (2026.03),20260518000356,20260518,OK,OK_ZIP,A,214,79,8,0,0,80,0,150.0,"조 및 판매업2. 열연소 기구의 제조 및 판매업3. 냉난방 기기의 제조 및 판매업4. 신 재생에너지 관련 기기의 제조 및 설치, 판매업5. 설비 및 서비스업6. 수출입업7. 전문건설업1) 기계설비공사업2) 가스시설 시공업(1종)3) 난방시공업(1종)4) 전기공사업5) 정보통신공사업8. 부동산 임대업 및 매매 임대업9. 콜센타",DART corp_code 매칭 / 최근 보고서: [기재정정]분기보고서 (2026.03) / 수출/해외·환율 단서 293건 / 환헤지/파생상품 단서 8건 / 공시신뢰도 A,✅
012690,모나리자,1450.0,0.0,00173102,모나리자,분기보고서 (2026.03),20260515002614,20260515,OK,OK_ZIP,A,29,48,30,0,0,80,0,150.0,"05. 모나리자 '보타닉포레 와이드 두루마리' 출시 - 2024. 06. 충남 사랑의열매 Mask 기부 - 2024. 07. 친환경 기저귀 공급계약 체결, 미국 수출 - 2024. 09. 대한민국 소비자만족도 1위 수상(생활용품_화장지부문) - 2024. 12. 모나리자 '실용가득 집들이 선물세트'출시 - 2025. 02.",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 77건 / 환헤지/파생상품 단서 30건 / 공시신뢰도 A,✅
013890,지누스,8940.0,0.0,00150633,지누스,분기보고서 (2026.03),20260515000802,20260515,OK,OK_ZIP,A,237,16,26,0,0,80,0,150.0,": 원, USD) 품 목 2026년 1분기(제48기) 2025년(제47기) 2024년(제46기) Mattress 내수 206,498 209,539 161,645 수출 112,317 111,420 131,979 $76.7 $78.3 $96.8 Non-Mattress 내수 77,827 75,535 74,850 수출 105,935",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 253건 / 환헤지/파생상품 단서 26건 / 공시신뢰도 A,✅
016590,신대양제지,9900.0,0.0,00135777,신대양제지,분기보고서 (2026.03),20260515001652,20260515,OK,OK_ZIP,A,39,49,8,0,0,80,0,150.0,"장부지 16,577M2매입 장망식초지기 1式매입(일산130M/T) 제조허가취득(제지공장) 반월공장 준공국내 최초의 장망식 골심지 생산개시 및 판매골판지용 골심지 수출개시한국공업규격 표시허가(K.S)획득(공업진흥청)수출입 허가증 발급( NO.614025)유망중소기업으로 선정(한국화학연구소)2호기 증설완료 (일산200M/T)1호",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 88건 / 환헤지/파생상품 단서 8건 / 공시신뢰도 A,✅
024090,디씨엠,10850.0,0.0,00177199,디씨엠,분기보고서 (2026.03),20260515001653,20260515,OK,OK_ZIP,A,26,23,17,0,0,80,0,150.0,4) 1995. 3. 공장증축 및 LAMINATED 칼라강판 생산 LINE 증설 1995. 3. 3LAYER FILM 생산LINE 신설 1995. 11. 30. 수출 1천만불 탑·산업포장 수상 1998. 2. 25. KS A/ISO 9002 인증획득 1998. 3. 3. 모범납세자 표창수상(국세청장) 1999. 5. 14.,DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 49건 / 환헤지/파생상품 단서 17건 / 공시신뢰도 A,✅
027410,BGF,3965.0,0.0,00219097,BGF,분기보고서 (2026.03),20260515001809,20260515,OK,OK_ZIP,A,63,70,42,0,0,80,0,150.0,"지에프리테일 상품의 위탁관리 및 편의점 영업을 위한 상품의 공급 및 물류서비스 일체를 제공하고 있습니다.또한, 비지에프리테일 이외 외부 고객사에 제3자 물류 및 수출입 물류 대행서비스를 제공함으로써 전문 물류기업으로서 성장을 이어나가고 있습니다. [식품제조/유통 사업, (주)비지에프푸드] (주)비지에프푸드는 김밥, 샌드위치,",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 133건 / 환헤지/파생상품 단서 42건 / 공시신뢰도 A,✅
031210,서울보증보험,43100.0,0.0,00112998,서울보증보험,분기보고서 (2026.03),20260515000688,20260515,OK,OK_ZIP,A,23,104,380,0,0,80,0,150.0,"(자료) 당사 자료(주) 공적보증기관은 신용보증기금, 기술보증기금, 농림수산업자신용보증기금, 지역신용보증기금, 무역보험공사, 주택도시보증공사, 주택금융공사 및 수출입은행 등 특수은행으로 구성되어 있습니다. 국내 보증시장은 산업의 성장과 정부 정책지원을 바탕으로 성장을 지속하고 있습니다. 향후 보증시장의 성장은 대내외 경제",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 127건 / 환헤지/파생상품 단서 380건 / 공시신뢰도 A,✅
035420,NAVER,195800.0,0.0,00266961,NAVER,분기보고서 (2026.03),20260515001511,20260515,OK,OK_ZIP,A,264,42,54,0,0,80,0,150.0,"제공하고 있습니다. 네이버를 둘러싼 환경은 빠르게 변화 중이며, 이러한 변화를 새로운 도약의 기회로 삼아, 그 동안 회사의 성장을 견인해 왔던 혁신을 바탕으로 글로벌 시장과 신규사업에 대한 도전을 이어가고 있습니다. 또한, 네이버는 지속적인 성장을 목표로 기술, 서비스 등에 대한 선제적 투자를 진행하며, 핵심 사업의 경쟁력을",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 306건 / 환헤지/파생상품 단서 54건 / 공시신뢰도 A,✅
036580,팜스코,2475.0,0.0,00260408,팜스코,분기보고서 (2026.03),20260513000653,20260513,OK,OK_ZIP,A,101,26,32,0,0,80,0,150.0,"롭게 시장에 진입하기가 쉽지 않습니다.(5) 자금조달상의 특성 배합사료의 원료가 되는 곡류(옥수수, 소맥, 대두박 등)는 대부분 수입에 의존하고 있으며, 곡류의 수출국이 미국, 중국, 태국, 호주 등 일부 특정국에 한정되기 때문에 이들 국가들의 공급량 및 정책에 따라서 곡류의 가격과 수급에 상당한 영향을 미치게 될 것입니다.",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 127건 / 환헤지/파생상품 단서 32건 / 공시신뢰도 A,✅
060980,HL홀딩스,38650.0,0.0,00299002,HL홀딩스,분기보고서 (2026.03),20260515002672,20260515,OK,OK_ZIP,A,313,53,236,0,0,80,0,150.0,"나. 생산 및 설비 해당사항 없습니다. 4. 매출 및 수주상황 가. 매출실적 (단위 : 백만원) 매출유형 품목 2026년 1분기 2025년 2024년 상품 - 수출 22,828 117,147 106,783 내수 188,670 776,056 832,056 합계 211,498 893,203 938,838 제품 - 수출 - -",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 366건 / 환헤지/파생상품 단서 236건 / 공시신뢰도 A,✅
068270,셀트리온,183600.0,0.0,00413046,셀트리온,분기보고서 (2026.03),20260515002932,20260515,OK,OK_ZIP,A,295,46,159,0,0,80,0,150.0,"말 (단위 : 천원) 차입금 담보설정액 담보제공처 신한은행 414,039,009 347,784,000 한국산업은행 441,382,313 624,000,000 한국수출입은행 6,466,667 89,300,000 담보제공처 합계 861,887,989 1,061,084,000 전기말 (단위 : 천원) 차입금 담보설정액 담보제공처",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 341건 / 환헤지/파생상품 단서 159건 / 공시신뢰도 A,✅
078930,GS,73000.0,0.0,00500254,GS,분기보고서 (2026.03),20260515001535,20260515,OK,OK_ZIP,A,412,53,168,0,0,80,0,150.0,"하기 위해 지속적으로 투자 해왔습니다. 국내 1,963개의 주유소와 330개의 충전소를 통해 안정적인 석유제품의 공급에 힘쓰는 한편 매출의 70% 이상을 해외에 수출하며 약 50년 이상 국가경제 발전의 견인차 역할을 해 왔습니다.회사는 하루 80만배럴의 정제시설을 갖추고 상압잔사유 유동상촉매분해시설(RFCC), 감압경유 수첨",DART corp_code 매칭 / 최근 보고서: 분기보고서 (2026.03) / 수출/해외·환율 단서 465건 / 환헤지/파생상품 단서 168건 / 공시신뢰도 A,✅
