rank,recommend_flag,code,name,market,asof_date,close,return_1m_pct,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,⚠️,000040,KR모터스,KOSPI,2026-07-28,1047,290.67,"996원~1,037원","1,078원~1,128원",약 ±20원 내외 (±6.99%),2.6,986.0,,1281.0,,254693,22406901,True,True,41.0,1개월 급등 290.7%; 저유동성; 고변동 6.99%; 소형주,-669709121,KRW,TRUE,2026 1분기보고서,OK,00112378,KR모터스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,3,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,2555229499.0,19375367962.0,161633642386.0,98585943257.0,63047699129.0,2943066142.0,-773381893.0,-1626239697.0,-13.18,13.41,1291.42,-26.21,156.37,122.93,적자지속,18086962692.0,17275036.0,2026-07-28,4486.33,3649.64,0.23,0.29,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,신주인수권,신주인수권행사,전환청구,주요주주변동",20260716,임원ㆍ주요주주특정증권등소유상황보고서,9,2026-07-29T09:25:11+09:00
2,⚠️,004870,티웨이홀딩스,KOSPI,2026-07-28,833,217.94,754원~824원,903원~959원,약 ±32원 내외 (±10.73%),3.2,738.0,,1175.0,,119339,83457267,True,True,41.0,1개월 급등 217.9%; 저유동성; 고변동 10.73%; 소형주,-329259662,KRW,TRUE,2026 1분기보고서,OK,00109514,티웨이홀딩스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,OFS,KRW,1091495500.0,-36422158065.0,82307824906.0,24551797051.0,57756027855.0,1096394000.0,-1446254252.0,-14071490135.0,-0.45,77.23,-158.84,-30.17,42.51,-252.25,적자지속,22157411342.0,22632698.0,2026-07-24,-6437.09,2551.88,,0.38,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260615,주식등의대량보유상황보고서(일반),1,2026-07-29T09:25:11+09:00
3,⚠️,006490,프리티,KOSPI,2026-07-28,972,213.55,901원~962원,"1,034원~1,085원",약 ±28원 내외 (±7.74%),2.5,887.0,,1500.0,,42960,65952026,True,True,49.0,1개월 급등 213.6%; 매수위치 중립 64.8%; 저유동성; 고변동 7.74%; 소형주,-1507045106,KRW,TRUE,2026 1분기보고서,OK,00122825,프리티,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,24220501370.0,1082888423.0,59815284692.0,43255532105.0,16559752587.0,24307287667.0,-207596997.0,-19894655179.0,-0.36,-625.95,105.44,-6.22,261.21,26.16,적자지속,34812391471.0,29577223.0,2026-07-16,146.45,559.88,8.04,2.1,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,감자,유상증자,주요주주변동,최대주주변경",20260727,임원ㆍ주요주주특정증권등소유상황보고서,12,2026-07-29T09:25:11+09:00
4,⚠️,214330,금호에이치티,KOSPI,2026-07-28,4865,90.41,"4,165원~4,780원","5,480원~5,980원",약 ±280원 내외 (±20.07%),4.7,4025.0,,11530.0,,93512,6486585966,False,True,71.0,1개월 급등 90.4%; 매수위치 중립 42.2%; 고변동 20.07%; 소형주,1628819937,KRW,FALSE,2026 1분기보고서,OK,00105606,금호에이치티,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,85312152884.0,3785422532.0,393250951441.0,103959919866.0,289291031575.0,102885153281.0,2637543854.0,1562878227.0,-17.08,-38.24,142.21,1.91,35.94,5.23,흑자지속,94426068870.0,10456929.0,2026-07-08,1448.01,27665.01,6.24,0.33,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"감자,대량보유,주요주주변동",20260728,[기재정정]주식등의대량보유상황보고서(일반),12,2026-07-29T09:25:11+09:00
5,⚠️,001520,동양,KOSPI,2026-07-28,1035,84.49,"968원~1,025원","1,066원~1,116원",약 ±27원 내외 (±4.21%),2.1,955.0,,1240.0,,404495,751018751,True,True,42.0,1개월 급등 84.5%; 상단권 83.5%; 저유동성; 소형주,-8718925354,KRW,TRUE,2026 1분기보고서,OK,00117337,동양,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,125430116450.0,7052882684.0,1454301466097.0,689990263818.0,764311202279.0,156315070581.0,-6016304002.0,-10416766768.0,-19.76,-44.92,167.71,-6.95,90.28,3.69,적자지속,106586421840.0,107122032.0,2026-07-20,263.36,7134.96,3.78,0.14,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260729,임원ㆍ주요주주특정증권등소유상황보고서,42,2026-07-29T09:25:11+09:00
6,✅,003680,한성기업,KOSPI,2026-07-28,6520,55.24,"5,650원~6,420원","7,290원~7,910원",약 ±348원 내외 (±4.42%),2.9,5480.0,,17340.0,,1730677,29244342413,False,True,81.0,1개월 급등 55.2%; 매수위치 중립 37.6%; 소형주,3029822196,KRW,FALSE,2026 1분기보고서,OK,00161860,한성기업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,OFS,KRW,77674131520.0,1867984253.0,244703435001.0,175507092038.0,69196342963.0,81067150510.0,2684113880.0,1063526156.0,-4.19,12.88,75.64,3.9,253.64,10.8,흑자지속,40423942650.0,6209515.0,2026-07-09,1203.3,11143.6,5.41,0.58,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-29T09:25:11+09:00
7,✅,317400,자이에스앤디,KOSPI,2026-07-28,5940,47.21,"5,400원~5,880원","6,410원~6,800원",약 ±216원 내외 (±4.39%),2.2,5290.0,3210.0,8410.0,161.99,1922588,7037810601,False,True,71.0,1개월 급등 47.2%; 매수위치 중립 52.5%; 3개월 변동폭 과대 162.0%; 소형주,11342905220,KRW,FALSE,2026 1분기보고서,OK,00367844,자이에스앤디,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,270257140286.0,8511257959.0,1169594665827.0,472079963836.0,697514701991.0,312683717305.0,-10602116073.0,-8069340300.0,-13.57,206.99,205.48,4.2,67.68,4.88,흑자전환,178399592000.0,38782520.0,2026-07-03,877.84,17985.29,5.24,0.26,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-07-29T09:25:11+09:00
8,⚠️,012160,영흥,KOSPI,2026-07-28,2370,46.12,"2,200원~2,345원","2,440원~2,640원",약 ±67원 내외 (±9.06%),2.4,2170.0,,3020.0,,128047,462024392,True,True,41.0,1개월 급등 46.1%; 저유동성; 고변동 9.06%; 소형주,-1439129372,KRW,TRUE,2026 1분기보고서,OK,00141477,영흥,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,96425157230.0,-1607900916.0,389622399547.0,225778494270.0,163843905277.0,110984994835.0,-1580546303.0,585388377.0,-13.12,8.95,-374.67,-1.49,137.8,-3.93,적자지속,35927616900.0,15620703.0,2026-07-27,-411.74,10488.89,,0.22,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,신주인수권,신주인수권행사,주요주주변동",20260722,주식등의대량보유상황보고서(일반),15,2026-07-29T09:25:11+09:00
9,⚠️,010400,우진아이엔에스,KOSPI,2026-07-28,4875,44.66,"4,600원~4,825원","5,020원~5,170원",약 ±111원 내외 (±2.77%),2.1,4545.0,3090.0,5400.0,74.76,59801,178580105,True,True,59.0,1개월 급등 44.7%; 저유동성; 변동성 적정 2.77%; 3개월 변동폭 유효 74.8%; 소형주,-2149729161,KRW,TRUE,2026 1분기보고서,OK,00143262,우진아이엔에스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,48055892629.0,-2170172895.0,105286086608.0,27378367568.0,77907719040.0,30161935666.0,-4006884839.0,-3080481647.0,59.33,46.35,29.55,-4.47,35.14,-11.14,적자지속,35975840000.0,7622000.0,2026-07-23,-1138.9,10221.43,,0.46,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,자사주처분,20260703,자기주식처분결과보고서,3,2026-07-29T09:25:11+09:00
10,✅,006340,대원전선,KOSPI,2026-07-28,13600,38.78,"11,340원~13,330원","15,590원~17,220원",약 ±906원 내외 (±7.40%),2.0,10880.0,8540.0,20300.0,137.7,14181751,205854086131,False,True,83.0,1개월 상승 과열 38.8%; 매수위치 중립 43.0%; 거래대금 우수; 고변동 7.40%; 3개월 변동폭 과대 137.7%,14668767675,KRW,FALSE,2026 1분기보고서,OK,00260392,대원전선,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 1분기보고서,2026,11013,1분기보고서,CFS,KRW,189242394685.0,11209830009.0,369672556504.0,202073044984.0,167599511520.0,151266934457.0,8325862637.0,8452127390.0,25.1,76.18,32.63,7.75,120.57,26.75,흑자지속,1023308128800.0,78414416.0,2026-07-03,571.82,2137.36,22.82,6.11,READY,KRX 시가총액·상장주식수 / OpenDART 1분기보고서 / 누적순이익 × 4 연환산,,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유,유상증자,주요주주변동",20260713,임원ㆍ주요주주특정증권등소유상황보고서,8,2026-07-29T09:25:11+09:00
