rank,cycle_marker,status_flag,code,name,market,asof_date,close,cycle_count_6m,avg_cycle_days,avg_swing_pct,latest_position,buy_range,sell_range,avg_daily_move_text,stop_price,low_6m,high_6m,range_6m_pct,position_in_6m_range_pct,avg_trading_value,liquidity_flag,score,legacy_market_score,reason,legacy_market_reason,market_metric_policy_version,market_metric_label_status,market_metric_missing_fields,trading_activity_label,trading_activity_basis_krw,trading_activity_basis_text,price_elasticity_label,price_elasticity_basis_pct,price_elasticity_basis_text,current_position_label,current_position_basis_pct,current_position_period,current_position_basis_text
1,🔵,✅,4800,효성,KOSPI,2026-07-02,171800,7,25.7,36.58,저점권 반등 초입,"153,400원~169,600원","188,000원~201,500원","약 ±7,370원 내외 (±3.79%)",149700,110100,318000,188.83,29.68,6627999742,False,170.0,170.0,6개월 대형 월간 반복사이클 7회 확인; 평균 25.7거래일 주기; 평균 파동폭 36.58%; 저점권 반등 초입,6개월 대형 월간 반복사이클 7회 확인; 평균 25.7거래일 주기; 평균 파동폭 36.58%; 저점권 반등 초입,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,보통,6627999742,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.79,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
2,🔵,🟡̲,11700,한신기계,KOSPI,2026-07-02,2505,7,22.7,30.25,저점권,"2,290원~2,470원","2,775원~3,000원",약 ±123원 내외 (±3.41%),2195,2265,5910,160.93,6.58,1692254148,True,150.0,150.0,6개월 대형 월간 반복사이클 7회 확인; 평균 22.7거래일 주기; 평균 파동폭 30.25%; 저점권; 저유동성/매매곤란 주의,6개월 대형 월간 반복사이클 7회 확인; 평균 22.7거래일 주기; 평균 파동폭 30.25%; 저점권; 저유동성/매매곤란 주의,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,부족,1692254148,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.41,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
3,🔵,🟡̲,18500,동원금속,KOSPI,2026-07-02,1398,7,25.4,19.7,저점권,"1,295원~1,384원","1,488원~1,562원",약 ±41원 내외 (±2.64%),1275,1260,1967,56.11,19.52,340044471,True,150.0,150.0,6개월 대형 월간 반복사이클 7회 확인; 평균 25.4거래일 주기; 평균 파동폭 19.7%; 저점권; 저유동성/매매곤란 주의,6개월 대형 월간 반복사이클 7회 확인; 평균 25.4거래일 주기; 평균 파동폭 19.7%; 저점권; 저유동성/매매곤란 주의,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,매우부족,340044471,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 보통,2.64,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
4,🔵,✅,267260,HD현대일렉트릭,KOSPI,2026-07-02,969000,6,25.7,32.22,저점권 반등 초입,"871,000원~957,000원","1,055,000원~1,126,000원","약 ±39,250원 내외 (±3.61%)",851000,763000,1430000,87.42,30.88,210314099647,False,192.0,192.0,6개월 대형 월간 반복사이클 6회 확인; 평균 25.7거래일 주기; 평균 파동폭 32.22%; 저점권 반등 초입,6개월 대형 월간 반복사이클 6회 확인; 평균 25.7거래일 주기; 평균 파동폭 32.22%; 저점권 반등 초입,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,매우활발,210314099647,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.61,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
5,🔵,✅,195870,해성디에스,KOSPI,2026-07-02,61800,6,24.0,34.51,저점권 반등 초입,"52,300원~60,700원","70,100원~77,000원","약 ±3,790원 내외 (±4.96%)",50400,46000,108500,135.87,25.28,16688532907,False,180.0,180.0,6개월 대형 월간 반복사이클 6회 확인; 평균 24.0거래일 주기; 평균 파동폭 34.51%; 저점권 반등 초입,6개월 대형 월간 반복사이클 6회 확인; 평균 24.0거래일 주기; 평균 파동폭 34.51%; 저점권 반등 초입,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,보통,16688532907,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,4.96,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
6,🔵,✅,6220,제주은행,KOSPI,2026-07-02,9930,6,26.5,22.83,저점권,"9,250원~9,830원","10,560원~11,080원",약 ±288원 내외 (±2.55%),9070,9160,18840,105.68,7.95,38809179879,False,177.0,177.0,6개월 대형 월간 반복사이클 6회 확인; 평균 26.5거래일 주기; 평균 파동폭 22.83%; 저점권,6개월 대형 월간 반복사이클 6회 확인; 평균 26.5거래일 주기; 평균 파동폭 22.83%; 저점권,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,활발,38809179879,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 보통,2.55,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
7,🔵,✅,483650,달바글로벌,KOSPI,2026-07-02,227000,6,23.3,27.85,중간권,"207,500원~224,500원","244,000원~258,500원","약 ±7,810원 내외 (±3.76%)",203500,136300,274500,101.39,65.63,41579224527,False,172.0,172.0,6개월 대형 월간 반복사이클 6회 확인; 평균 23.3거래일 주기; 평균 파동폭 27.85%; 중간권,6개월 대형 월간 반복사이클 6회 확인; 평균 23.3거래일 주기; 평균 파동폭 27.85%; 중간권,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,활발,41579224527,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.76,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
8,🔵,✅,23530,롯데쇼핑,KOSPI,2026-07-02,168500,6,29.3,33.87,상단권,"154,500원~166,800원","180,800원~190,900원","약 ±5,600원 내외 (±3.65%)",151700,67800,211000,211.21,70.32,37084090080,False,172.0,172.0,6개월 대형 월간 반복사이클 6회 확인; 평균 29.3거래일 주기; 평균 파동폭 33.87%; 상단권,6개월 대형 월간 반복사이클 6회 확인; 평균 29.3거래일 주기; 평균 파동폭 33.87%; 상단권,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,활발,37084090080,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.65,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
9,🔵,✅,52690,한전기술,KOSPI,2026-07-02,108400,6,28.0,29.21,저점권,"97,100원~106,800원","120,400원~130,100원","약 ±5,430원 내외 (±3.87%)",93200,88600,198000,123.48,18.1,25872068070,False,170.0,170.0,6개월 대형 월간 반복사이클 6회 확인; 평균 28.0거래일 주기; 평균 파동폭 29.21%; 저점권,6개월 대형 월간 반복사이클 6회 확인; 평균 28.0거래일 주기; 평균 파동폭 29.21%; 저점권,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,보통,25872068070,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 높음,3.87,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
10,🔵,✅,51600,한전KPS,KOSPI,2026-07-02,45150,6,26.0,23.6,저점권,"42,750원~44,700원","48,200원~50,700원","약 ±1,380원 내외 (±2.59%)",41100,42350,69000,62.93,10.51,9314190292,False,170.0,170.0,6개월 대형 월간 반복사이클 6회 확인; 평균 26.0거래일 주기; 평균 파동폭 23.6%; 저점권,6개월 대형 월간 반복사이클 6회 확인; 평균 26.0거래일 주기; 평균 파동폭 23.6%; 저점권,2026-07-01-v6.0-market-metric-standards,PARTIAL,current_position,보통,9314190292,최근 20거래일 평균 거래대금 (avg_trading_value),탄력 보통,2.59,최근 20거래일 하루평균 절대등락률 (avg_daily_move_text),,,,
