rank,recommend_flag,code,name,market,asof_date,close,current_position,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_5d_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,operating_loss_flag,short_term_score,reason,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,operating_profit,operating_profit_unit,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
1,✅,105560,KB금융,KOSPI,2026-09-23,173200,중간권,"165,300원~171,500원","180,200원~185,900원","약 ±3,170원 내외 (±1.82%)",1.8,163700.0,145000.0,194500.0,34.14,56.97,,6.19,12.69,679189,199516636999,False,False,FALSE,165.0,1개월 추세 양호 6.2%; 3개월 흐름 양호 12.7%; 현재 위치 중간권 57.0%; 거래대금 우수; 단기 변동성 적정 1.82%; 3개월 변동폭 유효 34.1%; 대형주 안정성,00688996,KB금융,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,14511829000000.0,3926977000000.0,866889205000000.0,804187383000000.0,62701822000000.0,14739574000000.0,4425999000000.0,3446702000000.0,-1.55,22.91,13.93,37.49,1282.56,12.53,흑자지속,59764883179000.0,354687734.0,2026-08-18,22143.29,176780.35,7.61,0.95,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,5440114000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,유상증자,20260626,유상증자결정(자회사의 주요경영사항)              ,1,2026-09-24T10:37:27+09:00
2,✅,028050,삼성E&A,KOSPI,2026-09-23,49350,중간권,"46,650원~48,850원","51,500원~53,500원","약 ±1,075원 내외 (±2.24%)",2.0,46100.0,38300.0,55200.0,44.13,65.38,,10.16,10.03,2237039,87618339167,False,False,FALSE,160.0,1개월 추세 양호 10.2%; 3개월 흐름 양호 10.0%; 현재 위치 중간권 65.4%; 거래대금 양호; 단기 변동성 적정 2.24%; 3개월 변동폭 유효 44.1%; 대형주 안정성,00126308,삼성E&A,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,4876713582598.0,345786059022.0,10497739509814.0,5776930343942.0,4720809165872.0,4275977917371.0,338160166481.0,298929009957.0,14.05,36.41,15.67,9.46,122.37,14.65,흑자지속,9408000000000.0,196000000.0,2026-09-07,3528.43,24085.76,13.6,1.99,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,461281131434,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260701,주식등의대량보유상황보고서(약식),1,2026-09-24T10:37:27+09:00
3,✅,034020,두산에너빌리티,KOSPI,2026-09-23,81700,중간권,"75,800원~80,900원","86,900원~91,200원","약 ±2,365원 내외 (±2.80%)",2.2,74600.0,57000.0,98700.0,73.16,59.23,,11.92,-8.41,4585876,262348585682,False,False,FALSE,157.0,1개월 추세 양호 11.9%; 현재 위치 중간권 59.2%; 거래대금 우수; 단기 변동성 적정 2.80%; 3개월 변동폭 유효 73.2%; 대형주 안정성,00159616,두산에너빌리티,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,8985938000000.0,286594000000.0,29947742000000.0,17281259000000.0,12666483000000.0,8317595000000.0,413581000000.0,176652000000.0,8.04,32.45,62.24,6.1,136.43,4.53,흑자지속,49899713273400.0,640561146.0,2026-08-18,894.82,19774.04,87.06,3.94,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,547774000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260731,주식등의대량보유상황보고서(약식),2,2026-09-24T10:37:27+09:00
4,✅,047050,포스코인터내셔널,KOSPI,2026-09-23,55300,상단권,"52,500원~54,700원","57,000원~58,700원","약 ±1,130원 내외 (±2.05%)",1.9,51900.0,44850.0,59100.0,31.77,73.33,,3.17,9.94,376658,146393089617,False,False,FALSE,157.0,1개월 추세 양호 3.2%; 3개월 흐름 양호 9.9%; 상단권 추세 73.3%; 거래대금 우수; 단기 변동성 적정 2.05%; 3개월 변동폭 유효 31.8%; 대형주 안정성,00124504,포스코인터내셔널,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,18033586074000.0,524599372000.0,20479950641000.0,12472327328000.0,8007623313000.0,16266230600000.0,613399224000.0,294276259000.0,10.87,28.22,78.27,4.36,155.76,13.1,흑자지속,9271130927600.0,175922788.0,2026-08-28,5963.97,45517.83,8.84,1.16,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,786517761000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,유상증자,주요주주변동",20260914,유상증자결정(종속회사의주요경영사항)              ,4,2026-09-24T10:37:27+09:00
5,✅,066570,LG전자,KOSPI,2026-09-23,209000,상단권,"195,800원~207,000원","215,500원~222,500원","약 ±5,260원 내외 (±2.57%)",1.8,193200.0,141900.0,231500.0,63.14,74.89,,4.6,3.47,546536,144677094842,False,False,FALSE,157.0,1개월 추세 양호 4.6%; 3개월 흐름 양호 3.5%; 상단권 추세 74.9%; 거래대금 우수; 단기 변동성 적정 2.57%; 3개월 변동폭 유효 63.1%; 대형주 안정성,00401731,LG전자,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,47553695000000.0,1786410000000.0,73696206000000.0,41778571000000.0,31917635000000.0,43474954000000.0,1898463000000.0,1485261000000.0,9.38,71.34,20.28,6.84,130.89,11.19,흑자지속,33880004704000.0,162884638.0,2026-08-18,21934.67,195952.4,9.48,1.06,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,3252805000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-09-24T10:37:27+09:00
6,✅,055550,신한지주,KOSPI,2026-09-23,109300,상단권,"104,400원~108,200원","112,600원~116,000원","약 ±1,975원 내외 (±1.77%)",1.7,103400.0,89400.0,116500.0,30.31,73.43,,5.81,11.87,895919,123582061521,False,False,FALSE,157.0,1개월 추세 양호 5.8%; 3개월 흐름 양호 11.9%; 상단권 추세 73.4%; 거래대금 우수; 단기 변동성 적정 1.77%; 3개월 변동폭 유효 30.3%; 대형주 안정성,00382199,신한지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,14354098000000.0,3495799000000.0,840894337000000.0,778374567000000.0,62519770000000.0,14035110000000.0,3958471000000.0,3094280000000.0,2.27,16.98,12.98,32.26,1245.01,11.18,흑자지속,52672316815800.0,469450239.0,2026-09-15,14893.16,133176.56,7.53,0.84,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,4630734000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260902,주식등의대량보유상황보고서(약식),2,2026-09-24T10:37:27+09:00
7,✅,316140,우리금융지주,KOSPI,2026-09-23,35350,상단권,"34,000원~35,000원","36,400원~37,500원",약 ±538원 내외 (±1.56%),1.8,33750.0,27500.0,37050.0,34.73,82.2,,10.64,20.03,1398444,111839453731,False,False,FALSE,157.0,1개월 추세 양호 10.6%; 3개월 흐름 양호 20.0%; 상단권 추세 82.2%; 거래대금 우수; 단기 변동성 적정 1.56%; 3개월 변동폭 유효 34.7%; 대형주 안정성,01350869,우리금융지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,10944229000000.0,1665915000000.0,635179488000000.0,594299345000000.0,40880143000000.0,10419776000000.0,1977714000000.0,1594299000000.0,5.03,7.39,4.49,19.41,1453.76,8.15,흑자지속,26340119412750.0,736786557.0,2026-09-22,4522.11,55484.38,7.91,0.64,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2123827000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260902,임원ㆍ주요주주특정증권등소유상황보고서,11,2026-09-24T10:37:27+09:00
8,🟡,086790,하나금융지주,KOSPI,2026-09-23,133100,상단권,"127,100원~131,800원","137,100원~141,200원","약 ±2,395원 내외 (±1.75%)",2.2,125900.0,107600.0,142500.0,32.43,73.07,,3.42,15.24,648296,102570209719,False,False,FALSE,157.0,1개월 추세 양호 3.4%; 3개월 흐름 양호 15.2%; 상단권 추세 73.1%; 거래대금 우수; 단기 변동성 적정 1.75%; 3개월 변동폭 유효 32.4%; 대형주 안정성,00547583,하나금융지주,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,11442769000000.0,2436746000000.0,713462782000000.0,665015628000000.0,48447154000000.0,11278504000000.0,2982248000000.0,2323229000000.0,1.46,8.91,4.89,28.38,1372.66,10.06,흑자지속,37285459616000.0,270969910.0,2026-09-15,17985.36,178791.64,7.65,0.77,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,3247984000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,주요주주변동,20260921,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-09-24T10:37:27+09:00
9,🟡,006400,삼성SDI,KOSPI,2026-09-23,521000,상단권,"488,500원~516,000원","543,000원~573,000원","약 ±12,950원 내외 (±2.39%)",1.8,482000.0,341500.0,600000.0,75.7,69.44,,1.17,11.09,376430,235344458150,False,False,FALSE,155.0,1개월 완만한 회복 1.2%; 3개월 흐름 양호 11.1%; 현재 위치 중간권 69.4%; 거래대금 우수; 단기 변동성 적정 2.39%; 3개월 변동폭 유효 75.7%; 대형주 안정성,00126362,삼성SDI,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,7345161306669.0,527736617880.0,47621891099845.0,20785671482148.0,26836219617697.0,6356223796915.0,-831905582042.0,-382690226424.0,15.56,105.79,237.9,0.66,77.45,3.93,흑자전환,39325738640000.0,80585530.0,2026-08-18,13097.55,333015.36,37.26,1.47,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,48193813418,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260826,임원ㆍ주요주주특정증권등소유상황보고서,4,2026-09-24T10:37:27+09:00
10,🟡,005930,삼성전자,KOSPI,2026-09-23,285500,중간권,"272,000원~282,500원","297,500원~307,500원","약 ±5,450원 내외 (±2.09%)",1.9,269000.0,189200.0,362500.0,91.6,55.57,,11.09,-7.9,20864376,4398572371805,False,False,FALSE,153.0,1개월 추세 양호 11.1%; 현재 위치 중간권 55.6%; 거래대금 우수; 단기 변동성 적정 2.09%; 대형주 안정성,00126380,삼성전자,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,305372914000000.0,118849733000000.0,759480516000000.0,180170840000000.0,579309676000000.0,153706820000000.0,11361329000000.0,13339313000000.0,98.67,1191.44,790.97,48.05,31.1,41.03,흑자지속,1569725806248000.0,5846278608.0,2026-08-18,40658.25,99090.33,6.6,2.71,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,146725209000000,KRW,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,자사주처분,주요주주변동",20260922,임원ㆍ주요주주특정증권등소유상황보고서,826,2026-09-24T10:37:27+09:00
