name,ticker,market,status,last_date,current_close,split_buy_low_ref,split_buy_high_ref,target1_ref,target2_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_1m_intraday,high_1m_intraday,low_1m_close,high_1m_close,range_1m_pct,position_in_1m_range_pct,data_rows_1m,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,market_cap,listed_shares,data_rows,source_used,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,supply_burden_checked_at_kst
AJ네트웍스,095570,KOSPI,OK,2026-08-19,4355,4155,4310,4530,4670,4115,79.0,1.84,1.6,3905.0,4650.0,4090,4565,19.08,60.4,22,3825.0,4920.0,3925,4805,28.63,48.4,1.63,-9.37,122446,536392947,817650521,True,197075765445,45252759,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,43357316000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"감자,대량보유",20260814,주식등의대량보유상황보고서(일반),6,2026-08-20T09:00:17+09:00
AK홀딩스,006840,KOSPI,OK,2026-08-19,7340,6930,7270,7670,8000,6840,165.0,2.53,2.3,5870.0,7630.0,6010,7530,29.98,83.52,22,5440.0,8300.0,5590,7960,52.57,66.43,22.13,-7.79,15435,111124430,83149818,True,97237097740,13247561,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,66299918224,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
BGF,027410,KOSPI,OK,2026-08-19,4035,3855,3995,4195,4320,3820,72.0,1.74,2.2,3670.0,4250.0,3785,4195,15.8,62.93,22,3615.0,4890.0,3660,4775,35.27,32.94,2.41,-15.23,73869,295572730,396195529,True,386217251685,95716791,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,22128368993,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,대량보유,20260810,주식등의대량보유상황보고서(일반),2,2026-08-20T09:00:17+09:00
BGF리테일,282330,KOSPI,OK,2026-08-19,142800,135200,141400,147100,151700,133600,3050.0,2.44,1.7,116000.0,156600.0,116500,153100,35.0,66.01,22,107200.0,156600.0,108000,153100,46.08,72.06,16.19,6.65,57446,8136213000,10734601387,False,2468141776800,17283906,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,122961339292,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,대량보유,20260810,주식등의대량보유상황보고서(일반),3,2026-08-20T09:00:17+09:00
BNK금융지주,138930,KOSPI,OK,2026-08-19,14660,14310,14510,15460,16110,13740,362.0,2.12,2.2,14170.0,18540.0,14660,18120,30.84,11.21,22,14170.0,19050.0,14660,18780,34.44,10.04,-17.18,-15.06,1185957,17225368330,18082691056,False,4549394303780,310327033,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,518770567206,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260806,주식등의대량보유상황보고서(약식),13,2026-08-20T09:00:17+09:00
BYC,001460,KOSPI,OK,2026-08-19,36550,34250,36200,38600,40250,33750,927.0,2.59,2.0,29150.0,39600.0,30400,38450,35.85,70.81,22,29150.0,46150.0,30400,44100,58.32,43.53,14.04,-17.12,1254,45915500,136027371,True,228296782500,6246150,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,8580550468,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260630,임원ㆍ주요주주특정증권등소유상황보고서,8,2026-08-20T09:00:17+09:00
BYC우,001465,KOSPI,OK,2026-08-19,26700,25450,26450,27800,28650,25200,492.0,1.98,3.5,20100.0,27300.0,21200,27000,35.82,91.67,22,20100.0,31100.0,21200,30700,54.73,60.0,16.09,-11.3,2554,68323350,31934532,True,57507795000,2153850,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,,KRW,,,NO_CORP_CODE,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,2026-08-20T09:00:17+09:00
CJ,001040,KOSPI,OK,2026-08-19,122800,118100,121300,133500,142300,113400,4875.0,3.12,1.7,116900.0,147800.0,122800,145900,26.43,19.09,22,116900.0,192500.0,122800,186800,64.67,7.8,-4.58,-29.63,172635,21050780100,16275767157,False,3582935354400,29176998,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,992440137000,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"CB,주요주주변동",20260702,임원ㆍ주요주주특정증권등소유상황보고서,2,2026-08-20T09:00:17+09:00
CJ CGV,079160,KOSPI,OK,2026-08-19,5080,4800,5030,5330,5530,4740,113.0,2.36,2.4,4295.0,5790.0,4390,5670,34.81,52.51,22,4150.0,5790.0,4220,5670,39.52,56.71,14.67,4.53,510175,2592274275,3705386475,True,841160608760,165582797,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,20188422298,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"CB,대량보유",20260806,주식등의대량보유상황보고서(약식),2,2026-08-20T09:00:17+09:00
CJ대한통운,000120,KOSPI,OK,2026-08-19,73000,70100,72300,76700,79800,67900,1694.0,2.18,2.4,69400.0,79800.0,70700,79000,14.99,34.62,22,69400.0,91500.0,70700,89600,31.84,16.29,2.1,-17.61,48637,3548395500,4061849235,True,1665301112000,22812344,63,collect_universe.py v4.6.1_kosdaq_candidates_gainer_filter_actual_date_log_one_month_metrics_v6,193671789270,KRW,FALSE,2026 반기보고서,OK,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260624,임원ㆍ주요주주특정증권등소유상황보고서,3,2026-08-20T09:00:17+09:00
