code,name,sector,theme,sector_theme,source,source_url,asof_kst
000010,덕양에너젠,연료용 가스 제조 및 배관공급업,수소가스·고순도 수소가스,연료용 가스 제조 및 배관공급업 / 수소가스·고순도 수소가스,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000020,동화약품,의약품 제조업,의약품 제조·판매·수출입,의약품 제조업 / 의약품 제조·판매·수출입,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000040,엔비알모션,기타 금속 가공제품 제조업,강구 및 테이퍼롤러,기타 금속 가공제품 제조업 / 강구 및 테이퍼롤러,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000050,경방,종합 소매업,섬유류(면사·면혼방사·면직물,종합 소매업 / 섬유류(면사·면혼방사·면직물,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000070,인벤테라,자연과학 및 공학 연구개발업,철(Fe) 기반 질환 특이성 나노-MRI 조영제 신약,자연과학 및 공학 연구개발업 / 철(Fe) 기반 질환 특이성 나노-MRI 조영제 신약,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000080,에스엔시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",파워솔루션·에코솔루션·운항제어솔루션,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 / 파워솔루션·에코솔루션·운항제어솔루션",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000090,에임드바이오,자연과학 및 공학 연구개발업,ADC 기반 항암제,자연과학 및 공학 연구개발업 / ADC 기반 항암제,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000100,보원케미칼,플라스틱제품 제조업,차량 내장재용 표면소재·SPC바닥재 등,플라스틱제품 제조업 / 차량 내장재용 표면소재·SPC바닥재 등,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000110,채비,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전 서비스·전기차 충전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 / 전기차 충전 서비스·전기차 충전기",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000120,CJ대한통운,도로 화물 운송업,Contract Logistics·포워딩·항만하역,도로 화물 운송업 / Contract Logistics·포워딩·항만하역,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000130,삼진식품,수산물 가공 및 저장 처리업,반찬용 어묵·국탕용 어묵 등 어묵관련 제품 판매,수산물 가공 및 저장 처리업 / 반찬용 어묵·국탕용 어묵 등 어묵관련 제품 판매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000140,하이트진로홀딩스,기타 금융업,지주회사,기타 금융업 / 지주회사,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000150,페스카로,"그외 기타 전문, 과학 및 기술 서비스업",임베디드 보안 솔루션·차량전장 소프트웨어,"그외 기타 전문, 과학 및 기술 서비스업 / 임베디드 보안 솔루션·차량전장 소프트웨어",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000170,세미티에스,특수 목적용 기계 제조업,클린컨베이어시스템·질소퍼지시스템,특수 목적용 기계 제조업 / 클린컨베이어시스템·질소퍼지시스템,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,합판·마루·파티클보드,회사 본부 및 경영 컨설팅 서비스업 / 합판·마루·파티클보드,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000210,DL,기초 화학물질 제조업,지주회사,기초 화학물질 제조업 / 지주회사,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000220,유유제약,의약품 제조업,의약품 제조·판매,의약품 제조업 / 의약품 제조·판매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000230,일동홀딩스,의약품 제조업,의약품 제조·도매,의약품 제조업 / 의약품 제조·도매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000240,한국앤컴퍼니,기타 금융업,비금융지주회사,기타 금융업 / 비금융지주회사,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000250,삼천당제약,의약품 제조업,하메론·아토로우,의약품 제조업 / 하메론·아토로우,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000270,기아,자동차용 엔진 및 자동차 제조업,승용차·중대형버스·트럭,자동차용 엔진 및 자동차 제조업 / 승용차·중대형버스·트럭,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000300,대신밸류리츠,신탁업 및 집합투자업,부동산 임대,신탁업 및 집합투자업 / 부동산 임대,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000320,노루홀딩스,기타 금융업,지주사업,기타 금융업 / 지주사업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000370,KB제32호스팩,금융 지원 서비스업,기업인수합병,금융 지원 서비스업 / 기업인수합병,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000390,매드업,광고업,디지털 마케팅 AI 에이전트·솔루션 기반 광고대행,광고업 / 디지털 마케팅 AI 에이전트·솔루션 기반 광고대행,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000400,롯데손해보험,보험업,손해보험업,보험업 / 손해보험업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000410,교보18호스팩,금융 지원 서비스업,기업인수합병,금융 지원 서비스업 / 기업인수합병,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000430,대원강업,자동차 신품 부품 제조업,차랑용 스프링 및 시트,자동차 신품 부품 제조업 / 차랑용 스프링 및 시트,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000440,삼성스팩10호,금융 지원 서비스업,기업인수합병,금융 지원 서비스업 / 기업인수합병,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000480,시알홀딩스,"내화, 비내화 요업제품 제조업",내화연와(정형·부정형·S,"내화, 비내화 요업제품 제조업 / 내화연와(정형·부정형·S",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000490,대동,특수 목적용 기계 제조업,경운기·트랙터·이앙기,특수 목적용 기계 제조업 / 경운기·트랙터·이앙기,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000500,가온전선,절연선 및 케이블 제조업,전력선·통신케이블 제조·도매,절연선 및 케이블 제조업 / 전력선·통신케이블 제조·도매,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000520,삼일제약,의약품 제조업,양약(부루펜·액티피드·포리부틴) 제조,의약품 제조업 / 양약(부루펜·액티피드·포리부틴) 제조,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000540,엔에이치스팩32호,금융 지원 서비스업,합병,금융 지원 서비스업 / 합병,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
000590,CS홀딩스,기타 금융업,브랜드 수익·자회사 배당,기타 금융업 / 브랜드 수익·자회사 배당,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
