date,market,proxy_daily_return_pct,proxy_index_close
2025-12-01,KOSDAQ,0.0,1000.0
2025-12-02,KOSDAQ,0.5676,1005.68
2025-12-03,KOSDAQ,0.3589,1009.29
2025-12-04,KOSDAQ,-0.2421,1006.84
2025-12-05,KOSDAQ,-0.7337,999.45
2025-12-08,KOSDAQ,0.4153,1003.61
2025-12-09,KOSDAQ,0.4907,1008.53
2025-12-10,KOSDAQ,0.4217,1012.78
2025-12-11,KOSDAQ,-0.0615,1012.16
2025-12-12,KOSDAQ,0.1584,1013.76
2025-12-15,KOSDAQ,-0.0396,1013.36
2025-12-16,KOSDAQ,-2.4868,988.16
2025-12-17,KOSDAQ,-0.5355,982.87
2025-12-18,KOSDAQ,-1.1055,972.0
2025-12-19,KOSDAQ,1.6002,987.56
2025-12-22,KOSDAQ,1.5644,1003.01
2025-12-23,KOSDAQ,-0.9522,993.46
2025-12-24,KOSDAQ,-0.4967,988.52
2025-12-26,KOSDAQ,0.4775,993.24
2025-12-29,KOSDAQ,1.4705,1007.85
2025-12-30,KOSDAQ,-0.695,1000.84
2026-01-02,KOSDAQ,2.068,1021.54
2026-01-05,KOSDAQ,1.235,1034.16
2026-01-06,KOSDAQ,-0.2144,1031.94
2026-01-07,KOSDAQ,-0.9436,1022.2
2026-01-08,KOSDAQ,-0.3512,1018.61
2026-01-09,KOSDAQ,0.3967,1022.65
2026-01-12,KOSDAQ,0.2122,1024.82
2026-01-13,KOSDAQ,-0.0704,1024.1
2026-01-14,KOSDAQ,-0.7281,1016.65
2026-01-15,KOSDAQ,1.0385,1027.2
2026-01-16,KOSDAQ,0.4038,1031.35
2026-01-19,KOSDAQ,1.4448,1046.25
2026-01-20,KOSDAQ,0.7631,1054.24
2026-01-21,KOSDAQ,-2.5342,1027.52
2026-01-22,KOSDAQ,2.0923,1049.02
2026-01-23,KOSDAQ,2.485,1075.09
2026-01-26,KOSDAQ,7.1492,1151.95
2026-01-27,KOSDAQ,1.7388,1171.98
2026-01-28,KOSDAQ,4.6436,1226.4
2026-01-29,KOSDAQ,2.7938,1260.66
2026-01-30,KOSDAQ,-1.2334,1245.11
2026-02-02,KOSDAQ,-4.4195,1190.09
2026-02-03,KOSDAQ,4.1628,1239.63
2026-02-04,KOSDAQ,0.3721,1244.24
2026-02-05,KOSDAQ,-3.5187,1200.46
2026-02-06,KOSDAQ,-2.5135,1170.28
2026-02-09,KOSDAQ,7.4251,1257.18
2026-02-10,KOSDAQ,-1.1427,1242.81
2026-02-11,KOSDAQ,-0.0659,1241.99
2026-02-12,KOSDAQ,0.976,1254.12
2026-02-13,KOSDAQ,-1.7806,1231.79
2026-02-19,KOSDAQ,4.9507,1292.77
2026-02-20,KOSDAQ,-0.6123,1284.85
2026-02-23,KOSDAQ,-0.0802,1283.82
2026-02-24,KOSDAQ,1.0857,1297.76
2026-02-25,KOSDAQ,0.014,1297.94
2026-02-26,KOSDAQ,2.0917,1325.09
2026-02-27,KOSDAQ,0.3447,1329.66
2026-03-03,KOSDAQ,-4.6332,1268.05
2026-03-04,KOSDAQ,-13.9051,1091.73
2026-03-05,KOSDAQ,13.9829,1244.38
2026-03-06,KOSDAQ,3.54,1288.43
2026-03-09,KOSDAQ,-4.5945,1229.24
2026-03-10,KOSDAQ,3.1465,1267.92
2026-03-11,KOSDAQ,-0.1185,1266.41
2026-03-12,KOSDAQ,1.0306,1279.46
2026-03-13,KOSDAQ,0.4375,1285.06
2026-03-16,KOSDAQ,-1.1987,1269.66
2026-03-17,KOSDAQ,-0.0894,1268.52
2026-03-18,KOSDAQ,2.3665,1298.54
2026-03-19,KOSDAQ,-1.7775,1275.46
2026-03-20,KOSDAQ,1.6303,1296.26
2026-03-23,KOSDAQ,-5.5511,1224.3
2026-03-24,KOSDAQ,2.0387,1249.26
2026-03-25,KOSDAQ,3.4728,1292.64
2026-03-26,KOSDAQ,-1.7866,1269.55
2026-03-27,KOSDAQ,0.5427,1276.44
2026-03-30,KOSDAQ,-3.0633,1237.34
2026-03-31,KOSDAQ,-4.9927,1175.56
2026-04-01,KOSDAQ,5.9971,1246.06
2026-04-02,KOSDAQ,-5.4207,1178.52
2026-04-03,KOSDAQ,0.7166,1186.96
2026-04-06,KOSDAQ,-1.5087,1169.05
2026-04-07,KOSDAQ,-0.9912,1157.47
2026-04-08,KOSDAQ,5.0864,1216.34
2026-04-09,KOSDAQ,-1.2068,1201.66
2026-04-10,KOSDAQ,1.5503,1220.29
2026-04-13,KOSDAQ,0.5,1226.39
2026-04-14,KOSDAQ,1.9876,1250.77
2026-04-15,KOSDAQ,2.789,1285.65
2026-04-16,KOSDAQ,0.9519,1297.89
2026-04-17,KOSDAQ,0.5869,1305.51
2026-04-20,KOSDAQ,0.4303,1311.12
2026-04-21,KOSDAQ,0.2848,1314.86
2026-04-22,KOSDAQ,0.1514,1316.85
2026-04-23,KOSDAQ,-0.5844,1309.15
2026-04-24,KOSDAQ,2.4818,1341.64
2026-04-27,KOSDAQ,1.9124,1367.3
2026-04-28,KOSDAQ,-0.8402,1355.81
2026-04-29,KOSDAQ,0.4816,1362.34
2026-04-30,KOSDAQ,-1.7358,1338.69
2026-05-04,KOSDAQ,2.4481,1371.47
2026-05-06,KOSDAQ,0.024,1371.8
2026-05-07,KOSDAQ,-0.5473,1364.29
2026-05-08,KOSDAQ,1.1138,1379.48
2026-05-11,KOSDAQ,0.1904,1382.11
2026-05-12,KOSDAQ,-2.1053,1353.01
2026-05-13,KOSDAQ,-0.3905,1347.73
2026-05-14,KOSDAQ,1.0689,1362.13
2026-05-15,KOSDAQ,-4.9767,1294.35
