ticker,corp_code,corp_name,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status,account_nm,fs_div,sj_div,bsns_year,reprt_code,target_period_key,fetched_at_kst
000020,00119195,동화약품,21518244028,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000040,01884065,디비금융제14호스팩,-28753030,KRW,True,2026 반기보고서,OK,영업이익,OFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000050,00101628,경방,28988544599,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000070,00126937,삼양홀딩스,89680065933,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000080,01294110,에스엔시스,9871056328,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000087,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000100,00145109,유한양행,75684328844,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000105,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000120,00113410,CJ대한통운,193671789270,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000140,00148993,하이트진로홀딩스,120038618527,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:14+09:00
000145,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000150,01817920,페스카로,1101877123,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:15+09:00
000155,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000157,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000180,00133335,성창기업지주,-1230704167,KRW,True,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:15+09:00
000210,00109693,DL,369363656822,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:15+09:00
000215,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000220,00144818,유유제약,8305369048,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:15+09:00
000225,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000227,,,,KRW,,,NO_CORP_CODE,,,,,,2026_11012,2026-08-27T18:50:44+09:00
000230,00146083,일동홀딩스,10820403539,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:16+09:00
000240,00160047,한국앤컴퍼니,221834272940,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:16+09:00
000250,00128546,삼천당제약,8888273498,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:16+09:00
000270,00106641,기아,4833650000000,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:16+09:00
000300,01885222,대신밸류리츠,6672380970,KRW,False,2025 사업보고서,OK,영업이익,CFS,IS,2025,11011,2026_11012,2026-08-19T08:51:18+09:00
000320,00113508,노루홀딩스,47066091404,KRW,False,2026 반기보고서,OK,영업이익,CFS,IS,2026,11012,2026_11012,2026-08-19T08:51:17+09:00
