date,Adj Close,Close,High,Low,Open,Volume,name,ticker,country,source_used,시가,고가,저가,종가,거래량,등락률
2026-05-14,311.07000732421875,311.07000732421875,386.3399963378906,300.0,350.0,33497900.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-15,279.7200012207031,279.7200012207031,306.7799987792969,275.0,298.489990234375,17119200.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-18,296.6499938964844,296.6499938964844,303.6600036621094,272.239990234375,291.54998779296875,10158400.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-19,303.6300048828125,303.6300048828125,333.989990234375,286.1499938964844,292.1700134277344,10379500.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-20,290.69000244140625,290.69000244140625,338.3299865722656,284.25,317.5299987792969,12851700.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-21,281.8599853515625,281.8599853515625,294.0,275.4200134277344,293.70001220703125,5448100.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-22,256.7799987792969,256.7799987792969,285.0,250.27000427246094,285.0,11783800.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-26,241.7100067138672,241.7100067138672,262.2900085449219,236.10000610351562,260.0,8180300.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-27,266.8999938964844,266.8999938964844,269.3900146484375,243.02999877929688,243.86000061035156,6523000.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-28,242.58999633789062,242.58999633789062,268.7799987792969,241.52999877929688,260.95001220703125,5692300.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-05-29,236.99000549316406,236.99000549316406,251.35000610351562,232.55999755859375,247.1199951171875,4342400.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-06-01,213.27999877929688,213.27999877929688,232.3699951171875,212.60000610351562,231.8800048828125,5823700.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-06-02,236.52000427246094,236.52000427246094,241.69000244140625,217.0,220.0500030517578,5236600.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-06-03,214.94000244140625,214.94000244140625,230.05999755859375,213.25,230.05999755859375,3799300.0,Cerebras Systems Inc,CBRS,US,yfinance_close,,,,,,
2026-03-04,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,90400.0,90400.0,74800.0,77300.0,718758.0,-14.585635359116022
2026-03-05,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,85000.0,96000.0,83400.0,95000.0,535924.0,22.897800776196636
2026-03-06,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,93100.0,94000.0,87100.0,90000.0,473685.0,-5.263157894736842
2026-03-09,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,84500.0,88700.0,82100.0,83200.0,468699.0,-7.555555555555555
2026-03-10,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,86300.0,90700.0,85900.0,87700.0,356411.0,5.408653846153847
2026-03-11,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,88500.0,89400.0,84000.0,85000.0,254826.0,-3.0786773090079818
2026-03-12,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,85100.0,87500.0,84300.0,85900.0,243918.0,1.0588235294117647
2026-03-13,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,85000.0,87100.0,83300.0,86500.0,223757.0,0.6984866123399301
2026-03-16,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,88500.0,91000.0,83400.0,87900.0,351389.0,1.6184971098265895
2026-03-17,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,89500.0,90600.0,85700.0,85700.0,251591.0,-2.502844141069397
2026-03-18,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,87400.0,88100.0,85800.0,87900.0,381609.0,2.5670945157526255
2026-03-19,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,86500.0,89300.0,85600.0,87900.0,333706.0,0.0
2026-03-20,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,88700.0,89900.0,86700.0,88100.0,330959.0,0.22753128555176336
2026-03-23,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,87600.0,87600.0,82700.0,83500.0,369594.0,-5.2213393870601585
2026-03-24,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,85600.0,86700.0,81200.0,83400.0,256382.0,-0.11976047904191617
2026-03-25,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,84800.0,85600.0,81700.0,82400.0,334790.0,-1.1990407673860912
2026-03-26,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,82600.0,83200.0,77300.0,77900.0,419986.0,-5.461165048543689
2026-03-27,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,78600.0,85300.0,76300.0,83800.0,436469.0,7.573812580231065
