basis_date,market,ticker,name,official_close,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_52w_pct,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_direction,ma20_direction,ma60_direction,ma120_direction,mean_run_days,streak_direction,streak_days,streak_change_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,sector_benchmark_ticker,sector_benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,atr14_pct,avg_daily_range_20_pct,ma20_reference,confirmed_swing_low_stop,rsi,macd,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,000270,기아,126600.0,,-5.7334,-18.8462,-21.8519,,,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,2026-07-29,2026-06-16,5.1495,-25.6169,0.0791,-1,-1,-1,-1,1.935483870967742,-1,1,-0.315,-14.6275,-7.8461,1015,운송장비·부품,0.1482,3.624,3.9522,3.4613,130025.0,,,,,
2026-09-11,KOSPI,000370,한화손해보험,8420.0,,37.3573,34.72,18.4248,,,UPTREND,상승중,2026-07-29,2026-09-03,59.7723,-5.9218,0.0,-1,1,1,1,2.3076923076923075,1,2,6.7174,28.4632,45.7201,1025,보험,28.8852,38.8226,5.5992,6.3358,7943.5,,,,,
2026-09-11,KOSPI,000500,가온전선,254000.0,,61.5776,-21.6049,166.2474,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-18,136.0595,-34.1115,19.8113,1,1,-1,1,1.935483870967742,1,1,1.6,52.6835,-10.6048,1013,전기전자,46.6188,-7.8141,,8.4816,199285.0,,,,,
2026-09-11,KOSPI,000540,흥국화재,3675.0,,9.538,0.5472,-23.7552,,,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-09-03,26.2887,-7.197,-0.5413,-1,1,0,-1,1.8181818181818181,-1,1,-0.8097,0.6439,11.5473,1025,보험,1.0659,4.6498,4.4721,4.661,3569.75,,,,,
2026-09-11,KOSPI,000640,동아쏘시오홀딩스,90700.0,,-6.4948,10.0728,-14.1911,,,TOP_DECLINE,고점후하락,2026-06-26,2026-08-11,19.657,-6.4948,-2.0518,-1,-1,1,-1,2.142857142857143,-1,6,-3.5106,-15.3889,21.0729,1021,금융,-12.4463,11.5688,3.4297,3.2857,92125.0,,,,,
2026-09-11,KOSPI,000650,천일고속,143300.0,,-10.213,-26.7757,-41.0288,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-23,12.2161,-29.0594,-0.2784,-1,-1,-1,-1,2.2222222222222223,-1,3,-0.3477,-19.1071,-15.7756,1019,운송·창고,-11.5555,-36.1714,5.1875,4.1796,149795.0,,,,,
2026-09-11,KOSPI,000660,SK하이닉스,1812000.0,,27.1579,-13.7554,89.7382,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-22,37.0651,-37.9239,10.0182,1,1,-1,1,1.875,-1,2,-2.3707,18.2638,-2.7553,1013,전기전자,12.1991,0.0354,6.5954,5.2241,1698400.0,,,,,
2026-09-11,KOSPI,000810,삼성화재,686000.0,,7.0203,3.4691,37.8894,,,UPTREND,상승중,2026-07-29,2026-09-03,16.8654,-2.2792,3.4691,-1,1,-1,1,1.935483870967742,1,2,7.0203,-1.8738,14.4692,1025,보험,-1.4518,7.5717,4.9338,4.8056,655550.0,,,,,
2026-09-11,KOSPI,000880,한화,137300.0,,63.8425,16.7517,5.9414,,,UPTREND_PULLBACK,상승중 눌림,2026-08-24,2026-09-09,63.8425,-3.3099,-0.0728,1,1,1,1,3.1578947368421053,-1,2,-3.3099,54.9484,27.7518,1008,화학,61.5747,15.0504,,,118075.0,,,,,
2026-09-11,KOSPI,000990,DB하이텍,105800.0,,13.5193,-31.8299,24.4706,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-12,48.5955,-39.3001,17.6863,1,1,-1,1,1.935483870967742,-1,1,-8.1597,4.6252,-20.8298,1013,전기전자,-1.4395,-18.0391,7.5018,5.9768,96725.0,,,,,
2026-09-11,KOSPI,001020,페이퍼코리아,2240.0,,14.4025,-1.1038,206.8493,,,TOP_DECLINE,고점후하락,2026-07-29,2026-09-02,29.2556,-16.2617,-8.9431,-1,1,1,1,2.608695652173913,-1,4,-12.6706,5.5084,9.8963,1007,종이·목재,13.657,-4.3471,,7.8747,2349.4,,,,,
2026-09-11,KOSPI,001045,CJ우,67900.0,,-7.9946,-6.9863,-23.1031,,,NEW_LOW,최근 신저점,2026-07-20,2026-08-06,5.5988,-11.3577,-1.4514,1,-1,-1,-1,1.935483870967742,-1,4,-2.1614,-16.8887,4.0138,1021,금융,-13.9461,-5.4903,2.9432,2.5876,69640.0,,,,,
2026-09-11,KOSPI,001060,JW중외제약,26600.0,,1.3333,0.3774,-15.8228,,,TOP_DECLINE,고점후하락,2026-07-29,2026-08-12,20.9091,-11.3333,-3.2727,-1,-1,-1,-1,1.7142857142857142,-1,5,-3.2727,-7.5608,11.3775,1009,제약,12.4813,-6.6726,4.3161,3.8535,27362.5,,,,,
2026-09-11,KOSPI,001200,유진투자증권,4355.0,,-1.9144,-0.9101,-10.8495,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-17,17.5439,-11.0317,0.0,-1,-1,-1,-1,1.5384615384615385,-1,1,-0.7973,-10.8085,10.09,1024,증권,3.3363,22.5595,3.6093,3.1461,4343.75,,,,,
2026-09-11,KOSPI,001210,금호전기,12450.0,,205.1471,2425.355,1462.1079,,,UPTREND,상승중,2026-06-23,2026-09-02,2488.3576,-6.391,2.3007,-1,1,1,1,3.3333333333333335,1,1,4.1841,196.253,2436.3551,1013,전기전자,190.1883,2439.1458,,15.6343,10211.5,,,,,
2026-09-11,KOSPI,001290,상상인증권,4300.0,,294.4954,381.523,235.152,,,UPTREND,상승중,2026-07-29,2026-09-09,632.5383,-4.4444,325.7426,1,1,1,1,2.727272727272727,1,1,1.8957,285.6013,392.5231,1024,증권,299.7461,404.9926,,,1504.05,,,,,
2026-09-11,KOSPI,001420,태원물산,2880.0,,3.2258,26.8722,4.7273,,,BOTTOM_REBOUND,저점반등,2026-08-14,2026-07-09,43.2836,-7.2464,3.2258,1,1,1,1,2.3076923076923075,-1,2,-1.7065,-5.6683,37.8723,1015,운송장비·부품,9.1074,49.3424,,11.0434,2533.0,,,,,
2026-09-11,KOSPI,001440,대한전선,29500.0,,4.2403,-20.1624,-2.8007,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-17,41.8269,-28.3111,7.6642,1,1,-1,0,2.4,-1,2,-5.1447,-4.6538,-9.1623,1013,전기전자,-10.7185,-6.3716,6.1668,5.1796,28560.0,,,,,
2026-09-11,KOSPI,001527,동양2우B,5750.0,,-13.142,-19.0141,-33.9839,,,NEW_LOW,최근 신저점,2026-06-30,2026-07-23,25.8206,-29.4479,-4.6434,-1,-1,-1,-1,2.0689655172413794,-1,3,-2.7073,-22.0361,-8.014,1010,비금속,-13.7597,-19.8615,,,6327.5,,,,,
2026-09-11,KOSPI,001530,DI동일,26450.0,,6.4386,17.8174,17.2949,,,UPTREND_PULLBACK,상승중 눌림,2026-06-26,2026-09-07,29.3399,-6.5371,-4.1667,-1,1,1,1,1.7142857142857142,-1,4,-6.5371,-2.4555,28.8175,1016,유통,4.5797,30.9799,5.7036,5.7464,26212.5,,,,,
2026-09-11,KOSPI,001560,제일연마,8990.0,,1.1249,-8.2653,-15.666,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-21,2026-06-15,8.0529,-12.2927,-3.125,1,1,-1,-1,2.0689655172413794,-1,3,-3.953,-7.7692,2.7348,1010,비금속,0.5072,-9.1127,2.6822,2.8135,9153.0,,,,,
