basis_date,market,ticker,name,status,benchmark_ticker,benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,missing_reason
2026-09-11,KOSPI,000270,기아,READY,1015,운송장비·부품,0.1482,3.624,
2026-09-11,KOSPI,000370,한화손해보험,READY,1025,보험,28.8852,38.8226,
2026-09-11,KOSPI,000500,가온전선,READY,1013,전기전자,46.6188,-7.8141,
2026-09-11,KOSPI,000540,흥국화재,READY,1025,보험,1.0659,4.6498,
2026-09-11,KOSPI,000640,동아쏘시오홀딩스,READY,1021,금융,-12.4463,11.5688,
2026-09-11,KOSPI,000650,천일고속,READY,1019,운송·창고,-11.5555,-36.1714,
2026-09-11,KOSPI,000660,SK하이닉스,READY,1013,전기전자,12.1991,0.0354,
2026-09-11,KOSPI,000810,삼성화재,READY,1025,보험,-1.4518,7.5717,
2026-09-11,KOSPI,000880,한화,READY,1008,화학,61.5747,15.0504,
2026-09-11,KOSPI,000990,DB하이텍,READY,1013,전기전자,-1.4395,-18.0391,
2026-09-11,KOSPI,001020,페이퍼코리아,READY,1007,종이·목재,13.657,-4.3471,
2026-09-11,KOSPI,001045,CJ우,READY,1021,금융,-13.9461,-5.4903,
2026-09-11,KOSPI,001060,JW중외제약,READY,1009,제약,12.4813,-6.6726,
2026-09-11,KOSPI,001200,유진투자증권,READY,1024,증권,3.3363,22.5595,
2026-09-11,KOSPI,001210,금호전기,READY,1013,전기전자,190.1883,2439.1458,
2026-09-11,KOSPI,001290,상상인증권,READY,1024,증권,299.7461,404.9926,
2026-09-11,KOSPI,001420,태원물산,READY,1015,운송장비·부품,9.1074,49.3424,
2026-09-11,KOSPI,001440,대한전선,READY,1013,전기전자,-10.7185,-6.3716,
2026-09-11,KOSPI,001527,동양2우B,READY,1010,비금속,-13.7597,-19.8615,
2026-09-11,KOSPI,001530,DI동일,READY,1016,유통,4.5797,30.9799,
2026-09-11,KOSPI,001560,제일연마,READY,1010,비금속,0.5072,-9.1127,
2026-09-11,KOSPI,001770,SHD,READY,1011,금속,30.9214,-26.4784,
2026-09-11,KOSPI,001820,삼화콘덴서,READY,1013,전기전자,47.6448,16.8666,
2026-09-11,KOSPI,002210,동성제약,READY,1009,제약,-2.6219,37.7599,
2026-09-11,KOSPI,002380,KCC,READY,1008,화학,5.6211,-2.7207,
2026-09-11,KOSPI,002420,우양피앤엘,READY,1016,유통,-10.5111,12.0814,
2026-09-11,KOSPI,002450,삼익악기,READY,1027,제조,-12.5639,3.2739,
2026-09-11,KOSPI,002990,금호건설,READY,1018,건설,14.5678,287.6364,
2026-09-11,KOSPI,003010,혜인,READY,1016,유통,31.6157,114.2263,
