basis_date,market,ticker,name,long_history_rows,metric_input_rows,metric_status,official_close,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_value,ma5_direction,ma20_value,ma20_direction,ma60_value,ma60_direction,ma120_value,ma120_direction,return_1m_pct,return_3m_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,atr14_krw,atr14_pct,avg_daily_range_20_pct,mean_run_days,up_run_days,down_run_days,streak_direction,streak_days,streak_change_pct,ma20_reference_only,confirmed_swing_low_stop,rsi,macd,return_1w,return_6m,return_ytd,return_52w,rs_sector,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,000270,기아,260,143,OK,126600.0,EARLY_REBOUND_UNCONFIRMED,초기반등·확인부족,2026-07-29,2026-06-16,5.1495,-25.6169,0.0791,126840.0,-1,130025.0,-1,136930.0,-1,148231.6667,-1,-5.7334,-18.8462,-14.6275,-7.8461,5003.5186,3.9522,3.4613,1.935483870967742,2.1333333333333333,1.75,-1,1,-0.315,130025.0,,,,,,,,,,
2026-09-11,KOSPI,000370,한화손해보험,260,143,OK,8420.0,UPTREND,상승중,2026-07-29,2026-09-03,59.7723,-5.9218,0.0,8222.0,-1,7943.5,1,6576.8333,1,6607.4167,1,37.3573,34.72,28.4632,45.7201,471.4537,5.5992,6.3358,2.3076923076923075,2.4615384615384617,2.1538461538461537,1,2,6.7174,7943.5,,,,,,,,,,
2026-09-11,KOSPI,000500,가온전선,260,143,OK,254000.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-18,136.0595,-34.1115,19.8113,246300.0,1,199285.0,1,215801.6667,-1,233428.3333,1,61.5776,-21.6049,52.6835,-10.6048,,,8.4816,1.935483870967742,1.875,2,1,1,1.6,199285.0,,,,,,,,,,
2026-09-11,KOSPI,000540,흥국화재,260,143,OK,3675.0,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-09-03,26.2887,-7.197,-0.5413,3687.0,-1,3569.75,1,3325.25,0,3727.375,-1,9.538,0.5472,0.6439,11.5473,164.3484,4.4721,4.661,1.8181818181818181,1.8125,1.8235294117647058,-1,1,-0.8097,3569.75,,,,,,,,,,
2026-09-11,KOSPI,000640,동아쏘시오홀딩스,260,143,OK,90700.0,TOP_DECLINE,고점후하락,2026-06-26,2026-08-11,19.657,-6.4948,-2.0518,91260.0,-1,92125.0,-1,86603.3333,1,89945.0,-1,-6.4948,10.0728,-15.3889,21.0729,3110.75,3.4297,3.2857,2.142857142857143,1.9285714285714286,2.357142857142857,-1,6,-3.5106,92125.0,,,,,,,,,,
2026-09-11,KOSPI,000650,천일고속,260,143,OK,143300.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-30,2026-06-23,12.2161,-29.0594,-0.2784,143620.0,-1,149795.0,-1,156485.0,-1,185850.0,-1,-10.213,-26.7757,-19.1071,-15.7756,7433.7401,5.1875,4.1796,2.2222222222222223,2,2.4285714285714284,-1,3,-0.3477,149795.0,,,,,,,,,,
2026-09-11,KOSPI,000660,SK하이닉스,260,143,OK,1812000.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-22,37.0651,-37.9239,10.0182,1819400.0,1,1698400.0,1,1912750.0,-1,1726466.6667,1,27.1579,-13.7554,18.2638,-2.7553,119509.4485,6.5954,5.2241,1.875,2,1.75,-1,2,-2.3707,1698400.0,,,,,,,,,,
2026-09-11,KOSPI,000810,삼성화재,260,143,OK,686000.0,UPTREND,상승중,2026-07-29,2026-09-03,16.8654,-2.2792,3.4691,655400.0,-1,655550.0,1,645133.3333,-1,585025.0,1,7.0203,3.4691,-1.8738,14.4692,33846.1634,4.9338,4.8056,1.935483870967742,2.0625,1.8,1,2,7.0203,655550.0,,,,,,,,,,
2026-09-11,KOSPI,000880,한화,260,143,OK,137300.0,UPTREND_PULLBACK,상승중 눌림,2026-08-24,2026-09-09,63.8425,-3.3099,-0.0728,139040.0,1,118075.0,1,102316.6667,1,114495.8333,1,63.8425,16.7517,54.9484,27.7518,,,,3.1578947368421053,2.3333333333333335,3.9,-1,2,-3.3099,118075.0,,,,,,,,,,
2026-09-11,KOSPI,000990,DB하이텍,260,143,OK,105800.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-12,48.5955,-39.3001,17.6863,107340.0,1,96725.0,1,107850.0,-1,123530.0,1,13.5193,-31.8299,4.6252,-20.8298,7936.8594,7.5018,5.9768,1.935483870967742,2.066666666666667,1.8125,-1,1,-8.1597,96725.0,,,,,,,,,,
