ticker,name,source_file,aux_name,aux_current_price,aux_compare_to_previous_close,aux_fluctuations_ratio,aux_accumulated_trading_volume,aux_accumulated_trading_value,aux_market_status,aux_local_traded_at,aux_source,aux_fetch_status,aux_run_at_kst,aux_data_type,aux_display_label
005860,한일사료,kosdaq_candidates_10_latest.csv,한일사료,2645,-40,-1.49,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
086450,동국제약,kosdaq_candidates_10_latest.csv,동국제약,18570,370,2.03,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
096530,씨젠,kosdaq_candidates_10_latest.csv,씨젠,27550,650,2.42,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
131290,티에스이,kosdaq_candidates_10_latest.csv,티에스이,239500,-500,-0.21,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
160980,싸이맥스,kosdaq_candidates_10_latest.csv,싸이맥스,36400,900,2.54,,,CLOSE,2026-07-23T16:10:18+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
214450,파마리서치,kosdaq_candidates_10_latest.csv,파마리서치,360000,37500,11.63,,,CLOSE,2026-07-23T16:10:20+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
241710,코스메카코리아,kosdaq_candidates_10_latest.csv,코스메카코리아,83400,7000,9.16,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
252990,샘씨엔에스,kosdaq_candidates_10_latest.csv,샘씨엔에스,14040,350,2.56,,,CLOSE,2026-07-23T16:10:19+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
257720,실리콘투,kosdaq_candidates_10_latest.csv,실리콘투,36400,1400,4.0,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
439090,마녀공장,kosdaq_candidates_10_latest.csv,마녀공장,16340,-90,-0.55,,,CLOSE,2026-07-23T16:10:17+09:00,NAVER,OK,2026-07-23T20:19:20+09:00,SUPPLEMENT_AUX_CURRENT_PRICE_NOT_OFFICIAL_KRX,보조 현재가 참고판
