basis_date,market,ticker,name,history_rows,phase_code,phase_ko,bottom_rebound,new_20d_low,swing_trough_date,swing_trough_close,swing_peak_date,swing_peak_close,from_trough_pct,from_peak_pct,momentum_5d_pct,ma20_value,ma20_direction,ma20_slope_5d_pct,confirmed_swing_low_stop,trailing_reference_status,source_metric_contract_version
2026-09-11,KOSDAQ,007390,네이처셀,260,BOTTOM_REBOUND,저점반등,True,False,2026-08-03,21150.0,2026-06-17,32200.0,18.6761,-22.0497,4.8017,24400.0,1,1.9854,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,010170,대한광통신,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,7160.0,2026-06-16,19400.0,97.6257,-27.0619,8.7625,13538.5,1,2.0041,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,036930,주성엔지니어링,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-30,98300.0,2026-06-11,245500.0,112.6144,-14.8676,17.2182,181850.0,1,6.7508,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,041190,우리기술투자,260,TOP_DECLINE,고점후하락,False,False,2026-07-30,3930.0,2026-08-25,6800.0,41.4758,-18.2353,-10.6109,5779.25,1,4.6397,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,060250,NHN KCP,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,11240.0,2026-08-28,16150.0,28.9146,-10.2786,-8.1167,14930.5,1,1.008,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,060370,LS마린솔루션,260,TOP_DECLINE,고점후하락,False,False,2026-06-26,23050.0,2026-08-27,34450.0,40.1302,-6.2409,4.5307,31855.0,-1,-0.3753,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,064260,다날,260,TOP_DECLINE,고점후하락,False,False,2026-07-20,3900.0,2026-08-28,5550.0,27.6923,-10.2703,-4.2308,5123.0,1,0.7572,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,067310,하나마이크론,260,NEW_LOW,최근 신저점,False,True,2026-07-30,24750.0,2026-06-22,56800.0,38.9899,-39.4366,-1.2912,36030.0,1,0.9668,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,078340,컴투스,260,TOP_DECLINE,고점후하락,False,False,2026-06-26,22700.0,2026-08-28,36000.0,54.185,-2.7778,8.0247,32965.0,-1,-0.2874,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSDAQ,086450,동국제약,260,TOP_DECLINE,고점후하락,False,False,2026-06-26,17030.0,2026-08-31,22250.0,16.559,-10.7865,-8.1019,19946.5,-1,-0.7365,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
