date,market,ticker,name,open,high,low,close,volume,trading_value,market_cap,listed_shares
,,095570,AJ네트웍스,5130,5320,5000,5170,333370,1740462780,233956764030,45252759
,,006840,AK홀딩스,8280,8500,8120,8230,21180,176384040,109027427030,13247561
,,027410,BGF,4385,4480,4275,4295,356029,1549362135,411103617345,95716791
,,282330,BGF리테일,124100,126000,119500,119500,76093,9293483342,2065426767000,17283906
,,138930,BNK금융지주,19980,20300,19550,19680,933451,18633062215,6107236009440,310327033
,,001460,BYC,51500,55000,50100,50700,8642,445623200,316679805000,6246150
,,001465,BYC우,27900,29350,27500,28250,2054,58089700,60846262500,2153850
,,001040,CJ,215000,220000,207000,207000,162942,34498225500,6039638586000,29176998
,,079160,CJ CGV,5470,5470,5220,5220,1031621,5498801590,864339913980,165582359
,,000120,CJ대한통운,131500,136400,127500,127800,83533,10913119650,2915417563200,22812344
,,011150,CJ씨푸드,2795,2845,2750,2750,384695,1074710792,98809625750,35930773
,,011155,CJ씨푸드1우,15260,15260,14350,14500,615,9035850,2900000000,200000
,,001045,CJ우,97600,100100,95600,95600,9251,901512400,216077318800,2260223
,,097950,CJ제일제당,212500,213000,207500,207500,96886,20329221000,3123743595000,15054186
,,097955,CJ제일제당 우,138000,138000,135500,135800,13381,1827422400,180265401400,1327433
,,000480,CR홀딩스,5010,5060,4935,4945,60373,301230650,231873473050,46890490
,,000590,CS홀딩스,87100,87800,83100,84800,2046,173887350,97900073600,1154482
,,012030,DB,1983,1991,1880,1880,2987163,5777027637,378206994040,201173933
,,005830,DB손해보험,184500,190500,178000,186700,524971,98239115786,12953992800000,69384000
,,016610,DB증권,15090,15350,14400,14520,295280,4367969870,616321568280,42446389
,,000990,DB하이텍,93600,98100,89400,90500,713698,67429524800,3937165214000,43504588
,,000300,DH오토넥스,0,0,0,4200,0,0,174035631000,41437055
,,001530,DI동일,23500,23750,22150,22200,103763,2365823950,437990016000,19729280
,,015590,DKME,0,0,0,515,0,0,122045495160,236981544
,,000210,DL,50000,52100,48300,48300,242628,12108491275,1012169197200,20955884
,,000215,DL우,25500,25900,24200,24600,21568,541419575,41478429000,1686115
,,375500,DL이앤씨,50000,52800,49000,49000,476540,24146339600,1895987527000,38693623
,,007340,DN오토모티브,26550,28100,26350,26500,184063,4981191425,1550537922500,58510865
,,004840,DRB동일,6090,6260,5910,5910,62628,379723435,117786300000,19930000
,,155660,DSR,4025,4025,3915,3925,22604,89475120,62800000000,16000000
,,069730,DSR제강,4295,4295,4205,4230,79234,335336220,60912000000,14400000
,,017860,DS단석,19370,19490,17940,18000,169084,3149699340,316515816000,17584212
,,092780,DYP,4880,4920,4705,4740,150730,722984465,62418500400,13168460
,,017940,E1,109900,111300,102500,103600,87268,9286835300,710696000000,6860000
,,365550,ESR켄달스퀘어리츠,4310,4335,4260,4285,249423,1068561119,1054491365000,246089000
,,383220,F&F,71400,72400,69000,69100,122119,8618330900,2647018882500,38307075
,,007700,F&F홀딩스,20700,21200,19600,19620,48314,977520950,767423880540,39114367
,,114090,GKL,12970,13060,12770,12850,296848,3826753995,794845359500,61855670
,,078930,GS,75200,76500,70000,70500,1132354,81501008000,6550534149000,92915378
,,006360,GS건설,21600,22850,21300,21350,1223554,26830264375,1827164811500,85581490
,,001250,GS글로벌,2620,2775,2575,2575,4452085,11903755730,212524442300,82533764
,,007070,GS리테일,21700,22000,21000,21050,255674,5462183075,1759936085750,83607415
,,078935,GS우,57500,58800,56350,56500,21563,1236935150,100842669000,1784826
,,499790,GS피앤엘,50000,51100,48650,48700,186761,9297205250,965761956700,19830841
