recommend_display,current_price_display,value_buy_range,target1_range,three_month_range,return_1m_display,liquidity_display,current_position,avg_daily_range_display,earnings_guidance_event,valuation_growth,score_recommendation_reason,market_ticker,sector_theme,recommend_flag,symbol,name,market,sector,industry,data_date,current_price,value_buy_low,value_buy_high,target1_low,target1_high,low_3m,high_3m,return_1m_pct,return_3m_pct,avg_volume_20d,avg_trading_value_20d,liquidity_label,position_in_3m_range_pct,position_label,avg_daily_range_amount,avg_daily_range_pct,earnings_event_risk,next_earnings_date,fundamentals_status,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,revenue_growth,earnings_growth,profit_margin,return_on_equity,debt_to_equity,analyst_target_mean,analyst_target_upside_pct,beta,short_percent_float,rsi14,sma20,sma60,score,hard_red_flag,warning_count,recommendation_reason
✅ Cboe Global Markets,$289.17,$255.96~$281.88,$348.91~$378.60,$227.15~$371.18,+9.13%,$313.6M/일 · 활발,중간권 (43.1%),약±$5.48(±1.89%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 19.0배 · 매출성장 +22.9% · 이익성장 +50.2% · 평균목표가 여력 +9.8%,81.5점 · 3개월 가치구간 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · CBOE,Financials / Financial Exchanges & Data,✅,CBOE,Cboe Global Markets,USA,Financials,Financial Exchanges & Data,2026-08-06,289.1700134277344,255.96,281.88,348.91,378.6,227.1499938964844,371.1799926757813,9.128991410093334,-16.424851610481394,1092636.05,313584233.99609834,활발,43.06,중간권,10.958813319212457,3.789747487752958,False,,READY,30198319104.0,22.521029,18.963684,5.374208,2.81,0.229,0.502,0.26734,0.26297,28.09,317.42856,9.77229493379943,0.415,0.0298,58.13209793337155,285.69650115966795,292.49250106811525,81.5,False,0,3개월 가치구간 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
✅ Avery Dennison,$173.99,$159.52~$165.91,$184.43~$196.61,$152.42~$187.91,+10.16%,$140.4M/일 · 보통,중간권 (60.8%),약±$2.47(±1.42%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 15.5배 · 매출성장 +10.9% · 이익성장 +10.8% · 평균목표가 여력 +16.0%,81.5점 · 3개월 중간권 · 중기 상승추세 유지 · 1개월 상승폭 안정적 / 뚜렷한 단기 경고 제한,USA · AVY,Materials / Paper & Plastic Packaging Products & Materials,✅,AVY,Avery Dennison,USA,Materials,Paper & Plastic Packaging Products & Materials,2026-08-06,173.99000549316406,159.52,165.91,184.43,196.61,152.4199981689453,187.91000366210935,10.155117983432405,4.385657030596302,847842.0,140427184.71539307,보통,60.78,중간권,4.931078911470379,2.83411618816468,False,,READY,13186379776.0,19.204193,15.49233,5.7227907,1.92,0.109,0.108,0.076220006,0.3116,158.352,201.8,15.983673561024503,0.812,0.0417,65.02211679110562,164.21250076293944,161.0373336791992,81.5,False,0,3개월 중간권 · 중기 상승추세 유지 · 1개월 상승폭 안정적 / 뚜렷한 단기 경고 제한
✅ Analog Devices,$377.31,$371.37~$371.37,$419.16~$454.83,$352.73~$445.91,-2.10%,$1.48B/일 · 매우활발,저점권반등초입 (26.4%),약±$5.80(±1.54%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 25.0배 · 매출성장 +37.2% · 이익성장 +110.5% · 평균목표가 여력 +21.3%,80.5점 · 3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · ADI,Information Technology / Semiconductors,✅,ADI,Analog Devices,USA,Information Technology,Semiconductors,2026-08-06,377.30999755859375,371.37,371.37,419.16,454.83,352.7300109863281,445.9100036621094,-2.0991168827219853,-9.219740363793782,3947786.25,1481364819.2775726,매우활발,26.38,저점권반등초입,11.60619702571164,3.0760375025337816,False,,READY,,56.147324,25.049843,5.4467106,0.66,0.372,1.105,0.26007998,0.09639,25.81,457.73334,21.314924852717976,1.212,0.024,51.06499719658631,376.8830001831055,398.4318354288737,80.5,False,0,3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Citigroup,$133.82,$125.40~$130.48,$141.85~$151.22,$119.76~$147.96,-2.60%,$1.67B/일 · 매우활발,중간권 (49.9%),약±$1.90(±1.42%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 10.4배 · 매출성장 +14.5% · 이익성장 +61.0% · 평균목표가 여력 +15.5%,80.0점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · C,Financials / Diversified Banks,✅,C,Citigroup,USA,Financials,Diversified Banks,2026-08-06,133.82000732421875,125.4,130.48,141.85,151.22,119.76000213623048,147.9600067138672,-2.598436626602585,4.874615144575523,12548592.45,1673427599.7566009,매우활발,49.86,중간권,3.806810320192349,2.844724340037749,False,,READY,224469696512.0,14.420259,10.387098,1.1662891,0.72,0.145,0.61,0.21832001,0.08529,,154.5,15.45358806152044,1.102,0.0004,58.18650571364553,133.39900169372558,134.0073341369629,80.0,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Cincinnati Financial,$179.04,$163.45~$170.51,$189.78~$202.32,$155.61~$194.81,-1.39%,$154.9M/일 · 보통,중간권 (59.8%),약±$2.12(±1.18%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 19.7배 · 매출성장 +31.6% · 이익성장 +85.5% · 평균목표가 여력 +7.6%,80.0점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · CINF,Financials / Property & Casualty Insurance,✅,CINF,Cincinnati Financial,USA,Financials,Property & Casualty Insurance,2026-08-06,179.0399932861328,163.45,170.51,189.78,202.32,155.61000061035156,194.80999755859372,-1.393409669014467,11.600075709011094,863218.45,154875751.32826614,보통,59.77,중간권,4.232439161973763,2.3639629807233566,False,,READY,27478708224.0,8.453258,19.701853,1.6474506,2.19,0.316,0.855,0.23843001,0.21484,5.255,192.66667,7.610968065715751,0.554,0.025999999,46.34350076134558,179.43299713134766,173.69133173624675,80.0,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Applied Materials,$527.48,$465.83~$527.44,$695.29~$754.46,$397.37~$739.67,-7.54%,$3.98B/일 · 매우활발,중간권 (38.0%),약±$15.59(±2.96%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 30.9배 · 매출성장 +11.4% · 이익성장 +33.5% · 평균목표가 여력 +19.3%,80.0점 · 3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 주의: 일간 변동성 큼,USA · AMAT,Information Technology / Semiconductor Materials & Equipment,✅,AMAT,Applied Materials,USA,Information Technology,Semiconductor Materials & Equipment,2026-08-06,527.47998046875,465.83,527.44,695.29,754.46,397.3699951171875,739.6699829101562,-7.540757148334798,23.06471617697945,7465149.0,3978899169.79068,매우활발,38.01,중간권,31.189276172934683,5.912883394212998,False,,READY,418797715456.0,50.236187,30.935354,17.516104,1.31,0.114,0.335,0.29314,0.39692003,30.399,629.0857,19.26247882260046,1.618,0.0211,49.657212210182266,537.6309982299805,531.187831624349,80.0,False,1,3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 주의: 일간 변동성 큼
✅ American Tower,$171.20,$167.26~$167.78,$184.32~$200.00,$160.06~$196.08,+3.73%,$542.2M/일 · 활발,저점권반등초입 (30.9%),약±$2.30(±1.34%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.5배 · 매출성장 +4.7% · 이익성장 +138.5% · 평균목표가 여력 +25.9%,79.5점 · 3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AMT,Real Estate / Telecom Tower REITs,✅,AMT,American Tower,USA,Real Estate,Telecom Tower REITs,2026-08-06,171.1999969482422,167.26,167.78,184.32,200.0,160.05999755859375,196.0800018310547,3.732430872939796,-4.973360641506042,3185969.75,542242727.8669624,활발,30.93,저점권반등초입,4.602698767272801,2.6884923185274974,False,,READY,79772360704.0,27.088606,24.453545,21.445572,1.62,0.047,1.385,0.31083,0.33914003,438.721,215.47826,25.863471869771224,0.894,0.0189,51.29017651920525,169.7599998474121,176.0078333536784,79.5,False,0,3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Chevron Corporation,$189.23,$171.60~$177.73,$200.58~$213.83,$164.78~$198.87,+7.54%,$1.42B/일 · 매우활발,중상단권 (71.7%),약±$1.80(±0.95%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 14.6배 · 매출성장 +52.6% · 이익성장 +322.9% · 평균목표가 여력 +14.5%,79.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · CVX,Energy / Integrated Oil & Gas,🟡,CVX,Chevron Corporation,USA,Energy,Integrated Oil & Gas,2026-08-06,189.22999572753903,171.6,177.73,200.58,213.83,164.77999877929688,198.8699951171875,7.535372174149812,2.198094612731194,7500919.45,1418194924.351542,매우활발,71.72,중상단권,3.601095028997217,1.9030254770930812,False,,READY,371269238784.0,18.23025,14.593243,2.03679,0.78,0.526,3.229,0.09835,,23.989,216.75,14.543151135555377,0.488,0.010299999,52.492579271960686,188.6984992980957,183.9958333333333,79.0,False,0,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Alphabet Inc. (Class A),$357.75,$333.64~$350.51,$384.09~$416.78,$314.90~$408.61,-1.15%,$11.28B/일 · 매우활발,중간권 (45.7%),약±$5.57(±1.56%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.3배 · 매출성장 +24.2% · 이익성장 +294.0% · 평균목표가 여력 +19.6%,77.5점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · GOOGL,Communication Services / Interactive Media & Services,🟡,GOOGL,Alphabet Inc. (Class A),USA,Communication Services,Interactive Media & Services,2026-08-06,357.75,333.64,350.51,384.09,416.78,314.8999938964844,408.6099853515625,-1.1521919963033531,-10.122100211033146,32440894.35,11276325163.768194,매우활발,45.73,중간권,11.132497515530947,3.1118092286599435,False,,READY,4375259381760.0,17.950325,24.279867,7.02904,1.01,0.242,2.94,0.54771,0.48676,18.859,428.04056,19.64795527603076,1.237,0.0134000005,54.3752053577487,348.90599822998047,363.0108332316081,77.5,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Alphabet Inc. (Class C),$356.62,$332.81~$348.93,$380.20~$412.56,$314.89~$404.47,-0.58%,$7.36B/일 · 매우활발,중간권 (46.6%),약±$5.45(±1.53%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.2배 · 매출성장 +24.2% · 이익성장 +294.0% · 평균목표가 여력 +18.3%,77.5점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · GOOG,Communication Services / Interactive Media & Services,🟡,GOOG,Alphabet Inc. (Class C),USA,Communication Services,Interactive Media & Services,2026-08-06,356.6199951171875,332.81,348.93,380.2,412.56,314.8900146484375,404.4700012207031,-0.5826423539006309,-9.748448171092438,21244890.15,7358924379.229388,매우활발,46.58,중간권,10.903314880379089,3.0574042481258497,False,,READY,4361439412224.0,17.90261,24.203175,7.0068374,1.01,0.242,2.94,0.54771,0.48676,18.859,421.78857,18.273954286101567,1.237,,54.44237401756581,347.99499969482423,360.8518325805664,77.5,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
