name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,return_anomaly_flag,return_anomaly_reason,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-06-01,213.28,206.88,252.48,206.22,17.82,6.58,2.3,212.6,386.34,213.28,311.07,81.72,0.39,-31.44,-31.44,True,3개월 데이터 부족 12행,5667037.0,1208665644.0,3084001077.0,False,,,,,,,12,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-06-01,181400.0,134000.0,196200.0,160700.0,6900.0,5.38,1.9,74800.0,230500.0,77300.0,220500.0,208.16,68.46,12.18,100.44,False,,733362.0,133031866800.0,143860020180.0,False,,,,,,,62,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-06-01,1066000.0,1034000.0,1146000.0,956000.0,36550.0,3.47,2.1,830000.0,1430000.0,832000.0,1420000.0,72.29,39.33,-17.94,8.0,False,,178531.0,190314046000.0,229555663000.0,False,,,,,,,62,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-06-01,684000.0,556000.0,691000.0,621000.0,21100.0,3.6,2.2,428000.0,765000.0,439000.0,745000.0,78.74,75.96,0.59,15.93,False,,446190.0,305193960000.0,391092124650.0,False,,,,,,,62,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-06-01,109.33,75.64,112.48,99.94,3.13,4.2,2.0,40.63,132.75,41.19,129.44,226.73,74.58,9.75,140.29,False,,132924736.0,14532661630.0,16297072570.0,False,,,,,,,64,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-06-01,455000.0,402000.0,460500.0,417000.0,12620.0,3.1,1.8,346000.0,493000.0,347500.0,484500.0,42.49,74.15,-3.6,15.78,False,,778389.0,354166995000.0,251014691750.0,False,,,,,,,62,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-06-01,1530000.0,828000.0,1447000.0,1440000.0,30050.0,5.37,1.8,240000.0,1788000.0,246000.0,1530000.0,645.0,83.33,157.14,436.84,False,,1527009.0,2336323770000.0,531419750500.0,False,,,,,,,62,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-06-01,380500.0,209000.0,319500.0,353500.0,9060.0,5.23,2.1,103600.0,380500.0,105600.0,380500.0,267.28,100.0,165.71,198.2,False,,4962100.0,1888079050000.0,932920947245.0,False,,,,,,,62,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-06-01,124400.0,76500.0,107400.0,115500.0,2970.0,4.47,1.9,47100.0,124400.0,47300.0,124400.0,164.12,100.0,102.61,114.11,False,,2997702.0,372914128800.0,68885842505.0,False,,,,,,,62,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-06-01,363500.0,345000.0,389000.0,329000.0,11500.0,3.35,2.0,288000.0,437500.0,290000.0,429500.0,51.91,50.5,-15.27,0.69,False,,535724.0,194735674000.0,169729556100.0,False,,,,,,,62,pykrx_adjusted,
LS,006260,KR,KRW,KOSPI,OK,2026-06-01,466000.0,366500.0,504000.0,414000.0,17370.0,4.67,2.0,221000.0,604000.0,230500.0,553000.0,173.3,63.97,-8.45,75.52,False,,363149.0,169227434000.0,165588370600.0,False,,,,,,,62,pykrx_adjusted,
LS ELECTRIC,010120,KR,KRW,KOSPI,OK,2026-06-01,267000.0,201500.0,286000.0,241000.0,8670.0,4.27,3.0,120000.0,335000.0,125200.0,318500.0,179.17,68.37,-9.18,86.97,False,,2308079.0,616257093000.0,404071939375.0,False,,,,,,,62,pykrx_adjusted,
LS마린솔루션,060370,KR,KRW,KOSDAQ,OK,2026-06-01,34850.0,33800.0,38100.0,30450.0,1474.0,4.34,2.3,24850.0,51600.0,25100.0,50100.0,107.65,37.38,-29.67,11.88,False,,348315.0,12138777750.0,24761279358.0,False,,,,,,,62,pykrx_adjusted,
NVIDIA,NVDA,US,USD,NASDAQ,OK,2026-06-01,224.36,191.73,220.64,213.51,3.62,1.83,2.3,164.27,236.54,165.17,235.74,43.99,83.15,13.06,22.95,False,,197229540.0,44250419715.0,36836752482.0,False,,,,,,,64,yfinance_close,
SK,034730,KR,KRW,KOSPI,OK,2026-06-01,657000.0,458000.0,626000.0,610000.0,15810.0,3.76,1.9,298000.0,719000.0,301000.0,680000.0,141.28,85.27,38.17,73.12,False,,208434.0,136941138000.0,172627814100.0,False,,,,,,,62,pykrx_adjusted,
SK스퀘어,402340,KR,KRW,KOSPI,OK,2026-06-01,1256000.0,793000.0,1144000.0,1153000.0,34450.0,4.75,2.3,460000.0,1337000.0,466500.0,1276000.0,190.65,90.76,26.74,116.18,False,,1066661.0,1339726216000.0,1190902240100.0,False,,,,,,,62,pykrx_adjusted,
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-06-01,116200.0,112700.0,124300.0,105100.0,3695.0,3.03,1.9,105100.0,155400.0,105600.0,149800.0,47.86,22.07,-20.25,-11.23,False,,551991.0,64141354200.0,99448703065.0,False,,,,,,,62,pykrx_adjusted,
