name,ticker,country,currency,exchange,status,last_date,current_close,split_buy_ref,target1_ref,stop_ref,avg_daily_move_abs,avg_daily_move_pct,avg_wave_days,low_3m_intraday,high_3m_intraday,low_3m_close,high_3m_close,range_3m_pct,position_in_3m_range_pct,last_volume,last_trading_value,avg20_trading_value,low_liquidity,foreign_net_5d_value,foreign_net_20d_value,foreign_net_60d_value,institution_net_5d_value,institution_net_20d_value,institution_net_60d_value,data_rows,source_used,error
Cerebras Systems Inc,CBRS,US,USD,NASDAQ,OK,2026-06-01,213.28,206.88,252.48,206.22,17.82,6.58,2.3,212.6,386.34,213.28,311.07,81.72,0.39,5667037.0,1208665644.0,3084001077.0,False,,,,,,,12,yfinance_close,
DB하이텍,000990,KR,KRW,KOSPI,OK,2026-06-02,169800.0,134000.0,185200.0,148900.0,6980.0,5.39,1.9,74800.0,230500.0,77300.0,220500.0,208.16,61.01,219473.0,37266515400.0,141442956715.0,False,,,,,,,63,pykrx_adjusted,
HD현대일렉트릭,267260,KR,KRW,KOSPI,OK,2026-06-02,992000.0,962000.0,1074000.0,881000.0,37150.0,3.53,2.1,830000.0,1430000.0,832000.0,1420000.0,72.29,27.0,91280.0,90549760000.0,226885347300.0,False,,,,,,,63,pykrx_adjusted,
HD현대중공업,329180,KR,KRW,KOSPI,OK,2026-06-02,646000.0,556000.0,691000.0,582000.0,21350.0,3.63,2.2,428000.0,765000.0,439000.0,745000.0,78.74,64.69,220780.0,142623880000.0,384242982400.0,False,,,,,,,63,pykrx_adjusted,
Intel,INTC,US,USD,NASDAQ,OK,2026-06-01,109.33,75.64,112.48,99.94,3.13,4.2,2.0,40.63,132.75,41.19,129.44,226.73,74.58,132924736.0,14532661630.0,16300077760.0,False,,,,,,,64,yfinance_close,
LG에너지솔루션,373220,KR,KRW,KOSPI,OK,2026-06-02,456000.0,403500.0,464000.0,419000.0,12440.0,3.06,1.8,346000.0,497500.0,347500.0,484500.0,43.79,72.77,954406.0,435447737500.0,261614819050.0,False,,,,,,,63,pykrx_adjusted,
LG이노텍,011070,KR,KRW,KOSPI,OK,2026-06-02,1189000.0,828000.0,1266000.0,1084000.0,35050.0,5.64,1.8,240000.0,1788000.0,246000.0,1530000.0,645.0,61.3,553734.0,658389726000.0,556417669900.0,False,,,,,,,63,pykrx_adjusted,
LG전자,066570,KR,KRW,KOSPI,OK,2026-06-02,359000.0,230500.0,364500.0,331000.0,9260.0,5.23,2.1,103600.0,438000.0,105600.0,380500.0,322.78,76.38,6195983.0,2224357897000.0,1015803758980.0,False,,,,,,,63,pykrx_adjusted,
LG전자우,066575,KR,KRW,KOSPI,OK,2026-06-02,108800.0,81800.0,115800.0,99300.0,3175.0,4.6,1.9,47100.0,138400.0,47300.0,124400.0,193.84,67.58,1589554.0,172943475200.0,76650171145.0,False,,,,,,,63,pykrx_adjusted,
LG화학,051910,KR,KRW,KOSPI,OK,2026-06-02,356000.0,345000.0,381500.0,322000.0,11430.0,3.33,2.0,288000.0,437500.0,290000.0,429500.0,51.91,45.65,259741.0,92532731250.0,169119543512.0,False,,,,,,,63,pykrx_adjusted,
LS,006260,KR,KRW,KOSPI,OK,2026-06-02,422000.0,366500.0,461000.0,368500.0,17800.0,4.75,1.9,221000.0,604000.0,230500.0,553000.0,173.3,52.48,135734.0,57279748000.0,160424971500.0,False,,,,,,,63,pykrx_adjusted,
LS ELECTRIC,010120,KR,KRW,KOSPI,OK,2026-06-02,241000.0,201500.0,260500.0,214000.0,8950.0,4.36,2.9,120000.0,335000.0,125200.0,318500.0,179.17,56.28,601703.0,145010423000.0,395125791325.0,False,,,,,,,63,pykrx_adjusted,
LS마린솔루션,060370,KR,KRW,KOSDAQ,OK,2026-06-02,31800.0,30850.0,35100.0,27300.0,1499.0,4.41,2.2,24850.0,51600.0,25100.0,50100.0,107.65,25.98,142225.0,4522755000.0,23760255595.0,False,,,,,,,63,pykrx_adjusted,
NVIDIA,NVDA,US,USD,NASDAQ,OK,2026-06-01,224.36,191.73,220.64,213.51,3.62,1.83,2.3,164.27,236.54,165.17,235.74,43.99,83.15,197229540.0,44250419715.0,36848566821.0,False,,,,,,,64,yfinance_close,
SK,034730,KR,KRW,KOSPI,OK,2026-06-02,640000.0,458000.0,626000.0,593000.0,15830.0,3.74,1.9,298000.0,719000.0,301000.0,680000.0,141.28,81.24,88849.0,56863360000.0,170691093800.0,False,,,,,,,63,pykrx_adjusted,
SK스퀘어,402340,KR,KRW,KOSPI,OK,2026-06-02,1235000.0,793000.0,1144000.0,1132000.0,34250.0,4.7,2.2,460000.0,1337000.0,466500.0,1276000.0,190.65,88.37,339148.0,418847780000.0,1189639967100.0,False,,,,,,,63,pykrx_adjusted,
SK이노베이션,096770,KR,KRW,KOSPI,OK,2026-06-02,116900.0,113400.0,124900.0,106000.0,3645.0,2.99,1.9,105100.0,155400.0,105600.0,149800.0,47.86,23.46,276782.0,32355815800.0,92775294485.0,False,,,,,,,63,pykrx_adjusted,
SK하이닉스,000660,KR,KRW,KOSPI,OK,2026-06-02,2294000.0,1414000.0,2055000.0,2125000.0,56200.0,4.55,2.1,806000.0,2407000.0,807000.0,2363000.0,198.64,92.94,2670791.0,6126794554000.0,11614622914950.0,False,,,,,,,63,pykrx_adjusted,
대한전선,001440,KR,KRW,KOSPI,OK,2026-06-02,42750.0,41450.0,47600.0,36100.0,2210.0,5.22,2.1,25250.0,75900.0,26050.0,72300.0,200.59,34.55,3029297.0,129502446750.0,555617656142.0,False,,,,,,,63,pykrx_adjusted,
덕산테코피아,317330,KR,KRW,KOSDAQ,OK,2026-06-02,15900.0,15420.0,18170.0,13680.0,1031.0,5.02,1.9,14100.0,33000.0,14330.0,31250.0,134.04,9.52,111769.0,1777127100.0,9234824714.0,True,,,,,,,63,pykrx_adjusted,
