name,ticker,country,currency,exchange
Cerebras Systems Inc,CBRS,US,USD,NASDAQ
DB하이텍,000990,KR,KRW,KOSPI
HD현대일렉트릭,267260,KR,KRW,KOSPI
HD현대중공업,329180,KR,KRW,KOSPI
LG에너지솔루션,373220,KR,KRW,KOSPI
LG이노텍,011070,KR,KRW,KOSPI
LG전자,066570,KR,KRW,KOSPI
LG전자우,066575,KR,KRW,KOSPI
LG화학,051910,KR,KRW,KOSPI
LS,006260,KR,KRW,KOSPI
LS ELECTRIC,010120,KR,KRW,KOSPI
LS마린솔루션,060370,KR,KRW,KOSDAQ
NVIDIA,NVDA,US,USD,NASDAQ
Intel,INTC,US,USD,NASDAQ
SK,034730,KR,KRW,KOSPI
SK스퀘어,402340,KR,KRW,KOSPI
SK이노베이션,096770,KR,KRW,KOSPI
SK하이닉스,000660,KR,KRW,KOSPI
대한전선,001440,KR,KRW,KOSPI
덕산테코피아,317330,KR,KRW,KOSDAQ
두산로보틱스,454910,KR,KRW,KOSPI
두산에너빌리티,034020,KR,KRW,KOSPI
미래에셋벤처투자,100790,KR,KRW,KOSDAQ
미래에셋증권,006800,KR,KRW,KOSPI
산일전기,062040,KR,KRW,KOSPI
삼성SDI,006400,KR,KRW,KOSPI
삼성생명,032830,KR,KRW,KOSPI
삼성전기,009150,KR,KRW,KOSPI
삼성전자,005930,KR,KRW,KOSPI
삼성전자우,005935,KR,KRW,KOSPI
삼성중공업,010140,KR,KRW,KOSPI
삼양식품,003230,KR,KRW,KOSPI
삼화콘덴서,001820,KR,KRW,KOSPI
셀트리온,068270,KR,KRW,KOSPI
신세계,004170,KR,KRW,KOSPI
주성엔지니어링,036930,KR,KRW,KOSDAQ
차백신연구소,261780,KR,KRW,KOSDAQ
코리아써키트,007810,KR,KRW,KOSPI
코스모로보틱스,439960,KR,KRW,KOSDAQ
파마리서치,214450,KR,KRW,KOSDAQ
한미반도체,042700,KR,KRW,KOSPI
한화오션,042660,KR,KRW,KOSPI
현대모비스,012330,KR,KRW,KOSPI
현대오토에버,307950,KR,KRW,KOSPI
현대차,005380,KR,KRW,KOSPI
현대차2우B,005387,KR,KRW,KOSPI
현대차우,005385,KR,KRW,KOSPI
